Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
,,,,,,,,,,,,,,,,,,,,4785.00,B,20 05 31.3,+20 37 13,8.90,,,0.116,34,,,,20 09 56.2,+20 55 03
,,,,,,,,,,,,,,,,,,,,4786.00,,20 05 27.9,+20 36 08,8.89,G5   d,THE Sge-C,0.001,90,0.0084,12.6,G,20 09 52.4,+20 53 48
383,Sigma 2671,20,15.9,55,5,20h17m27.8539s,+55d23m42.6723s,,,7.5,B9,,-0.035,0.025,9.0,23.0,2.6,16,,4847.00,A,20 15 56.5,+55 05 02,5.76,A2   Vs,SIG 2671A,0.021,241,0.0003,6.7,F,20 18 24.7,+55 23 50
,,,,,,,,,,,,,,,,,,,,4847.00,B,20 15 54.0,+55 05 00,7.10,F3   d,,0.035,,,,,20 18 22.4,+55 23 49
584,Sigma 2671,20,15.9,55,5,20h17m27.8539s,+55d23m42.6723s,,,6,B9,-0.004,-0.018,-0.004,7.0,20.0,3.0,18,,4847.00,A,20 15 56.5,+55 05 02,5.76,A2   Vs,SIG 2671A,0.021,241,0.0003,6.7,F,20 18 24.7,+55 23 50
,,,,,,,,,,,,,,,,,,,,4847.00,B,20 15 54.0,+55 05 00,7.10,F3   d,,0.035,,,,,20 18 22.4,+55 23 49
,Mean,,,,,0,0,54,2329,5.7,A0,,,0.007,6.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
585,39 Cygni,20,19.9,31,52,20h22m59.1179s,+32d11m16.9085s,31,4062,4.6,K2,0.045,0.053,0.008,7.0,20.0,3.1,18,,4860.00,,20 19 51.9,+31 52 01,4.43,K3   III,39 Cyg,0.047,94,0.0111,8.9,G,20 23 51.6,+32 11 24
586,Gr 3263,20,38.2,60,9,20h40m07.0846s,+60d30m22.2537s,59,2272,6,F5,0.007,0.022,0.013,6.0,17.0,2.7,15,,4936.00,,20 38 10.4,+60 08 36,6.01,F6   IV,Groom 3263,0.193,4,0.0216,8.4,G,20 40 17.9,+60 30 18
587,4 Equulei,21,0.5,5,34,21h04m57.9496s,+05d57m52.7456s,5,4697,6,F8,-0.1,-0.092,0.008,8.0,24.0,2.9,17,*,5071.00,,21 00 29.3,+05 33 46,5.94,F8   V,4 Equ,0.155,217,0.0134,10.7,G,21 05 26.7,+05 57 29
588,Pulk 55 3131,21,23.3,48,24,21h26m32.3322s,+48d50m02.1053s,48,3390,5.3,A3,0.072,0.073,0,7.0,23.0,3.1,20,,5167.00,,21 23 18.5,+48 24 01,5.31,A6pCrEu:,,0.054,78,0.0047,11.1,,21 26 51.6,+48 50 06
589,29 Pegasi,21,28.4,20,16,21h32m37.0433s,+20d42m32.001s,,,8,,,0.001,0.005,8.0,20.0,2.5,14,,5197.00,A,21 28 21.2,+20 16 13,7.50,F6   IV,,0.047,191,0.0158,8.9,G,21 32 58.3,+20 42 42
,,,,,,,,,,,,,,,,,,,,5197.00,B,21 28 18.0,+20 16 00,8.00,F6   V,,0.038,185,,,,21 32 55.1,+20 42 29
590,29 Pegasi,21,28.4,20,16,21h32m37.0433s,+20d42m32.001s,,,7.5,,,0.001,0.018,8.0,20.0,2.5,14,,5197.00,A,21 28 21.2,+20 16 13,7.50,F6   IV,,0.047,191,0.0158,8.9,G,21 32 58.3,+20 42 42
,,,,,,,,,,,,,,,,,,,,5197.00,B,21 28 18.0,+20 16 00,8.00,F6   V,,0.038,185,,,,21 32 55.1,+20 42 29
,Mean Sigma 2804,,,,,0,0,20,4955,7.1,F5,,,0.012,6.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
591,Brad 3077,23,8.5,56,37,23h12m23.2067s,+57d09m37.4364s,56,2966,5.6,K2,2.083,2.07,0.137,6.0,19.0,3.2,21,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
592,Brad 3094,23,15.0,47,50,23h19m39.8121s,+48d22m49.9448s,47,4114,6.4,K0,0.206,0.193,-0.007,7.0,22.0,3.1,19,,5645.00,,23 14 59.6,+47 49 58,6.32,K1   III,,0.215,77,-0.0033,11.1,,23 19 41.6,+48 22 52
593,Lal 1677,0,54.1,31,57,00h59m28.0246s,+32d29m23.469s,31,153,7,F5,+ .355*,0.348,0.03,7.0,24.0,3.3,22,,195.00,,00 54 04.9,+31 57 12,7.00,F5   d,,0.358,94,0.0209,6.7,G,00 59 35.8,+32 29 32
594,37 Ceti,1,9.4,-8,28,01h14m01.4736s,-07d56m12.2229s,-8,216,5.2,F0,0.128,0.081,0.035,8.0,27.0,3.3,20,,253.00,A,01 09 21.7,-08 27 36,5.13,F5   V,37 Cet,0.303,24,0.0574,6.6,G,01 14 24.0,-07 55 22
,,,,,,,,,,,,,,,,,,,,253.00,B,01 09 20.0,-08 26 54,7.87,K1   V,G 270-176,0.312,25,,,,01 14 22.4,-07 54 39
595,Pi 171,1,43.0,32,11,01h48m45.2368s,+32d40m54.4418s,31,316,5.8,F5,-0.174,-0.179,0.028,7.0,27.0,3.7,23,,375.00,,01 42 57.6,+32 11 00,5.79,F8   V,,0.345,331,0.0382,8.9,G,01 48 41.5,+32 41 24
596,48 Cass,1,53.7,70,25,02h01m13.6s,+70d54m08.5358s,70,153,4.6,A3,-0.061,-0.05,0.022,6.0,22.0,3.6,21,,412.00,,01 53 44.0,+70 25 19,4.54,A3   IV,48 Cas,0.066,270,0.0283,4.0,G,02 01 57.3,+70 54 24
597,64 Ceti,2,6.1,8,6,02h11m17.8105s,+08d34m16.9599s,7,347,5.7,G0,-0.134,-0.188,0.03,6.0,21.0,3.6,21,,444.00,,02 06 04.2,+08 06 05,5.63,G0   IV,64 Cet,0.183,235,0.0337,9.8,,02 11 21.0,+08 34 11
598,Lal 5490,2,56.0,61,20,03h04m01.6623s,+61d43m37.3847s,61,513,6.7,G0,+ .734*,0.745,0.018,5.0,18.0,3.7,21,,627.00,A,02 55 57.8,+61 19 52,6.62,G4   V,CI 18-392,0.993,132,0.0360,4.6,F,03 04 09.6,+61 42 22
599,Sigma Aurigae,5,17.9,37,18,05h23m47.8515s,+37d23m44.6396s,37,1175,5.2,K5,0,-0.004,0.001,4.0,16.0,4.0,20,,1223.00,,05 17 51.2,+37 17 31,4.99,K4   III,SIG Aur,0.015,139,0.0034,7.2,,05 24 39.1,+37 23 07
600,75 Orionis,6,11.6,9,59,06h16m30.8287s,+09d56m59.7229s,9,1173,5.3,A2,0.006,0.01,0.01,5.0,20.0,3.8,22,,1461.00,A,06 11 35.7,+09 58 44,5.39,A2   V,75 Ori,0.062,175,0.0145,7.6,G,06 17 06.5,+09 56 32
601,63 Aurigae,7,4.8,39,29,07h10m52.4514s,+39d19m18.5984s,39,1882,5.1,K2,0.048,0.018,0.019,6.0,23.0,3.9,21,,1675.00,,07 04 46.6,+39 29 01,4.90,K4-  III-*,63 Aur,0.044,88,0.0228,9.8,,07 11 39.3,+39 19 13
602,51 Gem,7,7.6,16,20,07h12m44.5425s,+16d09m58.2602s,16,1417,5.3,Mb,0.014,0.012,0.006,6.0,24.0,3.9,22,*,1684.00,,07 07 37.6,+16 19 43,5.00,M4   IIIab,51 Gem,0.047,163,0.0090,9.8,,07 13 22.2,+16 09 32
603,65 Aurigae,7,15.4,36,57,07h21m41.7712s,+36d45m47.9591s,37,1707,5.2,K0,-0.078,-0.109,0.019,6.0,23.0,3.9,20,,1728.00,,07 15 21.7,+36 56 55,5.13,K0   III,65 Aur,0.101,255,0.0211,8.2,G,07 22 02.6,+36 45 38
604,65 Gem,7,23.6,28,7,07h29m13.5275s,+27d54m44.3743s,28,1400,5.1,K0,-0.026,-0.052,0.013,5.0,18.0,3.7,22,*,1767.00,A,07 23 35.5,+28 07 20,5.01,K2   III,65 Gem,0.041,223,0.0162,8.4,,07 29 48.8,+27 54 57
605,68 Gem,7,27.9,16,2,07h32m42.6294s,+15d49m14.0245s,16,1510,5.1,A2,-0.012,-0.011,0.008,4.0,16.0,3.8,23,*,1784.00,,07 27 54.0,+16 02 30,5.25,A1   Vn,68 Gem,0.041,237,0.0122,7.2,,07 33 36.3,+15 49 35
606,Lal 15307,7,48.6,50,48,07h55m31.4739s,+50d32m20.7053s,50,1489,8.5,G5,+ .177*,0.203,0.004,6.0,21.0,3.6,21,*,1866.00,,07 48 36.8,+50 48 26,8.50,F5   d,,0.243,129,0.0078,9.8,,07 56 10.0,+50 32 27
607,Lal 15882,8,3.7,35,45,08h09m28.9245s,+35d27m30.7838s,35,1767,6.6,F8,+ .223*,0.209,0.019,4.0,16.0,3.6,22,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
608,Lal 16530,8,20.5,7,53,08h25m22.1061s,+07d33m31.0437s,8,2053,5.2,K0,-0.04,-0.023,0.003,8.0,28.0,3.5,20,,2000.00,,08 20 32.9,+07 53 26,5.13,G7   II-I*,,0.038,247,0.0162,9.6,G,08 25 54.8,+07 33 52
609,Sigma 1245,8,30.5,6,58,08h35m19.9057s,+06d37m21.2499s,7,1997,6,F5,-0.122,-0.114,0.048,7.0,27.0,3.6,20,,2048.00,A,08 30 31.9,+06 58 07,5.99,F8   V,SIG 1245A,0.178,229,0.0497,5.4,G,08 35 50.9,+06 37 13
,,,,,,,,,,,,,,,,,,,,2048.00,B,08 30 32.2,+06 58 17,7.25,G5   V,SIG 1245B,0.194,224,,,,08 35 51.2,+06 37 21
610,7 Leonis,9,30.4,14,50,09h35m28.2625s,+14d23m15.19s,15,2077,6.2,A0,-0.036,-0.116,-0.001,6.0,21.0,3.2,18,,2281.00,,09 30 24.9,+14 49 33,6.36,A1   V,7 Leo,0.033,256,0.0044,9.8,,09 35 52.9,+14 22 46
611,Lal 19022,9,37.1,43,10,09h43m18.6429s,+42d42m37.1432s,43,1953,8.1,K2,+ .041*,0.041,0.064,6.0,21.0,3.5,22,*,2304.00,,09 37 06.7,+43 10 15,8.12,K5   V,Lal 19022,0.837,178,0.0519,4.5,F,09 43 25.5,+42 41 28
612,Lal 19449,9,51.5,20,14,09h56m32.8369s,+19d45m31.8344s,20,2399,7.7,G0,- .242*,-0.247,0.02,5.0,20.0,3.8,24,,2354.00,A,09 51 31.0,+20 14 15,7.60,F8   d,,0.223,267,0.0294,6.4,G,09 57 02.2,+19 45 44
,,,,,,,,,,,,,,,,,,,,2354.00,B,09 51 31.2,+20 13 45,8.40,G3   d,,0.226,267,,,,09 57 02.3,+19 45 14
613,,9,51.5,20,14,09h56m32.8369s,+19d45m31.8344s,20,2400,8.5,,,-0.24,0.031,6.0,24.0,3.7,23,,2354.00,A,09 51 31.0,+20 14 15,7.60,F8   d,,0.223,267,0.0294,6.4,G,09 57 02.2,+19 45 44
,,,,,,,,,,,,,,,,,,,,2354.00,B,09 51 31.2,+20 13 45,8.40,G3   d,,0.226,267,,,,09 57 02.3,+19 45 14
,Mean,,,,,0,0,,,,,,,0.025,4.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
614,Nu Bootis,15,27.3,41,10,15h30m35.6067s,+40d49m31.3608s,41,2609,5.2,K5,0.014,0.013,0.017,5.0,18.0,3.3,22,,3506.00,,15 27 20.1,+41 10 25,5.02,K4.5 IIIb*,NU1 Boo,0.012,147,0.0198,7.3,G,15 30 55.7,+40 49 58
615,Iota Serp,15,37.1,20,0,15h41m27.982s,+19d40m44.7433s,20,3138,4.5,A2,-0.068,-0.057,0.001,7.0,26.0,3.6,23,*,3548.00,,15 37 05.4,+19 59 31,4.52,A1   V,IOT Ser,0.067,234,0.0172,5.5,G,15 41 33.1,+19 40 13
616,Lal 29439,16,2.9,38,55,16h05m33.5216s,+38d38m46.4806s,39,2950,8.6,G5,+ .226*,0.24,0.05,9.0,30.0,3.4,22,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
617,Lal 29917,16,16.5,67,29,16h16m19.2714s,+67d14m22.4788s,67,935,8.9,K5,- .497*,-0.491,0.083,5.0,19.0,3.6,24,*,3712.00,A,16 16 32.2,+67 28 44,8.60,M1-  V,Lal 29917A,0.510,281,0.0833,2.7,G,16 16 42.7,+67 14 20
,,,,,,,,,,,,,,,,,,,*,3712.00,B,16 16 30.0,+67 29 00,10.71,M3   d,Lal 29917B,0.522,279,,,,16 16 40.2,+67 14 34
618,Gr 2624,18,34.9,42,35,18h37m05.8621s,+42d40m09.7143s,42,3123,8.7,G5,+ .295*,0.299,0.045,7.0,25.0,3.5,22,,4300.00,,18 34 53.3,+42 34 31,8.34,K0   d,G 205-033,0.289,78,0.0434,9.4,G,18 38 01.9,+42 39 55
619,Gr 2686,18,48.0,38,30,18h51m23.3514s,+38d37m11.2898s,38,3327,7.2,F8,+ .311*,0.33,0.011,8.0,24.0,3.2,20,*,4359.00,,18 47 59.0,+38 30 20,7.20,F8   d,,0.323,83,0.0133,12.5,,18 51 25.1,+38 37 35
620,"Pi 18h, 273",18,49.8,74,36,18h46m10.7459s,+74d42m53.3499s,74,792,7.3,G0,+ .327*,0.339,-0.016,7.0,20.0,2.8,17,*,4376.00,,18 49 47.4,+74 36 23,7.16,G5   III,,0.321,77,-0.0085,9.9,G,18 47 06.3,+74 43 31
621,Pi Drac,19,20.2,65,31,19h20m30.4987s,+65d42m27.7553s,65,1345,4.6,A2,0.022,0.039,0.008,7.0,23.0,3.4,20,,4540.00,,19 20 09.3,+65 31 19,4.59,A2   III s,PI Dra,0.048,11,0.0179,8.2,G,19 20 40.1,+65 42 53
622,Lal 37272,19,31.7,51,1,19h33m34.8734s,+51d14m05.6283s,50,2815,5.6,F5,0.032,0.001,0.032,6.0,22.0,3.6,25,,4600.00,,19 31 44.3,+51 01 18,5.73,F7   V,,0.185,174,0.0352,9.8,,19 34 19.7,+51 14 11
623,Phi Cygni,19,35.4,29,55,19h38m56.9471s,+30d08m43.1438s,29,3684,4.8,K0,0.001,-0.004,0.006,7.0,24.0,3.5,20,*,4618.00,,19 35 25.5,+29 55 21,4.69,G8   III-*,PHI Cyg,0.039,3,0.0058,9.2,G,19 39 22.6,+30 09 11
624,Alpha Sagittae,19,35.6,17,47,19h39m28.0544s,+18d00m45.2088s,17,4042,4.4,G0,0.02,0.011,-0.005,5.0,17.0,3.6,24,,4619.00,,19 35 37.5,+17 47 01,4.37,G1   II,ALP Sge,0.021,156,-0.0024,6.5,G,19 40 05.7,+18 00 49
625,Psi Cygni,19,53.0,52,10,19h55m35.5389s,+52d25m58.818s,52,2572,4.8,A3,-0.037,-0.046,-0.004,6.0,21.0,3.6,23,,4719.00,,19 53 02.6,+52 10 22,4.92,A4   Vn,PSI Cyg,0.034,264,0.0015,9.8,,19 55 37.8,+52 26 21
626,15 Vulpec,19,57.0,27,29,20h01m06.6834s,+27d45m35.1557s,27,3587,4.7,A5,0.056,0.043,0.022,6.0,22.0,3.8,25,,4744.00,,19 56 58.8,+27 28 37,4.64,A4   III,15 Vul,0.057,83,0.0269,9.8,,20 01 06.0,+27 45 13
627,47 Cygni,20,30.0,34,54,20h33m53.4396s,+35d14m33.7933s,34,4079,4.8,K5,0.002,-0.016,-0.002,6.0,21.0,3.3,19,*,4894.00,,20 30 00.7,+34 54 30,4.61,"K2+B3Ib,V",47 Cyg,0.012,186,0.0008,8.8,G,20 33 54.2,+35 15 02
628,29 Vulpec,20,34.1,20,51,20h38m27.4996s,+21d12m03.1042s,20,4658,4.8,A0,0.062,0.078,-0.007,7.0,23.0,3.3,19,,4910.00,,20 34 03.2,+20 51 00,4.82,A0   V,29 Vul,0.071,84,-0.0015,11.1,,20 38 31.3,+21 12 04
629,Omega Sigma 411,20,39.0,45,28,20h42m22.9433s,+45d49m33.1762s,45,3245,7.6,G0,,-0.048,0.006,6.0,19.0,3.1,18,,4941.00,,20 38 57.8,+45 28 10,7.63,G0   IV,,0.193,198,0.0090,9.8,,20 42 20.2,+45 49 24
630,31 Vulpec,20,47.8,26,43,20h51m17.2211s,+27d05m28.7659s,26,4017,4.8,G5,-0.071,-0.068,0.019,6.0,20.0,3.3,20,*,4994.00,,20 47 50.7,+26 43 21,4.59,G7   IIIF*,31 Vul,0.095,232,0.0351,8.2,F,20 52 07.6,+27 05 49
631,63 Cygni,21,3.2,47,15,21h06m26.5819s,+47d39m06.3809s,47,3292,4.9,K5,0.014,0.008,0.007,7.0,21.0,3.0,17,,5082.00,,21 03 09.3,+47 14 47,4.55,K4   Ib-I*,63 Cyg,0.006,47,0.0052,8.9,G,21 06 36.1,+47 38 54
632,2 Pegasi,21,25.4,23,12,21h29m31.6046s,+23d38m15.675s,23,4325,4.8,K5,0.021,0.02,0.004,6.0,17.0,3.0,18,,5180.00,,21 25 24.9,+23 12 01,4.57,M1+  III,2 Peg,0.025,71,0.0114,8.6,G,21 29 56.8,+23 38 19
633,74 Cygni,21,32.9,39,58,21h36m00.2355s,+40d24m51.4276s,39,4612,5.1,A5,-0.002,-0.01,0.012,6.0,18.0,3.1,20,,5210.00,,21 32 56.3,+39 57 51,5.01,A5   V,74 Cyg,0.017,349,0.0169,9.8,,21 36 56.9,+40 24 49
634,14 Pegasi,21,45.4,29,43,21h49m25.228s,+30d10m57.4276s,29,4525,5,A0,0.029,0.036,-0.002,8.0,26.0,3.3,21,,5274.00,,21 45 25.1,+29 42 30,5.04,A1   V s,14 Peg,0.029,143,0.0030,12.5,,21 49 50.6,+30 10 27
635,14 Cephei,21,58.7,57,31,22h01m21.1958s,+57d59m54.6282s,57,2441,5.5,B0,-0.003,-0.013,-0.015,6.0,21.0,3.3,21,,5324.00,,21 58 42.8,+57 31 03,5.56,O9   Vn,14 Cep,0.019,314,-0.0113,9.8,,22 02 04.5,+58 00 02
636,Piazzi 405,22,2.0,44,32,22h06m03.1142s,+45d01m13.3735s,44,4043,5.3,K5,0.002,-0.027,-0.001,5.0,18.0,3.4,21,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
637,Lal 43671-2,22,18.1,8,57,22h22m58.2787s,+09d27m18.5691s,8,4856,7.8,G5,+ .276*,0.273,0.018,8.0,25.0,3.2,19,,5414.00,,22 18 08.7,+08 57 16,7.92,G6   d,,0.314,80,0.0225,12.5,,22 23 09.1,+09 27 40
638,Kappa Aquarii,22,32.6,-4,45,22h37m11.2083s,-04d13m52.998s,-4,5716,5.3,K0,-0.075,-0.067,0.016,8.0,28.0,3.3,23,,5471.00,,22 32 34.6,-04 44 37,5.03,K2   III,KAP Aqr,0.135,211,0.0185,7.9,G,22 37 45.4,-04 13 40
639,9 Lacertae,22,33.3,51,2,22h37m06.9855s,+51d33m08.4828s,50,3770,4.8,A5,-0.054,-0.055,0.015,6.0,19.0,3.4,21,,5477.00,,22 33 15.7,+51 01 43,4.63,A8   IV,9 Lac,0.117,212,0.0198,9.8,,22 37 22.3,+51 32 42
640,Rho Pegasi,22,50.2,8,17,22h55m01.5561s,+08d48m58.3036s,8,4961,5,A0,0.074,0.078,-0.003,7.0,26.0,3.5,22,,5557.00,,22 50 11.6,+08 16 57,4.90,A1   V,RHO Peg,0.078,64,0.0038,7.5,G,22 55 13.7,+08 48 59
641,Rad 5911,22,55.9,56,25,22h59m12.285s,+56d57m09.5719s,56,2923,5.5,GOp,0.005,-0.014,-0.004,5.0,16.0,3.4,20,,5576.00,,22 55 52.0,+56 24 32,5.00,G40,,0.003,302,0.0008,7.3,G,23 00 05.1,+56 56 43
642,Brad 3109,23,18.9,31,59,23h22m52.9013s,+32d31m54.7959s,31,4901,6.5,F5,0.233,0.241,0.001,8.0,26.0,3.4,23,,5662.00,,23 18 52.4,+31 58 52,6.69,F4   V w,Bradley 310,0.244,80,0.0110,8.7,G,23 23 47.6,+32 31 52
643,,,,,,0,0,,,,,,,,,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
644,Xi Ursae Majoris,,,,,0,0,,,4.4,F9,,-0.406,0.12,7.0,19.0,2.8,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
645,Xi Ursae Majoris,,,,,0,0,,,4.9,G2,,-0.404,0.164,8.0,23.0,2.8,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,11,12.9,32,6,11h17m23.6758s,+31d33m14.4509s,32,2132,,G0,-0.421,,,,,,,*,2625.00,M,11 12 50.9,+32 05 30,4.32,G0   V,XI UMa,0.727,216,0.1132,4.6,X,11 18 10.9,+31 31 45
,,,,,,,,,,,,,,,,,,,*,2625.00,A,11 12 50.9,+32 05 30,4.33,G0   Ve,XI UMa,0.727,216,0.1132,4.6,X,11 18 10.9,+31 31 45
,,,,,,,,,,,,,,,,,,,*,2625.00,C,11 12 54.0,+32 06 00,4.79,G0   V,XI UMa,0.733,216,,,,11 18 14.0,+31 32 14
646,Alpha Orion,5,49.8,7,23,05h54m24.7168s,+07d24m12.5077s,7,1055,0.9,Ma,0.031,0.007,0.013,7.0,18.0,2.7,14,,1362.00,,05 49 45.4,+07 23 18,0.50,M1-2 Ia-I*,ALP Ori,0.027,70,0.0098,4.7,G,05 55 10.3,+07 24 25
647,Theta Aurigae,5,52.9,37,12,05h58m48.8254s,+37d12m40.1504s,37,1380,2.7,A0p,0.055,0.058,0.014,7.0,21.0,2.8,15,,1377.00,,05 52 54.0,+37 12 19,2.62,A0pSi,THE Aur,0.081,143,0.0235,7.7,G,05 59 43.2,+37 12 45
648,38 Gem,6,49.0,13,18,06h54m38.0242s,+13d10m30.6036s,13,1462,4.7,F0,0.076,0.064,0.044,10.0,27.0,2.7,14,,1613.00,A,06 49 00.1,+13 18 17,4.65,F0   Vp,SIG 982,0.100,140,0.0410,8.9,G,06 54 38.6,+13 10 40
,,,,,,,,,,,,,,,,,,,,1613.00,B,06 49 00.0,+13 18 00,7.68,G6   V,,,,,,,06 54 38.0,+13 10 31
649,Lal 13792,7,3.5,25,54,07h09m09.3816s,+25d44m29.9865s,25,1594,7,G0,- .127*,-0.129,0.026,8.0,21.0,2.7,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
650,P.G.C. 2006,7,33.8,48,22,07h40m23.9987s,+48d08m19.0392s,48,1561,5.8,G5,-0.053,-0.075,0.006,6.0,18.0,2.9,14,,1804.00,,07 33 49.1,+48 21 53,5.56,K0   III,,0.141,202,0.0092,9.8,,07 41 12.3,+48 07 53
651,Epsilon Hydrae,8,41.5,6,47,08h46m19.0735s,+06d25m07.1077s,6,2036,3.5,F8,-0.186,-0.146,0.026,9.0,24.0,2.8,16,*,2096.00,,08 41 28.8,+06 47 08,3.38,G5   III,EPS Hya,0.198,254,0.0224,5.2,G,08 46 46.6,+06 25 07
652,37 Leo Min,10,33.1,32,30,10h38m37.6563s,+31d58m49.1371s,32,2061,4.8,G0,0.008,0.023,0.018,8.0,21.0,2.7,16,,2488.00,,10 33 05.5,+32 29 44,4.71,G2.5 IIa,37 LMi,0.003,350,0.0176,10.1,G,10 38 43.1,+31 58 34
653,54 Herc,16,51.0,18,36,16h55m24.5077s,+18d26m24.0145s,18,3266,5.6,K2,-0.103,-0.136,0.003,10.0,27.0,2.7,15,*,3851.00,,16 50 58.4,+18 35 34,5.35,K4   III,54 Her,0.114,280,0.0204,11.2,G,16 55 22.2,+18 26 00
654,"W, 17h, 517",17,29.9,6,4,17h33m53.3747s,+05d59m50.9036s,6,3455,8.5,G,- .473*,-0.456,0.002,10.0,26.0,2.6,14,*,3995.00,A,17 29 55.0,+06 05 34,7.42,G0   V,,0.075,167,0.0145,7.5,G,17 34 48.5,+06 01 26
,,,,,,,,,,,,,,,,,,,*,3996.00,,17 29 52.8,+06 04 15,8.38,G0   V,CI 18-2341,0.610,309,0.0302,8.7,F,17 34 43.0,+06 00 52
655,Bu 8068A,17,30.0,6,6,17h34m53.2863s,+06d01m59.5785s,6,3456,7.9,F8,,0.022,0.005,7.0,18.0,2.6,14,*,3995.00,A,17 29 55.0,+06 05 34,7.42,G0   V,,0.075,167,0.0145,7.5,G,17 34 48.5,+06 01 26
,,,,,,,,,,,,,,,,,,,*,3996.00,,17 29 52.8,+06 04 15,8.38,G0   V,CI 18-2341,0.610,309,0.0302,8.7,F,17 34 43.0,+06 00 52
656,Barnard's Star..,17,52.9,4,25,17h56m57.0836s,+04d24m11.7071s,,,9.7,Mb,,-0.739,0.55,7.0,19.0,2.6,17,,4097.00,,17 52 48.0,+04 25 00,13.30,,Anonymous,0.020,180,0.0081,9.8,G,17 57 45.1,+04 24 17
,,,,,,,,,,,,,,,,,,,*,4098.00,,17 52 54.0,+04 25 00,9.54,M5   V,Barnard sta,10.310,356,0.5456,1.3,G,17 57 45.6,+04 41 27
657,Xi Herc,17,53.9,29,16,17h56m52.5311s,+29d15m15.7474s,29,3156,3.8,K0,0.09,0.081,0.018,8.0,23.0,2.9,15,,4106.00,,17 53 52.6,+29 15 30,3.70,G8+  III,XI Her,0.083,103,0.0184,7.1,G,17 57 45.8,+29 14 52
658,70 Ophiuc,18,0.4,2,31,18h05m01.5064s,+02d31m21.998s,2,3482,4.1,K0,0.253,0.132,0.184,0.009,0.025,2.9,16,*,4137.00,M,18 00 23.9,+02 31 23,4.03,K0   V,70 Oph,1.135,167,0.1997,3.4,G,18 05 27.2,+02 29 58
,,,,,,,,,,,,,,,,,,,*,4137.00,A,18 00 23.9,+02 31 23,4.20,K0   V,70 Oph,1.135,167,0.1997,3.4,G,18 05 27.2,+02 29 58
,,,,,,,,,,,,,,,,,,,*,4137.00,B,18 00 24.0,+02 31 00,5.99,K4   V,,1.127,167,,,,18 05 27.3,+02 29 36
659,Gr 2571,18,23.9,46,1,18h25m49.5605s,+46d04m33.154s,45,2716,8.3,G5,- .340*,-0.356,0.013,7.0,17.0,2.3,13,*,4248.00,,18 23 51.3,+46 01 00,8.31,G1   V,,0.403,302,0.0162,11.1,,18 26 37.7,+46 05 01
660,Kappa Cygni,19,14.8,53,11,19h16m17.8143s,+53d21m45.6179s,53,2216,4,K0,0.068,0.061,0.027,8.0,23.0,2.8,17,,4513.00,,19 14 47.4,+53 11 01,3.77,G9   III,KAP Cyg,0.137,24,0.0221,5.7,G,19 17 06.1,+53 22 06
661,Beta 1 Cygni,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3410,3.2,K0,0.001,-0.024,-0.01,8.0,20.0,2.7,15,*,4567.00,A,19 26 41.2,+27 44 58,3.08,"K3+B9II,V",BET1 Cyg,0.000,24,0.0129,4.3,G,19 30 43.3,+27 57 35
,,,,,,,,,,,,,,,,,,,*,4567.00,B,19 26 43.3,+27 45 18,5.11,B8   Ve,BET2 Cyg,0.010,195,,,,19 30 45.3,+27 57 54
662,Beta 2 Cygni,19,26.7,27,45,19h30m01.9093s,+27d57m31.0852s,27,3411,5.4,B9,-0.007,-0.028,0.014,10.0,27.0,2.5,15,*,4567.00,A,19 26 41.2,+27 44 58,3.08,"K3+B9II,V",BET1 Cyg,0.000,24,0.0129,4.3,G,19 30 43.3,+27 57 35
,,,,,,,,,,,,,,,,,,,*,4567.00,B,19 26 43.3,+27 45 18,5.11,B8   Ve,BET2 Cyg,0.010,195,,,,19 30 45.3,+27 57 54
663,Beta Aquilae,19,50.4,6,9,19h54m54.413s,+06d24m44.6183s,6,4357,3.9,K0,0.036,0.022,0.078,5.0,18.0,2.6,14,*,4705.00,A,19 50 24.0,+06 09 24,3.71,G8   IV,BET Aql,0.481,175,0.0737,4.8,P,19 55 18.8,+06 24 24
