Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
406,Sigma 422,3,31.7,0,16,03h36m08.1972s,+00d35m55.3912s,0,616,6.2,G8,-0.018,-0.038,0.036,6.0,18.0,3.1,17,,751.00,A,03 31 39.2,+00 15 41,5.71,G9   V,SIG 422A,0.164,190,0.0276,4.7,G,03 36 47.2,+00 35 16
,,,,,,,,,,,,,,,,,,,,751.00,B,03 31 42.0,+00 16 00,8.83,K6   V,SIG 422B,0.022,,,,,03 36 50.2,+00 35 50
407,Sigma 422,3,31.7,0,16,03h36m08.1972s,+00d35m55.3912s,0,616,6.2,G8,-0.018,-0.022,0.043,10.0,29.0,2.9,17,,751.00,A,03 31 39.2,+00 15 41,5.71,G9   V,SIG 422A,0.164,190,0.0276,4.7,G,03 36 47.2,+00 35 16
,,,,,,,,,,,,,,,,,,,,751.00,B,03 31 42.0,+00 16 00,8.83,K6   V,SIG 422B,0.022,,,,,03 36 50.2,+00 35 50
,Mean,,,,,0,0,,,,,,,0.037,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
408,Pi 3 Orionis,4,44.4,6,47,04h49m22.6735s,+06d57m30.3288s,6,762,3.3,F8,0.474,0.45,0.123,7.0,21.0,3.2,16,*,1077.00,,04 44 24.6,+06 47 12,3.19,F6   V,PI3 Ori,0.464,88,0.1216,2.2,F,04 49 50.4,+06 57 40
409,i Tauri.,4,45.5,18,40,04h50m50.5335s,+18d50m20.0897s,18,743,5.1,FO,0.086,0.073,0.006,4.0,14.0,3.3,15,*,1083.00,,04 45 31.3,+18 40 11,5.10,A7   IV-V,97 Tau,0.087,113,0.0214,8.1,,04 51 22.4,+18 50 23
410,Iota Aurigae,4,50.5,33,0,04h56m30.7739s,+33d09m35.5499s,32,855,2.9,K2,0.011,-0.001,0.016,7.0,23.0,3.4,17,,1100.00,,04 50 28.7,+33 00 28,2.69,K3   II,IOT Aur,0.018,166,0.0170,8.9,G,04 56 59.6,+33 09 58
411,Epsilon Aurigae,4,54.8,43,41,05h01m10.641s,+43d49m59.1549s,43,1166,Var.,F5p,0.006,-0.01,-0.001,7.0,25.0,3.5,17,,1122.00,A,04 54 47.4,+43 40 31,2.99,F0+B Iae,EPS Aur,0.003,171,0.0045,3.7,G,05 01 58.1,+43 49 23
,,,,,,,,,,,,,,,,,,,,1122.00,C,04 54 48.0,+43 41 00,11.26,,,,,,,,05 01 58.7,+43 49 52
412,P. M. 572,5,23.3,54,35,05h31m13.6647s,+54d39m46.6438s,54,902,7.6,GO,- .129*,-0.145,0.022,7.0,24.0,3.3,17,*,1241.00,A,05 23 16.7,+54 35 08,7.53,G1   V,SIG 711A,0.379,198,0.0195,5.8,G,05 31 29.0,+54 39 16
,,,,,,,,,,,,,,,,,,,*,1241.00,B,05 23 16.0,+54 35 03,9.70,K4   d,SIG 711B,0.381,197,,,,05 31 28.3,+54 39 11
413,Psi 7 Aurigae,6,43.7,41,54,06h50m04.6001s,+41d47m15.71s,41,1536,5,KO,-0.017,-0.022,-0.008,7.0,24.0,3.2,15,*,1593.00,,06 43 41.6,+41 53 56,5.02,K3   III,PSI7 Aur,0.139,189,-0.0047,11.1,,06 50 45.9,+41 46 52
414,Psi 8 Aurigae,6,46.4,38,34,06h52m51.2526s,+38d26m50.9954s,38,1636,6.3,F5,0.031,0.063,-0.006,5.0,17.0,3.2,16,*,1602.00,M,06 46 21.9,+38 33 46,6.30,F5   d,,0.189,171,-0.0033,8.4,,06 53 13.3,+38 26 15
415,Rumk 2024,6,49.5,40,13,06h55m57.1927s,+40d05m24.9785s,40,1758,8.4,K5,.126*,0.12,0.02,6.0,18.0,3.0,15,,1616.00,A,06 49 29.9,+40 12 50,9.12,K5   V,G 107-037,0.466,164,0.0372,4.2,G,06 56 28.1,+40 04 26
,,,,,,,,,,,,,,,,,,,,1616.00,B,06 49 30.0,+40 13 00,11.10,M1,G 107-038,0.466,168,,,,06 56 27.9,+40 04 35
,,,,,,,,,,,,,,,,,,,,1618.00,,06 49 36.0,+40 12 00,9.50,A4,,0.032,198,-0.0070,8.1,G,06 56 32.9,+40 04 17
416,B.D. + 40  1759,6,49.6,40,12,06h55m57.128s,+40d04m24.9831s,40,1759,9.5,F5,,-0.017,-0.013,6.0,19.0,3.0,15,,1616.00,A,06 49 29.9,+40 12 50,9.12,K5   V,G 107-037,0.466,164,0.0372,4.2,G,06 56 28.1,+40 04 26
,,,,,,,,,,,,,,,,,,,,1616.00,B,06 49 30.0,+40 13 00,11.10,M1,G 107-038,0.466,168,,,,06 56 27.9,+40 04 35
,,,,,,,,,,,,,,,,,,,,1618.00,,06 49 36.0,+40 12 00,9.50,A4,,0.032,198,-0.0070,8.1,G,06 56 32.9,+40 04 17
417,Lal 13784,7,2.3,15,41,07h07m43.229s,+15d31m40.2086s,15,1473,7.5,F8,- .060*,-0.078,0.035,8.0,25.0,3.0,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
418,Lal 13791,7,2.5,15,41,07h07m43.229s,+15d31m40.2086s,15,1476,7.4,F8,- .050*,-0.077,0.025,8.0,25.0,3.0,15,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,,0.03,6.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
419,20 1 Lyncis,7,14.6,50,20,07h21m38.8455s,+50d08m52.2758s,50,1420,7.3,FO,-0.028,-0.009,-0.003,4.0,14.0,3.1,15,,1721.00,A,07 14 36.7,+50 20 12,6.86,A5   dn,,0.054,214,0.0030,5.8,G,07 22 15.1,+50 08 55
,,,,,,,,,,,,,,,,,,,,1721.00,B,07 14 35.2,+50 20 08,7.00,A5   dn,,0.063,218,,,,07 22 13.5,+50 08 51
420,20 2 Lyncis,7,14.6,50,20,07h21m38.8455s,+50d08m52.2758s,50,1420,7.4,FO,-0.009,-0.011,0.004,6.0,18.0,3.1,15,,1721.00,A,07 14 36.7,+50 20 12,6.86,A5   dn,,0.054,214,0.0030,5.8,G,07 22 15.1,+50 08 55
,,,,,,,,,,,,,,,,,,,,1721.00,B,07 14 35.2,+50 20 08,7.00,A5   dn,,0.063,218,,,,07 22 13.5,+50 08 51
,Mean (Sigma 1065),,,,,0,0,,,,,,,0.001,3.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
421,Sigma 1093,7,22.7,50,12,07h29m36.1381s,+49d59m46.9016s,50,1436,8,F5,,0.023,-0.002,6.0,18.0,3.0,15,*,1759.00,M,07 22 40.7,+50 11 05,8.00,F4   dp,,0.061,188,0.0014,9.8,,07 30 16.5,+49 58 41
422,14 Can. Min,7,53.2,2,29,07h58m12.1858s,+02d12m51.1851s,2,1833,5.4,KO,-0.156,-0.153,0.024,8.0,23.0,3.1,16,,1884.00,,07 53 09.5,+02 29 29,5.29,K0   III,14 CMi,0.185,297,0.0259,9.3,G,07 58 20.6,+02 13 28
423,Lal 15547,7,53.7,21,8,07h58m52.2576s,+20d51m48.6279s,21,1731,8.6,G5,+ .178*,0.198,0.038,8.0,24.0,3.1,13,*,1886.00,,07 53 40.4,+21 07 49,7.69,K0   V,Lal 15547,0.588,161,0.0299,9.2,G,07 59 33.9,+20 50 37
424,Fed 1217,7,55.8,68,40,08h05m01.6053s,+68d23m17.5267s,68,518,7.6,F5,- .202*,-0.196,0.015,6.0,19.0,3.1,15,*,1901.00,,07 55 46.8,+68 40 03,7.65,F7   d,Lal F 1217,0.306,222,0.0271,8.3,F,08 05 44.0,+68 22 53
425,Groom 1437,8,20.6,45,59,08h26m58.8233s,+45d39m25.3146s,46,1398,6.3,GO,-0.03,-0.012,0.04,6.0,19.0,3.1,16,,2001.00,,08 20 38.3,+45 59 24,6.32,G5   V,,0.353,182,0.0471,8.6,G,08 27 36.7,+45 39 10
426,Lal 16616,8,24.6,50,58,08h31m18.396s,+50d37m55.9999s,51,1431,7.4,GO,- .094*,-0.075,0.014,6.0,22.0,3.6,21,,2018.00,,08 24 37.8,+50 57 41,7.43,G1   V,,0.348,194,0.0169,9.8,,08 31 54.9,+50 36 59
427,Iota Cancri,8,40.6,29,8,08h46m03.3874s,+28d46m11.2789s,29,1823,6.6,A5,-0.018,0.029,0.028,8.0,21.0,2.6,15,,2091.00,A,08 40 38.7,+29 07 32,4.02,G7.5 IIIa*,IOT Cnc,0.052,207,0.0202,5.0,G,08 46 41.7,+28 45 35
,,,,,,,,,,,,,,,,,,,,2091.00,B,08 40 36.9,+29 07 51,6.57,A3   V,IOT Cnc,0.057,197,,,,08 46 40.0,+28 45 53
428,Iota Cancri,8,40.6,29,8,08h46m03.3874s,+28d46m11.2789s,29,1824,4.2,G5,-0.018,0.041,0.007,6.0,20.0,3.3,17,,2091.00,A,08 40 38.7,+29 07 32,4.02,G7.5 IIIa*,IOT Cnc,0.052,207,0.0202,5.0,G,08 46 41.7,+28 45 35
,,,,,,,,,,,,,,,,,,,,2091.00,B,08 40 36.9,+29 07 51,6.57,A3   V,IOT Cnc,0.057,197,,,,08 46 40.0,+28 45 53
,Mean (Sigma 1268),,,,,0,0,,,,,,,0.15,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
429,Lal 17480,8,46.9,8,27,08h51m21.7711s,+08d04m34.2289s,8,2134,6.6,GO,+ .178*,0.181,0.014,7.0,22.0,3.2,19,,2118.00,,08 46 53.6,+08 26 41,6.57,G0   V,,0.285,147,0.0168,11.1,,08 52 16.3,+08 03 46
430,Lal 18397,9,16.1,40,38,09h22m20.8618s,+40d12m29.0331s,40,2197,7.7,K2,- .347*,-0.34,0.028,5.0,15.0,3.1,15,*,2230.00,,09 16 08.1,+40 38 11,7.64,K2   V,Lal 18397,0.507,223,0.0545,7.7,G,09 22 25.9,+40 12 03
