No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
830,Epsilon Ophi,16,13.0,-4,27,16h18m16.9858s,-04d41m41.5527s,-4,4086.0,3.3,K0,0.088,0.082,0.071,0.03,7; 25,10.6,29,*,3696.00,,16 13 01.7,-04 26 55,3.24,0.96,G9.5 IIIb*,EPS Oph,0.091,65,0.0408,8.3,G,16 18 19.3,-04 41 32
831,43 Herc,16,41.0,8,46,16h45m48.1244s,+08d35m02.4374s,8,3271.0,5.4,K2,0.017,0.003,0.014,0.012,6; 25,10.9,28,,3813.00,,16 41 01.7,+08 45 53,5.15,1.53,K5   III,43 Her,0.014,352,0.0089,7.7,G,16 45 49.9,+08 34 57
832,Lal 31313,17,6.3,40,54,17h09m14.8845s,+40d46m25.8783s,40,3109.0,5.1,K0,0.049,-0.049,-0.033,0.015,5; 21,10.7,27,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
833,49 Ophi,17,21.6,4,14,17h25m57.7225s,+04d08m41.9512s,4,3422.0,4.4,K0,0.007,0.006,-0.001,0.002,6; 25,10.2,31,,3960.00,,17 21 33.0,+04 13 37,4.34,1.50,K2   II,SIG Oph,0.007,15,0.0054,7.2,G,17 26 30.8,+04 08 24
834,96 Herc,17,58.1,20,50,18h02m16.5326s,+20d50m01.2269s,20,3649.0,5.1,B3,0.018,0.003,0.006,-0.002,4; 18,11.7,29,,4125.00,,17 58 06.4,+20 50 00,5.28,-0.09,B3   IV,96 Her,0.023,198,0.0016,6.5,G,18 02 22.9,+20 50 00
835,104 Herc,18,8.1,31,23,18h11m45.9037s,+31d24m26.4349s,31,3199.0,5,Ma,0.016,-0.004,-0.011,0.004,5; 19,10.8,28,,4180.00,,18 08 08.3,+31 22 48,4.97,1.65,M3   III,104 Her,0.034,332,0.0070,8.4,,18 11 54.2,+31 24 19
836,Delta Scut,18,36.8,-9,9,18h41m28.495s,-09d03m22.7646s,-9,4796.0,4.7,F0,0.016,0.016,-0.005,0.017,4; 16,10.3,28,,4311.00,,18 36 47.8,-09 08 53,4.72,0.35,F2   IIIp,DEL Sct,0.006,84,0.0223,5.9,G,18 42 16.4,-09 03 09
837,Beta 1 Lyra,18,46.4,33,15,18h49m41.4831s,+33d21m55.4818s,33,3223.0,Var,B5,0.011,0.008,0.006,-0.013,5; 22,11.1,29,,4353.00,A,18 46 23.2,+33 14 47,3.45,0.00,"B7+A8Ve,p",BET Lyr,0.003,180,-0.0060,7.7,G,18 50 04.8,+33 21 45
838,Theta 1 Serp,18,51.2,4,4,18h55m57.9965s,+04d11m43.5889s,4,3916.0,4.5,A5,0.056,0.049,0.048,0.029,6; 24,10.6,28,*,4387.00,A,18 51 14.8,+04 04 24,4.62,0.17,A5   V,THE1 Ser,0.056,56,0.0282,5.2,F,18 56 13.1,+04 12 13
,,,,,,,,,,,,,,,,,,,*,4387.00,B,18 51 16.2,+04 04 19,4.98,0.20,A5   Vn,THE2 Ser,0.067,66,,,,18 56 14.6,+04 12 08
