No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
1730,36 Gem,6,45.6,21,53,06h50m59.7384s,+21d46m03.2178s,21,1405.0,5.2,A0,0.036,-0.007,-0.007,0.009,5;21,12.2,32,,1598.00,M,06 45 33.3,+21 52 45,5.27,-0.02,A2   V,36 Gem,0.041,189,0.0124,8.4,,06 51 32.9,+21 45 40
1731,25 H Cam,7,10.1,82,36,07h31m01.2076s,+82d24m29.7624s,82,201.0,5.1,Mb,0.041,0,0.005,0.0,4;18,12.3,32,,1696.00,,07 10 03.1,+82 36 16,4.96,1.66,M4   IIIa,Piazzi VI 2,0.045,179,0.0011,6.1,G,07 31 04.4,+82 24 41
1732,27 Mon,7,54.7,-3,24,07h59m00.1742s,-03d40m15.6982s,-3,2157.0,5.1,K0,0.054,-0.054,-0.041,-0.001,5;21,12.3,35,,1893.00,,07 54 44.3,-03 24 24,4.93,1.21,K2   III,27 Mon,0.059,263,0.0100,7.0,F,07 59 44.1,-03 40 46
1733,32 Lyn,8,26.9,36,47,08h32m26.3737s,+36d26m45.0819s,36,1836.0,6.1,F2,0.141,-0.141,-0.138,0.032,7;28,12.5,30,,2031.00,,08 26 56.8,+36 46 31,6.24,0.36,F5   Vb vw,32 Lyn,0.149,270,0.0322,8.9,G,08 33 21.7,+36 26 10
1734,Alpha Cnc,8,53.0,12,15,08h58m27.9431s,+11d51m49.1619s,12,1948.0,4.3,A3,0.051,0.035,0.037,0.016,4;18,11.8,31,,2147.00,,08 53 01.0,+12 14 41,4.25,0.14,A5m,ALP Cnc,0.048,136,0.0220,7.2,,08 58 29.2,+11 51 27
1735,Lal 18286,9,12.0,29,0,09h17m55.8177s,+28d34m53.0564s,29,1883.0,7.3,K0,0.511,0.07,0.065,0.047,6;23,12.3,33,*,2212.00,M,09 11 57.2,+28 59 35,7.21,0.98,K3   V,Lal 18286,0.516,174,0.0575,4.2,G,09 17 53.4,+28 33 37
,,,,,,,,,,,,,,,,,,,*,2212.00,A,09 11 57.2,+28 59 35,7.86,1.00,K3   V,Lal 18286,0.516,174,0.0575,4.2,G,09 17 53.4,+28 33 37
,,,,,,,,,,,,,,,,,,,*,2212.00,B,09 12 00.0,+29 00 00,8.10,,K3   V,,,,,,,09 17 55.8,+28 34 53
1736,26 Uma,9,28.0,52,30,09h34m51.7053s,+52d03m22.043s,52,1402.0,4.6,A0,0.077,-0.064,-0.059,0.018,6;24,12.2,31,,2275.00,,09 27 58.4,+52 29 46,4.50,0.01,A2   V,26 UMa,0.079,239,0.0238,9.8,,09 34 49.4,+52 03 05
1737,53 Leo,10,44.0,11,4,10h49m15.4113s,+10d32m17.2644s,11,2283.0,5.3,A0,0.032,-0.006,0.009,0.001,8;30,12.1,34,,2517.10,,10 44 00.0,+11 04 27,5.34,0.03,A2   V,53 Leo,0.029,189,0.0053,12.5,,10 49 15.4,+10 32 42
1738,57 UMa,11,23.7,39,53,11h28m23.8754s,+39d19m57.8259s,40,2433.0,5.3,A2,0.052,-0.051,-0.047,0.019,5;20,12.3,34,,2654.10,,11 23 41.0,+39 53 14,5.31,0.01,A2   V,57 UMa,0.054,283,0.0234,8.4,,11 29 04.1,+39 20 13
1739,11 Vir,12,5.0,6,22,12h10m06.9169s,+05d48m36.511s,6,2559.0,5.7,F0,0.161,-0.16,-0.157,0.016,5;20,12,39,,2802.10,,12 04 57.5,+06 21 46,5.72,0.35,F2-6 IIIm*,11 Vir,0.160,274,0.0192,8.4,,12 10 03.4,+05 48 24
1740,Lal 24652,13,11.9,17,33,13h15m54.2849s,+17d01m17.5005s,17,2611.0,6.6,K0,0.686,0.63,0.622,0.097,6;24,12.2,39,*,3035.00,A,13 11 52.6,+17 33 07,6.52,0.94,K1   V,Lal 24652,0.658,113,0.0748,6.0,P,13 16 51.0,+17 01 02
,,,,,,,,,,,,,,,,,,,*,3035.00,B,13 11 54.0,+17 33 00,9.60,,M1   V,,0.687,113,,,,13 16 52.6,+17 00 54
1741,Lal 25372,13,40.7,15,26,13h44m51.7128s,+14d55m52.3284s,15,2620.0,8.5,K2,2.299,1.778,1.792,0.185,6;22,12.2,49,,3135.00,,13 40 39.8,+15 26 00,8.46,1.44,M4   V,Lal 25372,2.325,130,0.1846,2.8,F,13 45 43.8,+14 53 27
1742,22 Boo,14,21.8,19,41,14h25m39.747s,+19d13m54.8373s,19,2810.0,5.4,A5,0.074,-0.072,-0.014,0.002,7;25,12.3,33,,3274.10,,14 21 48.2,+19 40 35,5.39,0.23,F0m,22 Boo,0.074,287,0.0057,11.1,,14 26 27.4,+19 13 36
1743,39 Boo A,14,46.3,49,8,14h49m24.9294s,+48d43m08.5968s,49,2326.0,6.1,F6,0.117,-0.077,-0.066,0.008,7;21,12.1,33,,3355.10,A,14 46 17.3,+49 07 55,5.69,0.47,"F6+F5V,V",39 Boo,0.116,320,0.0095,7.9,G,14 49 41.4,+48 43 15
,,,,,,,,,,,,,,,,,,,,3355.10,B,14 46 18.0,+49 08 00,7.10,,F6   IV-V,,0.071,,,,,14 49 42.8,+48 43 11
1744,39 Boo B,,,,,0,0,,,7.1,F1,,,-0.071,0.005,7;23,12.1,33,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,,-0.068,0.006,5,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1745,36 Ser,15,46.1,-2,47,15h51m13.142s,-03d05m07.285s,-2,4058.0,5.2,A2,0.096,-0.09,-0.06,-0.002,6;22,11.8,33,,3588.00,,15 46 03.0,-02 47 16,5.11,0.12,A3   Vnp,36 Ser,0.093,251,0.0115,7.7,F,15 51 15.6,-03 05 26
1746,WB 1323,15,54.5,28,1,15h58m06.7939s,+27d43m48s,28,2503.0,8.1,K0,0.821,-0.761,-0.744,0.044,6;24,12.4,35,,3614.00,,15 54 31.1,+28 01 02,8.01,0.77,K0   V,G 168-020,0.828,292,0.0432,7.5,G,15 58 32.1,+27 44 24
1747,AOe 16069,16,13.4,60,54,16h14m33.7034s,+60d39m03.8329s,61,1574.0,7.6,G5,0.447,0.037,0.042,0.038,4;17,11.9,32,*,3700.00,A,16 13 23.2,+60 54 19,7.69,0.66,G4,G 225-052,0.446,3,0.0375,6.5,G,16 14 57.0,+60 40 11
1748,Lal 29859,16,18.6,17,42,16h22m28.9873s,+17d27m54.757s,17,3012.0,8.1,G0,0.325,-0.14,-0.131,0.02,7;25,12.1,33,,3726.00,,16 18 38.0,+17 41 37,8.45,0.73,G0,,0.332,336,0.0227,11.1,,16 23 06.0,+17 28 07
1749,Zeta Her A,16,37.5,31,47,16h40m50.0006s,+31d35m25.51s,31,2884.0,3,G0,0.608,-0.47,-0.462,0.096,4;23,10.2,57,,3799.00,A,16 37 30.9,+31 47 01,2.81,0.65,G0   IV,ZET Her,0.614,310,0.1013,2.9,G,16 41 17.2,+31 36 10
,,,,,,,,,,,,,,,,,,,,3799.00,B,16 37 30.0,+31 47 00,5.40,,K0   V,,,,,,,16 41 20.0,+31 35 30
1750,21 Oph,16,46.3,1,23,16h51m04.5051s,+01d12m45.0405s,1,3323.0,5.5,A0,0.028,-0.027,-0.019,0.02,6;25,12.3,34,,3831.00,,16 46 20.5,+01 23 11,5.51,0.05,A2   V s,21 Oph,0.028,238,0.0194,7.7,G,16 51 24.9,+01 12 57
1751,Grb 2391,16,47.5,77,41,16h42m32.2777s,+77d30m13.6108s,77,634.0,6,F2,0.212,0.051,0.072,0.033,5;20,12.3,31,,3833.00,,16 47 32.8,+77 41 10,5.98,0.42,F4   V,Groom 2391,0.220,15,0.0262,7.1,F,16 43 06.1,+77 30 50
1752,WB 322,17,20.8,2,14,17h25m02.3492s,+02d08m33.6511s,2,3312.0,7.9,K5,1.333,-0.588,-0.593,0.126,5;21,12.7,42,,3955.00,,17 20 46.6,+02 13 59,7.53,1.36,K7   V,G 019-024,1.315,206,0.1300,3.4,G,17 25 45.2,+02 06 41
1753,Pi 180,17,34.3,3,37,17h38m59.0509s,+03d33m34.7656s,3,3465.0,6.6,K0,0.208,-0.181,-0.177,0.08,6;22,12.4,31,,4016.00,,17 34 19.0,+03 36 50,6.52,0.96,K3-  V,CI 18-2350,0.199,243,0.0812,8.2,G,17 39 16.9,+03 33 18
1754,70 Oph A,18,0.4,2,31,18h05m01.5064s,+02d31m21.998s,2,3482.0,4.3,K1,1.126,0.255,0.243,0.191,4;19,10,42,*,4137.00,M,18 00 23.9,+02 31 23,4.03,0.86,K0   V,70 Oph,1.135,167,0.1997,3.4,G,18 05 27.2,+02 29 58
,,,,,,,,,,,,,,,,,,,*,4137.00,A,18 00 23.9,+02 31 23,4.20,0.86,K0   V,70 Oph,1.135,167,0.1997,3.4,G,18 05 27.2,+02 29 58
,,,,,,,,,,,,,,,,,,,*,4137.00,B,18 00 24.0,+02 31 00,5.99,,K4   V,,1.127,167,,,,18 05 27.3,+02 29 36
1755,70 Oph B,,,,,0,0,,,6,K6,,,0.243,0.199,9;28,10,27,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,,,,,0.243,0.193,4,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1756,Lal 34419,18,29.0,30,29,18h32m49.3175s,+30d33m29.5727s,30,3223.0,5.4,B8,0.007,0.005,0.003,0.005,6;24,12.3,31,,4271.00,,18 29 00.5,+30 28 44,5.48,-0.10,B8   IV,,0.018,30,0.0082,9.8,,18 32 50.0,+30 33 15
1757,62 Ser,18,50.6,6,29,18h54m52.4506s,+06d36m34.6813s,6,3978.0,5.7,G5,0.091,0.015,0.023,0.011,4;18,12.4,35,,4380.10,,18 50 34.8,+06 29 24,5.57,1.04,K0   III,,0.088,168,0.0125,7.2,,18 55 27.4,+06 36 55
1758,Lal 36663,19,19.8,33,1,19h22m45.5973s,+33d12m32.8626s,32,3411.0,6.5,K0,0.183,0.08,0.076,0.055,3;14,12.5,33,,4539.00,,19 19 47.6,+33 01 22,6.37,0.81,G8   V,,0.190,25,0.0566,6.0,,19 23 34.0,+33 13 19
1759,Lal 36868,19,25.5,-6,43,19h30m21.7596s,-06d30m31.6309s,-6,5170.0,7.3,G0,0.198,-0.137,-0.145,0.04,5;21,12.4,34,,4562.10,,19 25 31.8,-06 43 10,7.29,0.64,G0,LTT 7713,0.194,223,0.0418,8.4,,19 30 52.7,-06 30 52
1760,Zeta Sge AB,19,44.5,18,53,19h48m26.2074s,+19d07m56.1744s,18,4254.0,5,A2,0.031,0.016,0.015,0.003,3;18,10.4,47,,4660.00,M,19 44 32.2,+18 53 28,5.00,0.10,A3   V,ZET Sge,0.034,38,0.0069,3.7,G,19 48 58.6,+19 08 31
,,,,,,,,,,,,,,,,,,,,4660.00,A,19 44 32.2,+18 53 28,5.00,0.10,,ZET Sge,0.034,38,0.0069,3.7,G,19 48 58.6,+19 08 31
1761,Lal 37785,19,45.0,35,4,19h48m43.2036s,+35d19m01.1942s,34,3727.0,6.5,F5,0.101,0.081,0.081,0.018,5;18,12.1,36,,4661.00,,19 44 59.9,+35 03 33,6.53,0.44,F4   V,,0.098,46,0.0194,7.8,G,19 48 43.8,+35 18 41
1762,67 Aql,20,9.6,14,54,20h13m37.1899s,+15d12m06.7303s,14,4227.0,5,A0,0.075,0.052,0.054,0.018,6;24,12.2,34,,4806.00,,20 09 38.9,+14 53 34,4.95,0.08,A2   V,RHO Aql,0.081,44,0.0218,9.8,,20 14 16.6,+15 11 51
1763,5 Del,20,33.0,11,2,20h37m46.7635s,+11d22m57.3932s,10,4339.0,5.4,A2,0.036,0.035,0.04,0.02,5;20,12.3,34,,4906.10,,20 33 02.0,+11 01 42,5.43,0.06,A2   V,IOT Del,0.036,98,0.0229,8.4,,20 37 49.1,+11 22 39
1764,Grb 3295,20,44.9,52,3,20h46m57.9363s,+52d25m04.9201s,51,2954.0,6.3,G5,0.171,0.064,0.075,0.016,5;18,12.3,34,,4976.00,,20 44 53.5,+52 02 31,6.27,0.89,G7   IV,,0.175,151,0.0180,8.4,,20 47 52.9,+52 24 26
1765,Lal 41144,21,7.5,23,45,21h11m27.1277s,+24d09m33.3711s,23,4264.0,8,F8,0.442,0.424,0.45,0.018,6;21,12.3,34,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1766,4 Peg,21,33.5,5,19,21h37m59.743s,+05d45m59.1709s,5,4834.0,5.8,F0,0.112,0.109,0.104,0.03,5;17,12.3,30,,5216.00,,21 33 31.3,+05 19 13,5.67,0.25,A9   IV-Vn,4 Peg,0.122,73,0.0325,8.4,,21 38 31.9,+05 46 18
1767,D' Ag 5947,21,49.4,27,52,21h53m29.3714s,+28d20m16.4872s,27,4191.0,6.7,A2,0.197,-0.163,-0.162,0.001,5;17,12.2,33,,5291.00,,21 49 26.3,+27 52 23,6.80,0.25,A5n  d,CI 18-2848,0.192,235,0.0018,7.3,G,21 53 54.6,+28 20 30
1768,WB 82,22,5.9,22,18,22h09m41.2012s,+22d47m27.2493s,22,4567.0,8.8,K4,0.585,-0.583,-0.581,0.032,5;20,12.5,50,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1769,Lal 43974,22,26.1,-7,4,22h31m13.5834s,-06d33m12.675s,-7,5797.0,6.2,F8,0.196,0.167,0.163,0.043,7;24,12.3,32,,5446.00,,22 26 03.5,-07 03 55,6.14,0.56,F7   V,,0.200,121,0.0458,11.1,,22 31 18.3,-06 33 18
1770,AOe 25734,23,28.2,62,36,23h32m33.6539s,+63d09m07.7534s,62,2244.0,7.4,G5,0.435,0.433,0.436,0.028,7;23,12.4,30,*,5696.10,,23 28 13.5,+62 36 08,7.44,0.74,G8   IV,,0.449,86,0.0298,11.1,,23 32 54.1,+63 09 19
1771,Lal 46154,23,28.5,42,17,23h32m51.5993s,+42d50m07.9209s,42,4700.0,7.2,G0,0.293,0.234,0.252,0.039,6;21,12.4,31,,5696.20,,23 28 29.9,+42 17 22,7.14,0.59,G0,G 171-003,0.305,53,0.0410,9.8,,23 33 24.0,+42 50 48
1772,Iota And,23,33.2,42,43,23h37m54.0679s,+43d16m13.093s,42,4720.0,4.3,B8,0.025,0.025,0.041,0.003,7;24,12.2,31,,5719.00,,23 33 13.7,+42 42 52,4.29,-0.10,B8   V,IOT And,0.028,83,0.0087,11.1,,23 38 08.2,+43 16 05
1773,85 Peg,23,56.9,26,33,00h01m06.9625s,+27d06m24.54s,26,4734.0,5.8,G0,1.294,0.836,0.815,0.085,6;27,11.6,44,*,5807.00,,23 56 56.7,+26 33 10,5.75,0.67,G5   VbFe*,85 Peg,1.305,140,0.0789,3.9,F,00 02 10.3,+27 04 54
1774,52 Psc,0,27.3,19,45,00h32m13.6641s,+20d18m07.8656s,19,79.0,5.5,G5,0.136,0.128,0.134,0.031,6;24,12.9,34,,90.10,,00 27 20.7,+19 44 36,5.38,1.08,K0   III,52 Psc,0.142,107,0.0333,9.8,,00 32 35.4,+20 17 39
1775,Lal 1171,0,39.6,54,40,00h44m41.9705s,+55d12m51.2499s,54,143.0,5.5,A0,0.027,-0.027,-0.026,0.008,6;25,12.1,35,,142.00,,00 39 35.0,+54 40 27,5.42,0.04,A2   V s,,0.034,267,0.0113,9.8,,00 45 17.1,+55 13 17
1776,47 Cas,1,55.1,76,48,02h04m57.7361s,+77d16m56.1886s,76,63.0,5.4,F0,0.35,0.125,0.115,0.024,7;28,12.2,32,,413.10,,01 55 05.6,+76 48 02,5.38,0.31,F0   Vn,47 Cas,0.138,110,0.0271,11.1,,02 05 07.4,+77 16 52
1777,43 Per,3,49.2,50,24,03h56m25.3678s,+50d41m36.9841s,50,860.0,5.5,F5p,0.16,0.095,0.092,0.033,5;20,12.5,33,,862.10,,03 49 10.0,+50 24 20,5.28,0.41,F5   IV,43 Per,0.156,139,0.0354,8.4,,03 56 36.5,+50 41 44
1778,Lal 9828,5,13.5,59,11,05h21m48.0153s,+59d17m10.4566s,59,870.0,7.3,G5,0.372,0.248,0.235,0.023,6;25,12.6,31,*,1206.00,,05 13 28.6,+59 11 02,7.07,0.75,G5   V,CI 18-679,0.376,140,0.0336,8.2,F,05 22 19.7,+59 16 39
1779,131 Tau,5,41.5,14,27,05h46m41.7874s,+14d29m21.136s,14,1025.0,5.7,A2,0.044,0.013,0.005,0.018,5;23,12.1,32,,1320.10,,05 41 31.3,+14 27 05,5.72,0.04,A3   Vn,131 Tau,0.038,178,0.0206,8.4,,05 47 13.1,+14 29 18
1780,Pi Aur,5,52.5,45,56,05h59m25.4547s,+45d56m37.4812s,45,1217.0,4.6,Ma,0.009,0.003,-0.004,0.001,5;22,12.1,33,,1375.00,,05 52 30.7,+45 55 39,4.26,1.72,M3   II,PI Aur,0.010,218,0.0033,8.4,,05 59 56.0,+45 56 11
1781,21 Mon,7,6.3,0,8,07h11m07.5013s,-00d01m50.8108s,0,1025.0,5.4,F0,0.033,-0.031,-0.022,0.015,5;20,12.3,32,,1679.10,,07 06 16.9,-00 08 12,5.45,0.29,A8   Vn-F*,21 Mon,0.047,236,0.0224,7.2,G,07 11 23.5,-00 18 08
1782,Eta Cnc,8,26.9,20,47,08h31m47.4169s,+20d26m47.3455s,20,2109.0,5.5,K0,0.069,-0.045,-0.036,0.012,5;24,12.5,31,,2032.00,,08 26 55.5,+20 46 51,5.33,1.25,K3   III,ETA Cnc,0.066,224,0.0143,8.4,,08 32 42.5,+20 26 28
1783,Br 1238,8,38.8,-6,52,08h42m54.7548s,-07d13m31.5965s,-6,2708.0,4.7,G0,0.004,-0.004,-0.006,0.004,5;23,12,32,*,2085.00,,08 38 45.6,-06 52 24,4.62,0.84,G1   Ib,,0.008,262,0.0060,7.3,G,08 43 40.3,-07 14 01
1784,59 Cnc,8,50.8,33,18,08h56m10.8397s,+32d55m05.8955s,33,1785.0,5.5,A3,0.087,-0.045,-0.046,0.007,5;22,12.2,30,,2140.00,,08 50 46.4,+33 17 42,5.45,0.12,A7   IV,SIG2 Cnc,0.089,224,0.0106,8.4,,08 56 56.5,+32 54 37
1785,Pi 29,12,11.5,33,37,12h16m02.2034s,+33d03m38.9078s,33,2213.0,5.1,K0,0.131,-0.049,-0.056,0.019,6;23,11.9,34,,2828.00,,12 11 28.5,+33 37 13,5.00,1.14,K0.5 IIIb,,0.128,205,0.0224,9.8,,12 16 30.1,+33 03 41
1786,5 U Mi,14,27.7,76,8,14h26m48.9732s,+75d41m13.2431s,76,527.0,4.4,K2,0.02,0.008,0.012,0.021,7;22,12.1,31,,3292.00,,14 27 43.8,+76 08 26,4.25,1.44,K4-  IIIB*,5 UMi,0.021,14,0.0185,8.7,G,14 27 31.5,+75 41 46
1787,Lal 27055,14,45.8,24,19,14h49m27.5185s,+23d54m05.8128s,24,2786.0,5.8,G0,0.151,0.149,0.175,0.067,5;17,12.6,35,,3352.10,,14 45 47.3,+24 19 28,5.85,0.56,G0-2 V,,0.146,78,0.0697,8.4,,14 50 15.7,+23 54 42
1788,WB 716,15,32.4,40,10,15h35m37.2963s,+39d50m06.3056s,40,2903.0,7.9,K0,0.455,-0.452,-0.443,0.049,6;20,12.5,35,*,3531.00,M,15 32 28.8,+40 07 53,6.77,0.91,"K2+K3V,V",OSIG  298A,0.465,278,0.0425,3.2,G,15 36 02.1,+39 48 09
,,,,,,,,,,,,,,,,,,,*,3531.00,A,15 32 28.8,+40 07 53,7.45,,K2   V,OSIG  298A,0.465,278,0.0425,3.2,G,15 36 02.1,+39 48 09
,,,,,,,,,,,,,,,,,,,*,3531.00,B,15 32 30.0,+40 08 00,7.60,,K3   V,OSIG  298B,,,,,,15 36 07.3,+39 48 10
,,,,,,,,,,,,,,,,,,,*,3531.00,C,15 32 23.2,+40 09 37,7.57,0.97,K3   V,OSIG  298C,0.459,277,,,,15 35 56.5,+39 49 51
1789,Sigma 298,15,32.5,40,8,15h35m37.4024s,+39d48m06.3119s,40,2905.0,6.8,K0,0.45,-0.449,-0.446,0.052,6;21,12,40,*,3531.00,M,15 32 28.8,+40 07 53,6.77,0.91,"K2+K3V,V",OSIG  298A,0.465,278,0.0425,3.2,G,15 36 02.1,+39 48 09
,,,,,,,,,,,,,,,,,,,*,3531.00,A,15 32 28.8,+40 07 53,7.45,,K2   V,OSIG  298A,0.465,278,0.0425,3.2,G,15 36 02.1,+39 48 09
,,,,,,,,,,,,,,,,,,,*,3531.00,B,15 32 30.0,+40 08 00,7.60,,K3   V,OSIG  298B,,,,,,15 36 07.3,+39 48 10
,,,,,,,,,,,,,,,,,,,*,3531.00,C,15 32 23.2,+40 09 37,7.57,0.97,K3   V,OSIG  298C,0.459,277,,,,15 35 56.5,+39 49 51
1790,Grb 2275,15,35.0,80,47,15h29m21.1358s,+80d26m54.5232s,80,480.0,6.5,G5,0.254,-0.227,-0.218,0.044,7;23,12.2,32,,3540.00,A,15 34 58.6,+80 46 49,6.58,0.67,G0   IV-V,Groom 2275,0.253,299,0.0373,6.5,G,15 29 11.1,+80 26 55
,,,,,,,,,,,,,,,,,,,,3540.00,B,15 35 11.4,+80 46 54,7.30,0.81,G8   IV-V,Groom 2276,0.244,297,,,,15 29 23.5,+80 27 00
1791,Pi 212,15,50.2,20,36,15h54m25.0958s,+20d18m19.2977s,20,3166.0,5.8,K5,0.091,-0.082,-0.077,0.014,7;22,12.7,30,,3599.00,,15 50 10.0,+20 36 14,5.44,1.59,M0   III,,0.092,296,0.0238,8.8,G,15 54 34.5,+20 18 39
1792,Iota Oph,16,49.3,10,20,16h53m44.2936s,+10d10m08.6593s,10,3092.0,4.3,B8,0.067,-0.053,-0.056,0.022,6;22,12.2,30,,3840.10,,16 49 16.5,+10 19 47,4.38,-0.08,B8   V,IOT Oph,0.064,235,0.0278,9.8,,16 54 00.5,+10 09 54
1793,Epsilon U Mi,16,56.2,82,12,16h45m45.5532s,+82d02m04.2352s,82,498.0,4.4,G5,0.014,0.014,0.023,0.002,8;31,12.4,35,,3864.00,,16 56 12.1,+82 12 07,4.23,0.89,G5   III,EPS UMi,0.012,81,0.0086,9.9,G,16 45 58.0,+82 02 13
1794,Lal 31041,16,58.2,25,39,17h02m05.5967s,+25d30m21.5867s,25,3183.0,6,K0,0.098,0.051,0.066,0.014,5;20,12.4,32,,3869.10,,16 58 12.6,+25 38 47,5.75,1.02,G7   g,,0.110,30,0.0163,8.4,,17 02 18.6,+25 30 20
1795,Lal 31039,16,58.6,14,39,17h02m33.8037s,+14d30m23.5739s,14,3180.0,6.5,K0,0.258,-0.173,-0.165,0.031,5;17,12.9,33,,3873.00,,16 58 37.8,+14 39 30,6.52,0.76,G5   IV:,CI 18-2272,0.263,224,0.0295,7.3,G,17 03 10.4,+14 30 40
1796,Lal 31662,17,18.3,24,59,17h22m06.1955s,+24d53m12.3712s,25,3252.0,6.8,F5,0.195,0.084,0.07,0.017,7;27,12.4,33,,3950.10,,17 18 20.8,+24 58 47,6.87,0.50,F8   V,,0.184,154,0.0192,11.1,,17 22 27.7,+24 52 46
1797,112 Her,18,48.0,21,18,18h52m16.3664s,+21d25m15.0604s,21,3582.0,5.3,B9,0.016,-0.011,-0.01,0.003,7;25,12.1,34,,4360.00,,18 48 00.0,+21 18 16,5.48,-0.07,B9   II-I*,112 Her,0.016,190,0.0061,11.1,,18 52 16.4,+21 25 29
1798,Mu 18396,18,56.2,2,21,19h01m01.9215s,+02d29m26.2999s,2,3753.0,7.2,K0,0.232,0,0.022,0.006,6;22,12.8,31,,4413.10,,18 56 09.3,+02 20 51,7.07,1.04,K0   IV,,0.241,177,0.0074,9.8,,19 01 11.4,+02 28 54
1799,14 Cyg,19,36.2,42,35,19h39m15.0946s,+42d48m48.3383s,42,3413.0,5.4,B8,0.032,0.017,0.023,0.015,5;21,12.3,36,,4622.10,,19 36 11.1,+42 35 13,5.40,-0.08,B9   III,14 Cyg,0.037,30,0.0181,8.4,,19 39 26.5,+42 49 06
1800,Lal 38451,20,1.5,38,12,20h04m36.5003s,+38d29m03.4856s,38,3896.0,6.6,G5,0.276,0.255,0.25,0.042,5;18,12.3,34,*,4767.30,,20 01 30.8,+38 11 24,6.19,0.64,G5   IV,LTT 15881,0.278,69,0.0436,8.4,,20 05 09.7,+38 28 41
1801,43 Cyg,20,24.0,49,3,20h27m02.6737s,+49d22m49.0441s,48,3128.0,5.7,F0,0.089,0.067,0.068,0.01,7;26,12.4,32,,4872.00,,20 23 58.9,+49 03 04,5.69,0.26,F0   d,43 Cyg,0.097,37,0.0119,11.1,,20 27 02.2,+49 23 00
1802,Grb 3285,20,43.5,52,38,20h45m54.6616s,+52d59m58.1646s,52,2799.0,6.4,K0,0.136,-0.082,-0.081,0.006,8;29,12.4,30,,4966.10,,20 43 27.1,+52 37 52,6.33,1.12,K0,,0.132,221,0.0080,12.5,,20 46 21.1,+52 59 43
1803,Lal 40728,20,56.1,39,52,20h59m47.1942s,+40d15m24.3897s,39,4400.0,6.6,F8,0.317,0.236,0.238,0.015,5;19,12.3,33,*,5042.00,A,20 56 05.9,+39 51 45,6.56,0.55,F8   V,Groom 3357,0.314,48,0.0177,5.3,G,20 59 55.2,+40 15 31
1804,32 Peg,22,16.7,27,50,22h20m36.7735s,+28d20m10.4695s,27,4299.0,4.9,B8,0.016,0.015,0.019,0.017,7;24,12,31,*,5408.00,,22 16 42.2,+27 49 37,4.81,0.00,B9   III,32 Peg,0.011,106,0.0217,11.1,,22 21 19.3,+28 19 49
1805,Grb 3882,22,41.7,44,1,22h45m24.5326s,+44d32m33.1015s,43,4300.0,5.8,F0,0.14,0.136,0.147,0.016,7;26,12.5,32,,5514.00,,22 41 43.9,+44 01 07,5.76,0.36,F0   III-*,,0.146,76,0.0179,11.1,,22 46 10.2,+44 32 45
1806,"Ci 20, 1382",22,42.5,43,49,22h46m25.3677s,+44d20m35.9793s,43,4305.0,10.2,M5e,0.838,0.7,0.71,0.195,6;22,12,34,*,5520.00,M,22 42 30.0,+43 49 00,10.06,1.39,M4.5 Ve,CI 20-1382,0.901,239,0.1980,2.6,G,22 46 48.5,+44 19 50
,,,,,,,,,,,,,,,,,,,*,5520.00,A,22 42 30.0,+43 49 00,10.26,1.61,M4.5 Ve,CI 20-1382,0.901,239,0.1980,2.6,G,22 46 48.5,+44 19 50
,,,,,,,,,,,,,,,,,,,,5520.01,A,22 42 30.0,+43 49 13,11.90,,G0,Anonymous,,,0.0191,27.5,,22 46 55.7,+44 20 50
1807,92 Aqr,23,11.7,-8,16,23h16m11.1611s,-07d43m16.3707s,-8,6076.0,5.1,Mb,0.024,-0.022,-0.029,0.004,7;25,11.9,33,,5630.00,,23 11 39.9,-08 16 19,5.06,1.60,M3   III,CHI Aqr,0.022,240,0.0099,8.4,G,23 16 50.9,-07 43 36
1808,Tau Cas,23,42.2,58,6,23h46m52.6641s,+58d39m19.9625s,57,2804.0,5.1,K0,0.083,0.061,0.061,0.012,6;2I,12.7,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1809,61 Psc,0,42.6,20,23,00h47m17.1396s,+20d55m46.6657s,20,105.0,6.6,F8,0.154,0.154,0.164,0.019,7;23,12.5,34,,152.20,,00 42 36.4,+20 22 44,6.54,0.50,F8   V,61 Psc,0.157,84,0.0215,11.1,,00 47 54.8,+20 55 31
