Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
65,31 Lyncis,8,16,43,30,43,1815,4.4,K0,0.11,0.025,7.0,22.0,,1984.00,,08 15 59.4,+43 30 32,4.25,1.55,K4.5 III-*,31 Lyn,0.101,192,0.0194,8.9,F,08 22 50.1,+43 11 17
66,Sigma Hydrae,8,34,3,42,3,2026,4.5,K5,0.02,0.014,12.0,32.0,,2059.00,,08 33 31.8,+03 41 33,4.44,1.21,K1+  III,SIG Hya,0.029,225,0.0343,11.5,G,08 38 45.4,+03 20 29
67,Gamma Cancri,8,38,21,50,21,1895,4.7,A0,0.11,0.006,6.0,15.0,*,2080.00,,08 37 29.9,+21 49 41,4.66,0.02,A1   IV,GAM Cnc,0.113,247,0.0126,9.8,,08 43 17.1,+21 28 06
68,Delta Cancri,8,39,18,31,18,2027,4.2,K0,0.24,-0.012,12.0,32.0,*,2086.00,,08 39 00.1,+18 31 19,3.94,1.08,K0   III-*,DEL Cnc,0.233,184,0.0225,6.7,F,08 44 41.1,+18 09 15
69,Theta Hydrae,9,9,2,44,2,2167,3.8,A0,0.34,0.012,7.0,20.0,*,2200.00,,09 09 09.6,+02 44 10,3.88,-0.06,B9.5 V,THE Hya,0.338,158,0.0243,7.6,G,09 14 21.8,+02 18 51
70,Kappa Leonis,9,19,26,37,26,1939,4.6,K0,0.06,-0.009,5.0,15.0,,2235.00,,09 18 49.8,+26 36 46,4.46,1.23,K2   III,KAP Leo,0.061,212,-0.0043,7.5,G,09 24 39.2,+26 10 56
71,Sigma 2725 (brighter),20,42,15,32,15,4251,7.3,,0.12,0.025,9.0,22.0,,4954.00,A,20 41 33.6,+15 32 25,8.38,0.78,G9   d,SIG 2725A,0.115,56,0.0176,5.7,G,20 46 13.3,+15 54 26
,,,,,,,,,,,,,,,4954.00,B,20 41 33.6,+15 32 29,8.20,,G8   d,SIG 2725B,0.087,94,,,,20 46 13.2,+15 54 23
72,Sigma 2725 (fainter),20,42,15,32,15,4251,8,,0.1,-0.002,11.0,28.0,,4954.00,A,20 41 33.6,+15 32 25,8.38,0.78,G9   d,SIG 2725A,0.115,56,0.0176,5.7,G,20 46 13.3,+15 54 26
,,,,,,,,,,,,,,,4954.00,B,20 41 33.6,+15 32 29,8.20,,G8   d,SIG 2725B,0.087,94,,,,20 46 13.2,+15 54 23
