Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
76,Epsilon Cephei,22 11 0.00,+56 33 0.00,22 15 02.1,+57 02 37,+56˚2741,4.2,A5,27,11;27,,40,5.8,5392.0--,
77,5 Lacertae,22 25 0.00,+47 12 0.00,22 29 31.8,+47 42 24,+46˚3719,4.6,K0,None,8;25,,4,10.7,5441.0--,
78,Mu Pegasi,22 45 0.00,+24 4 0.00,22 50 00.1,+24 36 05,+23˚4615,3.7,K0,43,6;18,,37,8.6,5528.0--,
79,Beta 382,22 49 0.00,+44 13 0.00,22 53 40.0,+44 44 57,+43˚4331,5.6,A0,13,12;31,,16,18.2,5551.0--,
80,Phi Pegasi,23 47 0.00,+18 34 0.00,23 52 29.3,+19 07 12,+18˚5231,5.2,Ma,9,8;19,,12,12.5,5771.0--,
81,Rho Cassiopeiae,23 49 0.00,+56 57 0.00,23 54 23.0,+57 29 57,+56˚3111,4.8,F8p,13,11;26,,21,7.6,5775.0--,
82,Alpha Arietis,02 2 0.00,+22 59 0.00,02 07 10.4,+23 27 44,+22˚306,2.2,K2,29,6;17,,50,2.2,436.0--,
83,6 Persei,02 7 0.00,+50 36 0.00,02 13 36.3,+51 03 56,+50˚481,5.4,G5,None,7;22,,10,4.2,449.0--,
84,73 Ceti,02 23 0.00,+8 1 0.00,02 28 09.5,+08 27 35,+7˚388,4.3,A0,17,9;26,,27,10.9,501.0--,
85,86 Gamma Ceti,02 38 0.00,+2 49 0.00,02 43 18.0,+03 14 09,+2˚422,3.6,A0,14,8;20,,47,4.9,554.0A,
86,87 Mu Ceti,02 40 0.00,+9 42 0.00,,,+9˚359,4.4,A5,28,7;20,,,,0.00,
87,17 Persei,02 45 0.00,+34 39 0.00,02 51 30.8,+35 03 35,+34˚527,4,K5,None,10;28,,2,10.7,581.0--,
88,27 Kappa Persei,03 3 0.00,+44 29 0.00,03 09 29.6,+44 51 27,+44˚631,4.7,K0,32,7;19,,30,9.4,650.0--,
89,B. D. + 33  619,03 12 0.00,+33 51 0.00,,,+33˚619,4.9,K0,None,6;17,,,,0.00,
90,35 Sigma Persei,03 24 0.00,+47 39 0.00,03 30 34.5,+47 59 43,+47˚843,4.6,K0,None,8;22,,,9.9,726.0--,
91,74 Epsilon Tauri,04 23 0.00,+18 58 0.00,04 28 37.0,+19 10 49,+18˚640,3.6,K0,23,10;30,,17,12.4,987.0--,
92,32 Nu Aurigae,05 45 0.00,+39 7 0.00,,,+39˚1429,4.2,K0,17,7;21,,,,0.00,
93,Iota Geminorum,05 58 0.00,+23 16 0.00,06 04 07.2,+23 15 47,+23˚1170,4.3,G5,20,9;27,,12,4.8,1398.0--,
94,8 Monocerotis,06 18 0.00,+4 39 0.00,06 23 46.0,+04 35 34,+4˚1236,4.5,A5,16,6;19,,26,6.5,1482.0A,
95,43 Zeta Geminorum,07 58 0.00,+20 43 0.00,,,+20˚1687,var.,G0,-5000,10;25,,,,0.00,
96,54 Lambda Geminorum,07 12 0.00,+16 43 0.00,07 18 05.5,+16 32 25,+16˚1443,3.6,A2,33,9;24,,45,6.6,1708.0M,
97,6o Iota Geminorum,07 20 0.00,+28 0 0.00,,,+28˚1385,3.9,K0,35,8;25,,,,0.00,
98,17 Beta Cancri,08 11 0.00,+9 30 0.00,08 16 30.9,+09 11 07,+9˚1917,3.8,K2,-3000,9;26,,12,4.5,1967.0--,
99,5 Beta Virginis,11 45 0.00,+2 20 0.00,,,+2˚2489,3.8,F8,96,6;15,,,,0.00,
100,67 Ursae Majoris,11 57 0.00,+43 36 0.00,12 02 06.7,+43 02 43,+43˚2179,5.1,A3,None,7;20,,18,8.9,2774.0--,
101,42 Comae,13 5 0.00,+18 3 0.00,13 09 59.3,+17 31 46,+18˚2697,4.5,F5,64,14;31,,54,5.0,3006.0M,
102,8 Gamma Coronae,15 39 0.00,+26 37 0.00,15 43 01.7,+26 16 58,+26˚2722,3.9,A0,24,10;25,,56,22.2,3555.0--,
103,16 Tau Coronae,16 5 0.00,+36 45 0.00,16 08 58.3,+36 29 27,+36˚2699,4.9,G2,21,10;21,,28,11.6,3664.0--,
104,19 Xi Coronae,16 18 0.00,+31 7 0.00,16 22 05.8,+30 53 31,+31˚2845,4.7,G5,None,8;19,,13,12.5,3723.0--,
105,B. D. + 31  2873,16 33 0.00,+31 9 0.00,,,+31˚2873,7.3,F8,None,9;22,,,,0.00,
106,40 Zeta Herculis,16 38 0.00,+31 47 0.00,,,+31˚2884,3,G0,114,12;32,,,,0.00,
107,B. D. + 0  3593,16 48 0.00,+0 11 0.00,16 52 58.8,-00 01 36,+0˚3593,6.8,G5,79,11;27,,61,5.1,3837.0--,
108,65 Delta Herculis,17 11 0.00,+24 57 0.00,17 15 01.8,+24 50 21,+25˚3221,3.2,A0,29,7;19,,39,6.1,3916.0--,
109,68 u Herculis,17 14 0.00,+33 12 0.00,17 17 19.5,+33 05 59,+33˚2864,var.,B3,-23000,10;28,,9,8.9,3927.0--,
110,26 Draconis,17 34 0.00,+61 57 0.00,17 34 59.4,+61 52 29,+61˚1678,5.3,F0,46,9;27,,63,6.6,4013.0M,
111,84 Herculis,17 39 0.00,+24 22 0.00,17 43 21.5,+24 19 39,+24˚3237,5.7,F0,None,9;24,,5,13.9,4046.0--,
112,86 µ Herculis,17 43 0.00,+27 47 0.00,,,+27˚2888,3.5,G5,104,8;24,,,,0.00,
113,30 Draconis,17 47 0.00,+50 48 0.00,17 49 04.2,+50 46 51,+50˚2468,5.2,A0,-12000,7;19,,-3,9.5,4076.0--,
114,33 Gamma Draconis,17 54 0.00,+51 30 0.00,17 56 36.3,+51 29 19,+51˚2282,2.4,K5,11,8;22,,23,2.1,4107.0--,
115,B. D. + 4  3589,18 1 0.00,+4 39 0.00,18 05 37.5,+04 39 25,+4˚3589,6.8,G0,48,9;28,,49,3.3,4138.0--,
116,72 Ophiuchi,18 3 0.00,+9 33 0.00,18 07 20.9,+09 33 50,+9˚3564,3.7,A2,32,8;22,,45,7.8,4147.0A,
117,110 Herculis,18 41 0.00,+20 27 0.00,18 45 39.7,+20 32 46,+20˚3926,4.3,F5,40,11;28,,50,6.0,4328.0--,
118,13 Theta Cygni,19 34 0.00,+49 59 0.00,19 36 26.5,+50 13 15,+49˚3062,4.6,F5,57,8;19,,55,4.2,4611.0A,
119,Beta 658,19 40 0.00,+26 54 0.00,19 43 55.9,+27 08 07,+26˚3654,6.5,K0,-15000,9;26,,-11,13.9,4638.0M,
120,15 Cygni,19 41 0.00,+37 7 0.00,19 44 16.6,+37 21 15,+37˚3586,5,K0,15,9;24,,18,13.9,4641.0--,
121,37 Gamma Cygni,20 19 0.00,+39 56 0.00,20 22 13.6,+40 15 24,+39˚4159,2.3,F8p,-22000,8;22,,-1,7.3,4857.0--,
122,58 Nu Cygni,20 53 0.00,+40 47 0.00,,,+40˚4364,4,A0,-5000,8;22,,,,0.00,
123,46 Xi Pegasi,22 42 0.00,+11 40 0.00,22 46 41.5,+12 10 22,+11˚4875,4.3,F5,44,9;24,,50,10.6,5516.0A,
124,47 Lambda Pegasi,22 42 0.00,+23 2 0.00,22 46 31.8,+23 33 56,+22˚4709,4.1,K0,32,11;28,,40,11.2,5515.0--,
125,3 Andromedae,23 0 0.00,+49 30 0.00,23 04 10.9,+50 03 08,+49˚4028,4.9,K0,-9000,11;29,,,13.1,5586.0--,
126,7 Andromedae,23 8 0.00,+48 52 0.00,23 12 32.9,+49 24 22,+48˚3964,4.6,F0,53,13;34,,48,6.1,5615.0--,
127,6 Gamma Piscium,23 12 0.00,+2 44 0.00,23 17 09.9,+03 16 57,+2˚4648,3.8,K0,18,10;26,,24,2.5,5632.0--,
128,62 Tau Pegasi,23 16 0.00,+23 12 0.00,23 20 38.2,+23 44 25,+22˚4810,4.6,A5,31,9;25,,34,8.7,5649.0--,
129,68 Nu Pegasi,23 20 0.00,+22 51 0.00,,,+22˚4833,4.6,G0,33,9;21,,,,0.00,
130,85 Pegasi,23 57 0.00,+26 33 0.00,00 02 10.3,+27 04 54,+26˚4734,5.8,G0,84,12;32,,78,3.9,5807.0--,
131,Anonymous,00 0 0.00,+45 14 0.00,00 05 40.9,+45 48 45,,,,99,10;23,,88,2.3,4.0A,
132,Omicron Sigma 547 (prec.),00 0 0.00,+45 16 0.00,00 05 40.9,+45 48 45,+45˚4408,8.9,K5,92,7;16,,88,2.3,4.0A,
133,Omicron Sigma 547 (fol.),00 0 0.00,+45 15 0.00,00 05 40.9,+45 48 45,,8.9,K5,121,9;23,,88,2.3,4.0A,
,Mean,,,,,,,,103,5;--,,,,0.00,
134,Epsilon Andromedae,00 33 0.00,+28 46 0.00,00 38 33.4,+29 18 42,+28˚103,4.5,G5,33,6;19,,33,7.5,106.0--,
