Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
1620,Grb. 2196,14 57 0.00,+82 55 0.00,14 50 20.2,+82 30 42,+83˚431.0,5.7,G0,24,5;17,31,14,5.3,3393.0--,
1621,Lal. 27957,15 15 36.00,-2 3 0.00,15 20 47.0,-02 24 47,-1˚3047.0,6.5,K2,27,6;23,31,32,7.7,3466.0--,
1622,Lal. 28358,15 26 36.00,+57 47 0.00,15 28 51.9,+57 26 42,+57˚1590.0,6.9,F8,21,6;23,33,23,9.8,3503.0A,
1623,16 Her,16 11 0.00,+19 4 0.00,16 15 28.6,+18 48 27,+19˚3075.0,5.9,K0,10,8;28,30,12,12.5,3690.0--,
1624,Lal. 29752,16 13 54.00,+32 2 0.00,16 17 45.9,+31 48 16,+32˚2702.0,6.9,G0,22,6;21,32,24,9.8,3702.0--,
1625,17 G Oph,16 22 18.00,-7 22 0.00,16 27 43.5,-07 35 53,-7˚4292.0,5.4,Ma,11,6;24,33,9,7.2,3738.0--,
1626,Pi. 195,16 34 54.00,+77 39 0.00,16 30 38.6,+77 26 47,+77˚627.0,6.4,G5,16,5;20,30,16,6.9,3786.0--,
1627,30 Oph,16 55 48.00,-4 4 0.00,17 01 03.6,-04 13 21,-4˚4215.0,5,K0,4,6;22,32,12,2.2,3862.0--,
1628,Lal. 31693,17 17 54.00,+48 17 0.00,17 20 33.7,+48 11 19,+48˚2506.0,6.3,F2,7,7;24,31,9,11.1,3949.0--,
1629,Lal. 32019,17 28 24.00,+34 21 0.00,17 32 00.9,+34 16 16,+34˚2989.0,6.5,G5,49,5;19,34,54,6.6,3984.0--,
1630,Lal. 33085,17 56 48.00,+29 34 0.00,18 00 38.9,+29 34 19,+29˚3165.0,7.2,G5,37,4;17,31,38,7.2,4117.0A,
1631,Phi Dra,18 22 12.00,+71 17 0.00,18 20 45.3,+71 20 15,+71˚889.0,4.2,A0p,6,6;24,39,10,6.7,4241.0--,
1632,Lal. 34528,18 31 24.00,+34 22 0.00,18 35 13.5,+34 27 29,+34˚3245.0,5.9,B5,-23,6;23,31,-21,9.8,4281.0--,
1633,Lal. 34852,18 41 30.00,+23 29 0.00,,,+23˚3439.0,6.2,F2,19,4;16,31,,,0.00,
1634,48 Dra,18 55 6.00,+57 41 0.00,18 56 45.0,+57 48 53,+57˚1922.0,5.7,K0,18,5;20,31,20,8.4,4405.0--,
1635,Lal. 37161,19 29 24.00,+49 57 0.00,,,+49˚3038.0,8.1,F8,23,4;17,35,,,0.00,
1636,U Vul,19 32 18.00,+20 7 0.00,19 36 37.7,+20 19 57,+20˚4200.0,Var,G5,-18,6;24,39,-12,8.2,4604.0--,
1639,15 Del,20 44 54.00,+12 10 0.00,20 49 37.7,+12 32 43,+12˚4472.0,6,F5,29,4;16,36,31,7.2,4977.0--,
1640,Pi. 391,20 50 24.00,+54 8 0.00,20 53 18.3,+54 31 05,+53˚2511.0,7.2,K0,4,4;16,34,5,7.2,5001.0--,
1641,Epsilon Equ AB,20 54 6.00,+3 55 0.00,20 59 04.5,+04 17 37,,5.3,F5,23,5;19,36,17,3.2,5029.0M,
1642,Epsilon Equ C,20 54 6.00,+3 55 0.00,20 59 04.5,+04 17 37,,7.4,F5,14,5;20,36,17,3.2,5029.0M,
,Mean,,,,,+3˚4473.0,,,19,4,,,,0.00,
1643,Pi. 114,21 19 30.00,+23 51 0.00,21 23 58.8,+24 16 26,+23˚4300.0,5.7,F0,25,5;21,34,27,8.4,5155.0--,
1644,Lal. 42199,21 34 24.00,+19 49 0.00,21 39 01.2,+20 15 55,+19˚4754.0,5.8,F0,19,6;24,34,21,9.8,5219.0--,
1645,Pi. 406,22 2. 42.00,+18 59 0.00,,,+18˚4930.0,5.8,F0,13,6;20,29,,,0.00,
1646,Lal. 44541,22 40 54.00,+29 56 0.00,22 45 34.4,+30 26 32,+29˚4753.0,6.5,K0,20,5;18,33,25,6.3,5512.0A,
1647,AG Chr. 3703,22 55 6.00,+68 29 0.00,22 58 53.7,+69 01 50,+68˚1345.0,8.4,K0,24,5;20,31,17,6.4,5574.0A,
1648,Phi Aqr,23 9. 6.00,-6 35 0.00,23 14 19.3,-06 02 56,-6˚6170.0,4.4,4.4 Ma,6,8;31,31,8,8.0,5620.0--,
1649,11 And,23 14 48.00,+47 5 0.00,23 19 29.8,+48 37 32,+47˚4110.0,5.4,K0,16,4;16,31,17,7.2,5644.0--,
1650,Grb. 4220,23 59 30.00,+66 37 0.00,00 04 41.8,+67 10 00,+66˚1679.0,5.8,K0,4,6;25,33,16,6.8,5816.0--,
1651,Eta Psc,01 26 6.00,+14 50 0.00,01 31 29.0,+15 20 44,+14˚231.0,3.7,G5,17,5;21,38,13,5.5,314.0--,
1652,Delta Tri,02 10 54.00,+33 46 0.00,02 17 03.2,+34 13 27,+33˚395.0,5.1,G0,81,4;16,47,96,3.7,464.0--,
1653,37 Tau,03 58 48.00,+21 49 0.00,04 04 41.7,+22 04 54,+21˚585.0,4.5,K0,10,4;18,32,12,5.7,897.0A,
1654,Lal. 11196,05 50 18.00,+13 55 0.00,05 56 03.4,+13 55 29,+13˚1036.0,6.5,G5,38,4;18,37,49,5.7,1365.0--,
1655,Mu Gem,06 16 54.00,+22 34 0.00,06 22 57.5,+22 30 49,+22˚1304.0,3.2,Ma,16,5;21,35,18,5.3,1475.0--,
1656,Zeta Gem,06 58 12.00,+20 43 0.00,07 04 06.5,+20 34 12,+20˚1687.0,var,G0p,10,3;17,38,,4.9,1651.0A,
1657,Tau Gem,07 4. 48.00,+30 25 0.00,07 11 08.3,+30 14 42,+30˚1439.0,4.5,K0,6,4;17,31,7,6.0,1676.0--,
1658,Delta Cnc,08 39 0.00,+18 31 0.00,08 44 41.1,+18 09 15,+18˚2027.0,4.2,K0,24,6;24,33,22,6.7,2086.0--,
1659,Iota Cnc,08 40 36.00,+29 8 0.00,08 46 41.7,+28 45 35,+29˚1824.0,4.2,G5,8,5;20,32,20,5.0,2091.0A,
1660,7 Sex,09 47 0.00,+2 55 0.00,09 52 12.1,+02 27 14,+3˚2280.0,5.9,A0,4,5;21,37,12,5.6,2337.0--,
1661,Lambda Boo,14 12 36.00,+46 33 0.00,14 16 22.9,+46 05 17,+46˚1949.0,4.3,A0,28,7;25,36,41,8.0,3246.0--,
1662,Grb. 2152,14 45 12.00,+38 13 0.00,14 49 06.7,+37 48 40,+38˚2593.0,6,F0,14,7;24,31,22,7.9,3348.0--,
1663,44 B00 A,15 0. 30.00,+48 3 0.00,,,+48˚2259.0,5.3,G0,95,7;23,32,,,0.00,
1664,Grb. 2389,16 50 24.00,+43 0 0.00,16 53 32.3,+42 49 28,+43˚2659.0,6.7,G0,32,5;19,33,33,7.2,3848.0--,
1665,Lal. 31132,16 59 48.00,+47 12 0.00,17 02 36.3,+47 04 55,+47˚2420.0,6.7,G0,58,4;16,37,62,6.0,3877.0--,
1666,Lal. 31174,17 3. 24.00,+4 34 0.00,,,+4˚3336.0,7.2,G0,11,6;23,32,,,0.00,
1667,72 Her,17 16 54.00,+32 36 0.00,17 20 39.5,+32 28 03,+32˚2896.0,5.4,G0,73,4;21,58,73,5.6,3946.0--,
1668,Fed 2895,17 25 18.00,+67 23 0.00,17 25 00.0,+67 18 24,+67˚1014.0,6.3,K0,80,6;21,32,76,5.8,3972.0--,
1669,Mu Her,17 42 30.00,+27 47 0.00,17 46 27.5,+27 43 14,+27˚2888.0,3.5,G5,131,6;28,52,118,1.7,4060.0A,
1670,Xi Her,17 53 54.00,+29 16 0.00,17 57 45.8,+29 14 52,+29˚3156.0,3.8,K0,13,6;23,32,18,7.1,4106.0--,
1671,35 Dra,17 53 54.00,+76 59 0.00,17 49 27.0,+76 57 46,+76˚667.0,5,F5,28,7;23,31,30,8.0,4105.0--,
1672,Lal. 33439,18 6. 18.00,+38 27 0.00,,,+38˚3095.0,6.4,K0,85,4;18,42,,,0.00,
1673,109 Her,18 19 24.00,+21 43 0.00,18 23 41.9,+21 46 11,+21˚3411.0,3.9,K0,26,6;26,47,24,2.0,4231.0--,
1674,110 Her,18 41 24.00,+20 27 0.00,18 45 39.7,+20 32 46,+20˚3926.0,4.3,F5,44,4;20,51,50,6.0,4328.0--,
1675,111 Her,18 42 36.00,+18 4 0.00,18 47 01.2,+18 10 53,+18˚3823.0,4.4,A3,18,5;21,37,31,6.6,4336.0--,
1676,Grb. 2699,18 49 18.00,+52 51 0.00,18 51 35.1,+52 58 29,+52˚2294.0,5.6,G5,35,5;19,32,40,4.8,4371.0--,
1677,Br. 2388,18 53 18.00,+32 46 0.00,18 57 01.5,+32 54 04,+32˚3267.0,5.2,G0,52,4;16,32,62,3.4,4399.0M,
1678,Theta Lyr,19 12 54.00,+37 57 0.00,19 16 22.0,+38 08 01,+37˚3398.0,4.5,K0,20,5;19,31,10,6.1,4498.0--,
1679,Kappa Cyg,19 14 48.00,+53 11 0.00,19 17 06.1,+53 22 06,+53˚2216.0,4,K0,17,4;17,33,22,5.7,4513.0--,
1680,Beta 1 Cyg,19 26 42.00,+27 45 0.00,19 30 43.3,+27 57 35,+27˚3410.0,3.2,cmp,13,5;22,33,12,4.3,4567.0A,
1681,Beta 2 Cyg,19 26 42.00,+27 45 0.00,19 30 43.3,+27 57 35,+27˚3411.0,5.4,B9,16,5;21,32,12,4.3,4567.0A,
,mean,,,,,,,,15,4,,,,0.00,
1682,Theta Cyg,19 33 48.00,+49 59 0.00,19 36 26.5,+50 13 15,+49˚3062.0,4.6,F5,44,4;17,34,55,4.2,4611.0A,
1683,Beta Sge,19 36 36.00,+17 15 0.00,19 41 02.9,+17 28 33,+17˚4048.0,4.4,K0,3,4;20,49,10,5.7,4624.0--,
1684,Beta Aql,19 50 24.00,+6 9 0.00,19 55 18.8,+06 24 24,+6˚4357.0,3.9,K0,68,5;21,38,73,4.8,4705.0A,
1685,15 Sge,19 59 36.00,+16 48 0.00,20 04 06.2,+17 04 13,+16˚4121.0,5.9,G0,59,4;20,49,59,5.5,4760.0--,
1686,27 Cyg,20 2. 36.00,+35 42 0.00,20 06 21.8,+35 58 20,+35˚3959.0,5.5,K0,32,4;18,32,32,4.8,4774.0--,
1688,Grb. 3215,20 29 18.00,+41 33 0.00,20 32 51.5,+41 53 54,+41˚3799.0,7,G5,56,4;15,31,49,5.1,4893.0--,
1689,56 Cyg,20 46 30.00,+43 41 0.00,20 50 04.9,+44 03 33,+43˚3739.0,5.1,A5,10,6;22,37,23,6.9,4984.0--,
1690,Xi Cyg,21 1. 18.00,+43 32 0.00,21 04 55.8,+43 55 40,+43˚3800.0,3.9,K5,36,5;19,32,5,5.9,5074.0--,
1691,Alpha Equ,21 10 48.00,+4 50 0.00,21 15 49.4,+05 14 52,+4˚4635.0,4.1,F8p,18,5;18,34,18,4.9,5115.0A,
1692,Br. 2792,21 21 42.00,+46 17 0.00,21 25 19.5,+46 42 51,+46˚3305.0,5.5,F0,38,4;15,32,38,5.8,5163.0--,
1693,71 Cyg,21 25 48.00,+46 6 0.00,21 29 26.9,+46 32 26,+45˚3558.0,5.3,K0,18,3;13,31,24,4.9,5183.0--,
1694,Mu Cep,21 40 24.00,+58 19 0.00,21 43 30.4,+58 46 48,+58˚2316.0,var,Ma,-3,4;16,35,5,5.7,5252.0--,
1695,Iota Peg,22 2. 24.00,+24 51 0.00,22 07 00.6,+25 20 41,+24˚4533.0,4,F5,72,5;18,33,88,5.1,5345.0--,
1696,Epsilon Cep,22 11 24.00,+56 33 0.00,22 15 02.1,+57 02 37,+56˚2741.0,4.2,F0,29,5;19,31,40,5.8,5392.0--,
1697,Lal. 43492,22 12 18.00,+12 24 0.00,22 17 15.1,+12 53 54,+12˚4797.0,6.9,G0,30,4;17,33,37,5.4,5398.0--,
1698,Delta Cep,22 25 30.00,+57 54 0.00,22 29 10.2,+58 24 54,+57˚2548.0,var,G0,7,6;25,36,8,4.8,5443.0A,
1699,Tau Peg,23 15 42.00,+23 12 0.00,23 20 38.2,+23 44 25,+22˚4810.0,4.6,A5,27,7;28,35,34,8.7,5649.0--,
1700,27 Psc,23 53 36.00,-4 7 0.00,23 58 40.3,-03 33 21,-4˚5996.0,5.1,K0,25,4;17,35,26,5.2,5793.0--,
1701,23 And,00 8. 18.00,+4 29 0.00,00 13 30.8,+41 02 07,+40˚29.0,5.7,A5,22,7;22,31,24,11.1,34.0--,
1702,41 And,01 2. 18.00,+43 25 0.00,01 08 00.8,+43 56 30,+43˚234.0,5.2,A2,26,6;22,30,29,9.8,223.0--,
1703,Mayer 136,03 47 24.00,+17 2 0.00,03 53 10.0,+17 19 37,+16˚523.0,6,F0,28,5;21,32,31,8.4,854.0--,
1704,59 Per,04 35 48.00,+43 10 0.00,04 42 54.3,+43 21 54,+43˚1043.0,5.2,A0,14,5;21,30,17,8.4,1041.0--,
1705,Phi Aur,05 21 0.00,+34 23 0.00,05 27 38.9,+34 28 33,+34˚1048.0,5.3,K0,9,5;21,30,10,8.4,1234.0--,
1706,W Gem,06 29 12.00,+15 25 0.00,06 34 57.4,+15 19 49,+15˚1246.0,Var,G5,10,5;22,32,11,6.4,1531.0--,
1707,6 Hya,08 35 18.00,-12 7 0.00,08 40 01.4,-12 28 31,-11˚2420.0,5.2,K2,17,5;20,31,24,6.7,2068.0--,
1708,Br 1306,09 13 48.00,+51 41 0.00,09 20 43.6,+51 15 57,+51˚1495.0,6.1,F2,34,6;25,32,36,9.8,2220.0--,
1709,Lal 22632,11 57 24.00,+43 39 0.00,12 02 06.7,+43 02 43,+43˚2182.0,6.8,K0,11,6;24,32,18,8.9,2774.0--,
1710,Lal 22810,12 4. 36.00,+40 49 0.00,,,+41˚2276.0,7.4,K0,32,8;29,31,,,0.00,
1711,Lal 24587,13 9. 12.00,+40 41 0.00,,,+40˚2633.0,5,K0,2,6;21,31,,,0.00,
1712,Grb 2116,14 25 42.00,+42 15 0.00,14 29 36.7,+41 47 45,+42˚2508.0,6.4,G0,31,7;24,32,30,8.9,3286.0--,
1713,Chi Ser,15 37 6.00,+13 10 0.00,15 41 47.4,+12 50 51,+13˚2982.0,5.3,A0p,27,6;21,30,30,9.8,3549.0--,
1714,20 Oph,16 44 18.00,-10 36 0.00,16 49 49.9,-10 46 59,-10˚4394.0,4.7,F5,11,8;28,30,14,12.5,3826.0--,
1715,AOe 17415,17 37 0.00,+68 26 0.00,17 36 25.8,+68 20 21,+68˚946.0,9.1,M3,218,6;21,31,219,1.8,4029.0--,
1716,Zeta Sct,18 18 12.00,-8 59 0.00,18 23 39.5,-08 56 04,-9˚4712.0,4.8,G5,10,6;21,29,14,8.2,4227.0--,
1717,Bon 12845,19 15 42.00,+41 28 0.00,19 19 00.5,+41 38 04,+41˚3306.0,8.8,K1,36,6;22,32,29,1.5,4524.0--,
1718,70 Aql,20 31 30.00,-2 54 0.00,20 36 43.6,-02 32 59,-3˚4961.0,5.2,K5,15,6;24,31,16,8.0,4901.0--,
1719,Mu Cyg,21 39 42.00,+28 17 0.00,21 44 08.6,+28 44 34,+28˚4169.0,4.4,F5,44,5;17,31,42,4.9,5245.0M,
1720,40 Peg,22 34 0.00,+19 0 0.00,22 38 52.5,+19 31 20,+18˚5014.0,5.8,G5,10,7;27,31,12,11.1,5480.1A,
1721,41 H Cep,23 43 6.00,+67 15 0.00,23 47 54.7,+67 48 24,+67˚1562.0,5,A0,5,7;25,31,15,8.9,5759.0--,
1722,12 Cas,00 19 18.00,+61 17 0.00,00 24 47.5,+61 49 51,+61˚69.0,5.4,B9,12,7;25,34,15,11.1,65.1--,
1723,Pi Cas,00 37 54.00,+46 29 0.00,00 43 28.0,+47 01 28,+46˚146.0,5,A5,18,5;20,31,21,8.4,127.0--,
1724,40 Cas,01 30 30.00,+72 32 0.00,01 38 30.9,+73 02 24,+72˚86.0,5.5,K0,16,6;23,32,18,9.8,329.0--,
1725,AOe 1867,01 36 48.00,+63 20 0.00,01 43 40.7,+63 49 24,+63˚229.0,8.2,K2,77,5;18,38,73,3.8,354.0--,
1726,Lal 6436,03 24 42.00,+19 46 0.00,03 30 30.4,+20 06 11,+19˚547.0,7.9,G5,33,5;25,36,40,6.9,731.0A,
1727,19 Cam,05 27 36.00,+64 5 0.00,05 37 15.0,+64 09 17,+64˚536.0,6,B9,6,5;24,30,8,8.4,1261.1--,
1728,Lal 11374,05 56 18.00,+32 38 0.00,06 02 55.1,+32 38 08,+32˚1166.0,6.2,F5,26,5;23,31,28,8.4,1390.0--,
1729,Lal 11936,06 10 30.00,+0 28 0.00,,,+0˚1234.0,5.7,F5,38,5;20,30,,,0.00,
1730,36 Gem,06 45 36.00,+21 53 0.00,06 51 32.9,+21 45 40,+21˚1405.0,5.2,A0,9,5;21,32,12,8.4,1598.0M,
1732,27 Mon,07 54 42.00,-3 24 0.00,07 59 44.1,-03 40 46,-3˚2157.0,5.1,K0,-1,5;21,35,10,7.0,1893.0--,
1733,32 Lyn,08 26 54.00,+36 47 0.00,08 33 21.7,+36 26 10,+36˚1836.0,6.1,F2,32,7;28,30,32,8.9,2031.0--,
1734,Alpha Cnc,08 53 0.00,+12 15 0.00,08 58 29.2,+11 51 27,+12˚1948.0,4.3,A3,16,4;18,31,22,7.2,2147.0--,
1735,Lal 18286,09 12 0.00,+29 0 0.00,09 17 53.4,+28 33 37,+29˚1883.0,7.3,K0,47,6;23,33,57,4.2,2212.0M,
1736,26 Uma,09 28 0.00,+52 30 0.00,09 34 49.4,+52 03 05,+52˚1402.0,4.6,A0,18,6;24,31,23,9.8,2275.0--,
1737,53 Leo,10 44 0.00,+11 4 0.00,10 49 15.4,+10 32 42,+11˚2283.0,5.3,A0,1,8;30,34,5,12.5,2517.1--,
1738,57 UMa,11 23 42.00,+39 53 0.00,11 29 04.1,+39 20 13,+40˚2433.0,5.3,A2,19,5;20,34,23,8.4,2654.1--,
1739,11 Vir,12 5. 0.00,+6 22 0.00,12 10 03.4,+05 48 24,+6˚2559.0,5.7,F0,16,5;20,39,19,8.4,2802.1--,
1740,Lal 24652,13 11 54.00,+17 33 0.00,13 16 51.0,+17 01 02,+17˚2611.0,6.6,K0,97,6;24,39,74,6.0,3035.0A,
1741,Lal 25372,13 40 42.00,+15 26 0.00,13 45 43.8,+14 53 27,+15˚2620.0,8.5,K2,185,6;22,49,184,2.8,3135.0--,
1742,22 Boo,14 21 48.00,+19 41 0.00,14 26 27.4,+19 13 36,+19˚2810.0,5.4,A5,2,7;25,33,5,11.1,3274.1--,
1743,39 Boo A,14 46 18.00,+49 8 0.00,14 49 41.4,+48 43 15,+49˚2326.0,6.1,F6,8,7;21,33,9,7.9,3355.1A,
1744,39 Boo B,,,,,,7.1,F1,5,7;23,33,,,0.00,
,Mean,,,,,,,,6,5,,,,0.00,
1745,36 Ser,15 46 6.00,-2 47 0.00,15 51 15.6,-03 05 26,-2˚4058.0,5.2,A2,-2,6;22,33,11,7.7,3588.0--,
1746,WB 1323,15 54 30.00,+28 1 0.00,15 58 32.1,+27 44 24,+28˚2503.0,8.1,K0,44,6;24,35,43,7.5,3614.0--,
1747,AOe 16069,16 13 24.00,+60 54 0.00,16 14 57.0,+60 40 11,+61˚1574.0,7.6,G5,38,4;17,32,37,6.5,3700.0A,
1748,Lal 29859,16 18 36.00,+17 42 0.00,16 23 06.0,+17 28 07,+17˚3012.0,8.1,G0,20,7;25,33,22,11.1,3726.0--,
1749,Zeta Her A,16 37 30.00,+31 47 0.00,16 41 17.2,+31 36 10,+31˚2884.0,3,G0,96,4;23,57,101,2.9,3799.0A,
1750,21 Oph,16 46 18.00,+1 23 0.00,16 51 24.9,+01 12 57,+1˚3323.0,5.5,A0,20,6;25,34,19,7.7,3831.0--,
1751,Grb 2391,16 47 30.00,+77 41 0.00,16 43 06.1,+77 30 50,+77˚634.0,6,F2,33,5;20,31,26,7.1,3833.0--,
1752,WB 322,17 20 48.00,+2 14 0.00,17 25 45.2,+02 06 41,+2˚3312.0,7.9,K5,126,5;21,42,130,3.4,3955.0--,
1753,Pi 180,17 34 18.00,+3 37 0.00,17 39 16.9,+03 33 18,+3˚3465.0,6.6,K0,80,6;22,31,81,8.2,4016.0--,
1754,70 Oph A,18 0. 24.00,+2 31 0.00,18 05 27.2,+02 29 58,+2˚3482.0,4.3,K1,191,4;19,42,199,3.4,4137.0M,
1755,70 Oph B,,,,,,6,K6,199,9;28,27,,,0.00,
,Mean,,,,,,,,193,4,,,,0.00,
1756,Lal 34419,18 29 0.00,+30 29 0.00,18 32 50.0,+30 33 15,+30˚3223.0,5.4,B8,5,6;24,31,8,9.8,4271.0--,
1757,62 Ser,18 50 36.00,+6 29 0.00,18 55 27.4,+06 36 55,+6˚3978.0,5.7,G5,11,4;18,35,12,7.2,4380.1--,
1758,Lal 36663,19 19 48.00,+33 1 0.00,19 23 34.0,+33 13 19,+32˚3411.0,6.5,K0,55,3;14,33,56,6.0,4539.0--,
1759,Lal 36868,19 25 30.00,-6 43 0.00,19 30 52.7,-06 30 52,-6˚5170.0,7.3,G0,40,5;21,34,41,8.4,4562.1--,
1760,Zeta Sge AB,19 44 30.00,+18 53 0.00,19 48 58.6,+19 08 31,+18˚4254.0,5,A2,3,3;18,47,6,3.7,4660.0M,
1761,Lal 37785,19 45 0.00,+35 4 0.00,19 48 43.8,+35 18 41,+34˚3727.0,6.5,F5,18,5;18,36,19,7.8,4661.0--,
1762,67 Aql,20 9. 36.00,+14 54 0.00,20 14 16.6,+15 11 51,+14˚4227.0,5,A0,18,6;24,34,21,9.8,4806.0--,
1763,5 Del,20 33 0.00,+11 2 0.00,20 37 49.1,+11 22 39,+10˚4339.0,5.4,A2,20,5;20,34,22,8.4,4906.1--,
1764,Grb 3295,20 44 54.00,+52 3 0.00,20 47 52.9,+52 24 26,+51˚2954.0,6.3,G5,16,5;18,34,18,8.4,4976.0--,
1765,Lal 41144,21 7. 30.00,+23 45 0.00,,,+23˚4264.0,8,F8,18,6;21,34,,,0.00,
1766,4 Peg,21 33 30.00,+5 19 0.00,21 38 31.9,+05 46 18,+5˚4834.0,5.8,F0,30,5;17,30,32,8.4,5216.0--,
1767,D' Ag 5947,21 49 24.00,+27 52 0.00,21 53 54.6,+28 20 30,+27˚4191.0,6.7,A2,1,5;17,33,1,7.3,5291.0--,
1768,WB 82,22 5. 54.00,+22 18 0.00,,,+22˚4567.0,8.8,K4,32,5;20,50,,,0.00,
1769,Lal 43974,22 26 6.00,-7 4 0.00,22 31 18.3,-06 33 18,-7˚5797.0,6.2,F8,43,7;24,32,45,11.1,5446.0--,
1770,AOe 25734,23 28 12.00,+62 36 0.00,23 32 54.1,+63 09 19,+62˚2244.0,7.4,G5,28,7;23,30,29,11.1,5696.1--,
1771,Lal 46154,23 28 30.00,+42 17 0.00,23 33 24.0,+42 50 48,+42˚4700.0,7.2,G0,39,6;21,31,41,9.8,5696.2--,
1772,Iota And,23 33 12.00,+42 43 0.00,23 38 08.2,+43 16 05,+42˚4720.0,4.3,B8,3,7;24,31,8,11.1,5719.0--,
1773,85 Peg,23 56 54.00,+26 33 0.00,00 02 10.3,+27 04 54,+26˚4734.0,5.8,G0,85,6;27,44,78,3.9,5807.0--,
1774,52 Psc,00 27 18.00,+19 45 0.00,00 32 35.4,+20 17 39,+19˚79.0,5.5,G5,31,6;24,34,33,9.8,90.1--,
1775,Lal 1171,00 39 36.00,+54 40 0.00,00 45 17.1,+55 13 17,+54˚143.0,5.5,A0,8,6;25,35,11,9.8,142.0--,
1776,47 Cas,01 55 6.00,+76 48 0.00,02 05 07.4,+77 16 52,+76˚63.0,5.4,F0,24,7;28,32,27,11.1,413.1--,
1777,43 Per,03 49 12.00,+50 24 0.00,03 56 36.5,+50 41 44,+50˚860.0,5.5,F5p,33,5;20,33,35,8.4,862.1--,
1778,Lal 9828,05 13 30.00,+59 11 0.00,05 22 19.7,+59 16 39,+59˚870.0,7.3,G5,23,6;25,31,33,8.2,1206.0--,
1779,131 Tau,05 41 30.00,+14 27 0.00,05 47 13.1,+14 29 18,+14˚1025.0,5.7,A2,18,5;23,32,20,8.4,1320.1--,
1780,Pi Aur,05 52 30.00,+45 56 0.00,05 59 56.0,+45 56 11,+45˚1217.0,4.6,Ma,1,5;22,33,3,8.4,1375.0--,
1781,21 Mon,07 6. 18.00,+0 8 0.00,07 11 23.5,-00 18 08,+0˚1025.0,5.4,F0,15,5;20,32,22,7.2,1679.1--,
1782,Eta Cnc,08 26 54.00,+20 47 0.00,08 32 42.5,+20 26 28,+20˚2109.0,5.5,K0,12,5;24,31,14,8.4,2032.0--,
1783,Br 1238,08 38 48.00,-6 52 0.00,08 43 40.3,-07 14 01,-6˚2708.0,4.7,G0,4,5;23,32,6,7.3,2085.0--,
1784,59 Cnc,08 50 48.00,+33 18 0.00,08 56 56.5,+32 54 37,+33˚1785.0,5.5,A3,7,5;22,30,10,8.4,2140.0--,
1785,Pi 29,12 11 30.00,+33 37 0.00,12 16 30.1,+33 03 41,+33˚2213.0,5.1,K0,19,6;23,34,22,9.8,2828.0--,
1786,5 U Mi,14 27 42.00,+76 8 0.00,14 27 31.5,+75 41 46,+76˚527.0,4.4,K2,21,7;22,31,18,8.7,3292.0--,
1787,Lal 27055,14 45 48.00,+24 19 0.00,14 50 15.7,+23 54 42,+24˚2786.0,5.8,G0,67,5;17,35,69,8.4,3352.1--,
1788,WB 716,15 32 24.00,+40 10 0.00,15 36 02.1,+39 48 09,+40˚2903.0,7.9,K0,49,6;20,35,42,3.2,3531.0M,
1789,Sigma 298,15 32 30.00,+40 8 0.00,15 36 02.1,+39 48 09,+40˚2905.0,6.8,K0,52,6;21,40,42,3.2,3531.0M,
1790,Grb 2275,15 35 0.00,+80 47 0.00,15 29 11.1,+80 26 55,+80˚480.0,6.5,G5,44,7;23,32,37,6.5,3540.0A,
1791,Pi 212,15 50 12.00,+20 36 0.00,15 54 34.5,+20 18 39,+20˚3166.0,5.8,K5,14,7;22,30,23,8.8,3599.0--,
1792,Iota Oph,16 49 18.00,+10 20 0.00,16 54 00.5,+10 09 54,+10˚3092.0,4.3,B8,22,6;22,30,27,9.8,3840.1--,
1793,Epsilon U Mi,16 56 12.00,+82 12 0.00,16 45 58.0,+82 02 13,+82˚498.0,4.4,G5,2,8;31,35,8,9.9,3864.0--,
1794,Lal 31041,16 58 12.00,+25 39 0.00,17 02 18.6,+25 30 20,+25˚3183.0,6,K0,14,5;20,32,16,8.4,3869.1--,
1795,Lal 31039,16 58 36.00,+14 39 0.00,17 03 10.4,+14 30 40,+14˚3180.0,6.5,K0,31,5;17,33,29,7.3,3873.0--,
1796,Lal 31662,17 18 18.00,+24 59 0.00,17 22 27.7,+24 52 46,+25˚3252.0,6.8,F5,17,7;27,33,19,11.1,3950.1--,
1797,112 Her,18 48 0.00,+21 18 0.00,18 52 16.4,+21 25 29,+21˚3582.0,5.3,B9,3,7;25,34,6,11.1,4360.0--,
1798,Mu 18396,18 56 12.00,+2 21 0.00,19 01 11.4,+02 28 54,+2˚3753.0,7.2,K0,6,6;22,31,7,9.8,4413.1--,
1799,14 Cyg,19 36 12.00,+42 35 0.00,19 39 26.5,+42 49 06,+42˚3413.0,5.4,B8,15,5;21,36,18,8.4,4622.1--,
1800,Lal 38451,20 1. 30.00,+38 12 0.00,20 05 09.7,+38 28 41,+38˚3896.0,6.6,G5,42,5;18,34,43,8.4,4767.3--,
1801,43 Cyg,20 24 0.00,+49 3 0.00,20 27 02.2,+49 23 00,+48˚3128.0,5.7,F0,10,7;26,32,11,11.1,4872.0--,
1802,Grb 3285,20 43 30.00,+52 38 0.00,20 46 21.1,+52 59 43,+52˚2799.0,6.4,K0,6,8;29,30,8,12.5,4966.1--,
