No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1728,Lal 11374,5,56.3,32,38,32,1166,6.2,F5,0.227,0.082,0.084,0.026,5;23,12.2,31
1729,Lal 11936,6,10.5,0,28,0,1234,5.7,F5,0.275,-0.162,-0.156,0.038,5;20,12.1,30
1730,36 Gem,6,45.6,21,53,21,1405,5.2,A0,0.036,-0.007,-0.007,0.009,5;21,12.2,32
1731,25 H Cam,7,10.1,82,36,82,201,5.1,Mb,0.041,0,0.005,0,4;18,12.3,32
1732,27 Mon,7,54.7,-3,24,-3,2157,5.1,K0,0.054,-0.054,-0.041,-0.001,5;21,12.3,35
1733,32 Lyn,8,26.9,36,47,36,1836,6.1,F2,0.141,-0.141,-0.138,0.032,7;28,12.5,30
1734,Alpha Cnc,8,53,12,15,12,1948,4.3,A3,0.051,0.035,0.037,0.016,4;18,11.8,31
1735,Lal 18286,9,12,29,0,29,1883,7.3,K0,0.511,0.07,0.065,0.047,6;23,12.3,33
1736,26 Uma,9,28,52,30,52,1402,4.6,A0,0.077,-0.064,-0.059,0.018,6;24,12.2,31
1737,53 Leo,10,44,11,4,11,2283,5.3,A0,0.032,-0.006,0.009,0.001,8;30,12.1,34
1738,57 UMa,11,23.7,39,53,40,2433,5.3,A2,0.052,-0.051,-0.047,0.019,5;20,12.3,34
1739,11 Vir,12,5,6,22,6,2559,5.7,F0,0.161,-0.16,-0.157,0.016,5;20,12,39
1740,Lal 24652,13,11.9,17,33,17,2611,6.6,K0,0.686,0.63,0.622,0.097,6;24,12.2,39
1741,Lal 25372,13,40.7,15,26,15,2620,8.5,K2,2.299,1.778,1.792,0.185,6;22,12.2,49
1742,22 Boo,14,21.8,19,41,19,2810,5.4,A5,0.074,-0.072,-0.014,0.002,7;25,12.3,33
1743,39 Boo A,14,46.3,49,8,49,2326,6.1,F6,0.117,-0.077,-0.066,0.008,7;21,12.1,33
1744,39 Boo B,,,,,,,7.1,F1,,,-0.071,0.005,7;23,12.1,33
,Mean,,,,,,,,,,,-0.068,0.006,5,,
1745,36 Ser,15,46.1,-2,47,-2,4058,5.2,A2,0.096,-0.09,-0.06,-0.002,6;22,11.8,33
1746,WB 1323,15,54.5,28,1,28,2503,8.1,K0,0.821,-0.761,-0.744,0.044,6;24,12.4,35
1747,AOe 16069,16,13.4,60,54,61,1574,7.6,G5,0.447,0.037,0.042,0.038,4;17,11.9,32
1748,Lal 29859,16,18.6,17,42,17,3012,8.1,G0,0.325,-0.14,-0.131,0.02,7;25,12.1,33
1749,Zeta Her A,16,37.5,31,47,31,2884,3,G0,0.608,-0.47,-0.462,0.096,4;23,10.2,57
1750,21 Oph,16,46.3,1,23,1,3323,5.5,A0,0.028,-0.027,-0.019,0.02,6;25,12.3,34
1751,Grb 2391,16,47.5,77,41,77,634,6,F2,0.212,0.051,0.072,0.033,5;20,12.3,31
1752,WB 322,17,20.8,2,14,2,3312,7.9,K5,1.333,-0.588,-0.593,0.126,5;21,12.7,42
1753,Pi 180,17,34.3,3,37,3,3465,6.6,K0,0.208,-0.181,-0.177,0.08,6;22,12.4,31
1754,70 Oph A,18,0.4,2,31,2,3482,4.3,K1,1.126,0.255,0.243,0.191,4;19,10,42
1755,70 Oph B,,,,,,,6,K6,,,0.243,0.199,9;28,10,27
,Mean,,,,,,,,,,,0.243,0.193,4,,
1756,Lal 34419,18,29,30,29,30,3223,5.4,B8,0.007,0.005,0.003,0.005,6;24,12.3,31
1757,62 Ser,18,50.6,6,29,6,3978,5.7,G5,0.091,0.015,0.023,0.011,4;18,12.4,35
1758,Lal 36663,19,19.8,33,1,32,3411,6.5,K0,0.183,0.08,0.076,0.055,3;14,12.5,33
1759,Lal 36868,19,25.5,-6,43,-6,5170,7.3,G0,0.198,-0.137,-0.145,0.04,5;21,12.4,34
1760,Zeta Sge AB,19,44.5,18,53,18,4254,5,A2,0.031,0.016,0.015,0.003,3;18,10.4,47
1761,Lal 37785,19,45,35,4,34,3727,6.5,F5,0.101,0.081,0.081,0.018,5;18,12.1,36
1762,67 Aql,20,9.6,14,54,14,4227,5,A0,0.075,0.052,0.054,0.018,6;24,12.2,34
1763,5 Del,20,33,11,2,10,4339,5.4,A2,0.036,0.035,0.04,0.02,5;20,12.3,34
1764,Grb 3295,20,44.9,52,3,51,2954,6.3,G5,0.171,0.064,0.075,0.016,5;18,12.3,34
1765,Lal 41144,21,7.5,23,45,23,4264,8,F8,0.442,0.424,0.45,0.018,6;21,12.3,34
1766,4 Peg,21,33.5,5,19,5,4834,5.8,F0,0.112,0.109,0.104,0.03,5;17,12.3,30
1767,D' Ag 5947,21,49.4,27,52,27,4191,6.7,A2,0.197,-0.163,-0.162,0.001,5;17,12.2,33
1768,WB 82,22,5.9,22,18,22,4567,8.8,K4,0.585,-0.583,-0.581,0.032,5;20,12.5,50
1769,Lal 43974,22,26.1,-7,4,-7,5797,6.2,F8,0.196,0.167,0.163,0.043,7;24,12.3,32
1770,AOe 25734,23,28.2,62,36,62,2244,7.4,G5,0.435,0.433,0.436,0.028,7;23,12.4,30
1771,Lal 46154,23,28.5,42,17,42,4700,7.2,G0,0.293,0.234,0.252,0.039,6;21,12.4,31
1772,Iota And,23,33.2,42,43,42,4720,4.3,B8,0.025,0.025,0.041,0.003,7;24,12.2,31
1773,85 Peg,23,56.9,26,33,26,4734,5.8,G0,1.294,0.836,0.815,0.085,6;27,11.6,44
1774,52 Psc,0,27.3,19,45,19,79,5.5,G5,0.136,0.128,0.134,0.031,6;24,12.9,34
1775,Lal 1171,0,39.6,54,40,54,143,5.5,A0,0.027,-0.027,-0.026,0.008,6;25,12.1,35
1776,47 Cas,1,55.1,76,48,76,63,5.4,F0,0.35,0.125,0.115,0.024,7;28,12.2,32
1777,43 Per ,3,49.2,50,24,50,860,5.5,F5p,0.16,0.095,0.092,0.033,5;20,12.5,33
1778,Lal 9828,5,13.5,59,11,59,870,7.3,G5,0.372,0.248,0.235,0.023,6;25,12.6,31
1779,131 Tau,5,41.5,14,27,14,1025,5.7,A2,0.044,0.013,0.005,0.018,5;23,12.1,32
1780,Pi Aur,5,52.5,45,56,45,1217,4.6,Ma,0.009,0.003,-0.004,0.001,5;22,12.1,33
1781,21 Mon,7,6.3,0,8,0,1025,5.4,F0,0.033,-0.031,-0.022,0.015,5;20,12.3,32
1782,Eta Cnc,8,26.9,20,47,20,2109,5.5,K0,0.069,-0.045,-0.036,0.012,5;24,12.5,31
1783,Br 1238,8,38.8,-6,52,-6,2708,4.7,G0,0.004,-0.004,-0.006,0.004,5;23,12,32
1784,59 Cnc,8,50.8,33,18,33,1785,5.5,A3,0.087,-0.045,-0.046,0.007,5;22,12.2,30
1785,Pi 29,12,11.5,33,37,33,2213,5.1,K0,0.131,-0.049,-0.056,0.019,6;23,11.9,34
1786,5 U Mi,14,27.7,76,8,76,527,4.4,K2,0.02,0.008,0.012,0.021,7;22,12.1,31
1787,Lal 27055,14,45.8,24,19,24,2786,5.8,G0,0.151,0.149,0.175,0.067,5;17,12.6,35
1788,WB 716,15,32.4,40,10,40,2903,7.9,K0,0.455,-0.452,-0.443,0.049,6;20,12.5,35
1789,Sigma 298,15,32.5,40,8,40,2905,6.8,K0,0.45,-0.449,-0.446,0.052,6;21,12,40
1790,Grb 2275,15,35,80,47,80,480,6.5,G5,0.254,-0.227,-0.218,0.044,7;23,12.2,32
1791,Pi 212,15,50.2,20,36,20,3166,5.8,K5,0.091,-0.082,-0.077,0.014,7;22,12.7,30
1792,Iota Oph,16,49.3,10,20,10,3092,4.3,B8,0.067,-0.053,-0.056,0.022,6;22,12.2,30
1793,Epsilon U Mi,16,56.2,82,12,82,498,4.4,G5,0.014,0.014,0.023,0.002,8;31,12.4,35
1794,Lal 31041,16,58.2,25,39,25,3183,6,K0,0.098,0.051,0.066,0.014,5;20,12.4,32
1795,Lal 31039,16,58.6,14,39,14,3180,6.5,K0,0.258,-0.173,-0.165,0.031,5;17,12.9,33
1796,Lal 31662,17,18.3,24,59,25,3252,6.8,F5,0.195,0.084,0.07,0.017,7;27,12.4,33
1797,112 Her,18,48,21,18,21,3582,5.3,B9,0.016,-0.011,-0.01,0.003,7;25,12.1,34
1798,Mu 18396,18,56.2,2,21,2,3753,7.2,K0,0.232,0,0.022,0.006,6;22,12.8,31
1799,14 Cyg,19,36.2,42,35,42,3413,5.4,B8,0.032,0.017,0.023,0.015,5;21,12.3,36
1800,Lal 38451,20,1.5,38,12,38,3896,6.6,G5,0.276,0.255,0.25,0.042,5;18,12.3,34
1801,43 Cyg,20,24,49,3,48,3128,5.7,F0,0.089,0.067,0.068,0.01,7;26,12.4,32
1802,Grb 3285,20,43.5,52,38,52,2799,6.4,K0,0.136,-0.082,-0.081,0.006,8;29,12.4,30
1803,Lal 40728,20,56.1,39,52,39,4400,6.6,F8,0.317,0.236,0.238,0.015,5;19,12.3,33
1804,32 Peg,22,16.7,27,50,27,4299,4.9,B8,0.016,0.015,0.019,0.017,7;24,12,31
1805,Grb 3882,22,41.7,44,1,43,4300,5.8,F0,0.14,0.136,0.147,0.016,7;26,12.5,32
1806,"Ci 20, 1382",22,42.5,43,49,43,4305,10.2,M5e,0.838,0.7,0.71,0.195,6;22,12,34
1807,92 Aqr,23,11.7,-8,16,-8,6076,5.1,Mb,0.024,-0.022,-0.029,0.004,7;25,11.9,33
1808,Tau Cas,23,42.2,58,6,57,2804,5.1,K0,0.083,0.061,0.061,0.012,6;2I,12.7,30
1809,61 Psc,0,42.6,20,23,20,105,6.6,F8,0.154,0.154,0.164,0.019,7;23,12.5,34
1810,Tau Psc,1,6.2,29,34,29,190,4.7,K0,0.078,0.069,0.059,0.013,7;27,12.3,33
1811,Lal 2450,1,16.9,18,10,17,197,8,F8,0.541,0.541,0.549,0.033,7;24,13.1,42
1812,Nu Ari,2,33.1,21,32,21,362,5.4,A2,0.018,-0.011,-0.009,0.008,4;19,11.6,36
1813,Grb 631,3,9.1,50,34,50,729,5.3,K0,0.016,-0.006,-0.004,0.009,4;17,12.3,35
1814,WB 617,3,35.3,-3,32,-3,592,6.7,F8,0.733,0.701,-0.684,0.052,4;19,12.4,34
1815,Sigma 443 A,3,40.2,41,9,41,750,8.2,G5,1.369,0.595,0.602,0.04,5;22,12,40
1816,Sigma 443 B,3,40.2,41,9,41,750,8.8,G5,1.369,0.595,0.595,0.045,6;23,12,40
1817,91 Tau,4,33.4,15,36,15,665,5.2,A2,0.084,0.042,0.03,0.018,4;21,12.3,39
1818,92 Tau,4,33.6,15,43,15,666,4.8,A3,0.086,0.084,0.076,0.018,4;19,12.3,40
1819,1 Aur,4,43.2,37,19,37,969,5.1,K2,0.047,-0.032,-0.037,0.024,5;22,12.4,32
1820,126 Tau,5,35.5,16,29,16,841,4.9,B3,0.024,0.012,0.005,0.012,6;24,12.3,32
1821,CGA 7512,6,10.7,-9,0,-8,1368,6,B9,0.04,-0.037,-0.018,-0.003,5;23,11.8,36
1822,Lal 12104,6,15,-2,54,-2,1564,5.2,Ma,0.014,-0.013,-0.007,-0.003,5;22,12.3,31
1823,Lal 13100,6,42.8,-8,53,-8,1558,5.3,K5,0.018,0.018,-0.008,0.002,5;21,11.6,32
1824,Lal 15290,7,47.2,30,55,31,1684,8.2,G0,1.974,0.725,0.712,0.039,6;27,12.4,36
1825,Grb 1368,7,49.1,79,45,79,265,5.3,A0,0.059,-0.027,-0.027,0.019,6;25,12.1,34
1826,Fed 1221,7,57.2,72,13,72,395,8,G0,0.503,-0.206,-0.225,0.033,5;20,12.8,34
1827,WB 1219,8,49.4,-5,3,-4,2490,6,G0,0.419,-0.418,-0.413,0.079,7;27,12.2,38
1828,Omega Hyd,9,0.7,5,30,5,2116,5.4,K0,0.019,-0.016,0.01,0.012,5;25,12.4,39
1829,23 Hyd,9,11.7,-5,56,-5,2762,5.4,K0,0.019,0.019,0.017,-0.005,5;23,11.2,38
1830,27 Hyd,9,15.6,-9,8,-8,2643,5,G5,0.037,-0.016,0,0.022,7;28,12.2,34
1831,31 UMa,9,49.2,50,18,50,1698,5.3,A2,0.017,-0.006,0.008,0.02,6;24,12.6,32
1832,Lamda UMa,10,11.1,43,25,43,2005,3.5,A2,0.17,-0.164,-0.144,0.029,6;24,11.6,42
1833,Lal 22585,11,55.6,-9,53,-9,3413,5.6,G5,0.498,0.123,0.124,0.075,6;23,12.4,37
1834,Grb 2044,13,42,41,35,41,2424,5.7,A3,0.125,-0.115,-0.107,0.009,7;27,12.4,35
1835,4 UMi,14,9.2,78,1,78,478,5,K0,0.043,-0.031,-0.035,0.019,7;27,12.2,33
1836,32 Boot,14,36.9,12,5,12,2729,5.6,G5,0.201,-0.159,-0.156,0.021,6;24,12.4,38
1837,Lal 27155,14,49.3,23,45,23,2751,8.5,K2,0.837,-0.837,-0.82,0.034,6;26,12.3,52
1838,Ross 52,14,49.5,23,58,,,11.1,M5,0.751,-0.74,-0.71,0.112,7;26,12.8,48
1839,Lal 27951,15,14.4,26,8,26,2676,8.6,G0,0.152,-0.132,-0.135,0.006,7;31,12.5,58
1840,Lal 27958,15,14.7,26,4,26,2677,8.1,G0,0.585,-0.571,-0.559,0.046,7;30,12.5,59
1841,Kappa Her,16,3.6,17,19,17,2964,5.3,G5,0.041,-0.037,-0.034,-0.002,7;24,12.3,35
1842,16 Sco,16,6.7,-8,17,-8,4180,5.5,A3,0.037,0.037,0.046,-0.012,6;21,12.2,38
1843,15 Dra,16,28.2,68,59,69,850,5,B8p,0.041,-0.027,-0.024,0.004,5;20,12.3,37
1844,Lal 30999,16,53.8,62,16,62,1520,7,G5,0.335,-0.33,-0.327,0.011,6;24,12.2,36
1845,Lal 31188,17,4.3,-10,24,-10,4445,5.6,F5,0.124,0.059,0.057,0.013,6;21,13,37
1846,Lal 32762,17,49.6,11,9,11,3283,6.3,F5,0.192,-0.077,-0.068,0.007,5;21,12.5,33
1847,SZ Aql,18,59.6,1,9,1,3877,Var,K2,0.029,-0.013,0.001,-0.008,5;20,12.9,41
1848,18 Aql,19,2.3,10,55,10,3787,5.1,B8,0.032,-0.006,-0.004,0.012,6;25,12.4,34
1849,WB 19h16,19,3.8,21,32,21,3672,6.2,F2,0.085,0.046,0.046,0.008,7;25,12.3,32
1850,Lal 35998,19,5.4,34,26,34,3439,6.5,G5,0.197,0.049,0.053,0.023,7;27,12.3,40
1851,Lal 36513,19,16.1,37,9,37,3417,6.4,G5,0.202,-0.072,-0.066,0.039,6;22,12.3,32
1852,66 Dra,20,4,61,42,61,1970,5.6,K0,0.14,0.12,0.117,0.037,5;19,12.4,37
1853,"Ci 20, 1206",20,21.4,9,8,9,4529,8.5,F5,0.561,0.113,0.113,0.023,6;25,12.3,46
1854,5 Aqr,20,46.9,-5,53,-6,5606,5.5,B8,0.005,-0.004,-0.001,-0.025,5;18,12.2,33
1855,WB 1454,20,59.1,2,36,2,4295,8.1,F8,0.474,-0.294,-0.287,0.001,6;24,13,31
1856,Lal 42741,21,50.3,31,52,31,4574,7.6,K0,0.33,0.204,0.2,0.033,6;22,12.2,43
1857,GC 30677,21,50.5,31,52,31,4577,7.1,K5,0.015,-0.014,-0.009,-0.008,6;20,12.2,43
1858,Wolf 1143,21,50.8,32,10,,,10.8,G2,0.732,0.71,0.761,0.018,7;25,11.9,45
1859,Lal 43319,22,6.8,35,46,35,4725,7.2,K0,0.24,0.034,0.025,0.048,6;20,12.4,33
1860,Lal 44318,22,34.4,43,48,43,4260,6.9,G0,0.242,0.233,0.256,0.037,5;18,12.5,37
1861,Lal 45165,23,0.2,16,2,15,4760,6.4,K0,0.271,-0.19,-0.206,0.019,6;23,12.2,38
1862,Iota Psc,23,34.8,5,5,4,5035,4.3,F8,0.571,0.37,0.363,0.07,5;20,12.2,41
1863,30 Psc,23,56.8,-6,34,-6,6345,4.7,Mb,0.058,0.048,0.041,-0.011,6;24,12.2,41
1864,39 Cet,1,11.5,-3,2,-3,172,5.5,G0,0.123,-0.18,-0.112,0.013,7;29,12.1,35
1865,58 And,2,2.5,37,23,37,486,4.8,A2,0.163,0.158,0.149,0,7;26,12.2,35
1866,Iota Cas,2,20.8,66,57,66,213,4.6,A5p,0.021,-0.013,-0.017,0.018,11;47,12.1,42
1867,38 Ari,2,39.5,12,1,11,377,5.2,A3,0.146,0.122,0.128,0.022,5;21,11.6,36
1868,21 Per,2,51.2,31,32,31,509,5.2,A0p,0.032,0.001,0.002,-0.002,6;25,12.4,32
1869,GC 3674,2,58,56,19,56,767,5.1,K0,0.077,-0.014,-0.016,0.003,5;24,12.1,36
1870,3 Cam,4,32,52,53,52,865,5.3,K0,0.014,0.003,-0.018,-0.009,6;28,12.7,34
1871,2 Cam,4,32,53,17,53,794,5.4,F0,0.106,0.052,0.032,0.013,7;30,12.5,33
1872,GC 5802,4,40.5,11,31,11,646,5.4,A0,0.072,0.072,0.053,0.001,5;21,12.4,33
1873,4 Aur,4,52.5,37,44,37,1005,5,A0,0.111,0.045,0.045,0.004,5;23,12.4,34
1874,66 Eri,5,1.8,-4,47,-4,1004,5.2,B9,0.018,0.015,0.01,0.019,5;21,12.2,30
1875,106 Tau,5,1.9,20,17,20,885,5.3,A3,0.058,-0.045,-0.05,0.003,5;21,12.2,34
1876,GC 7587,5,55.1,-3,5,-3,1256,4.7,K0,0.071,0.009,0.012,0.016,5;24,12.3,37
1877,GC 8020,6,7.8,69,21,69,371,4.7,A0,0.106,0.007,0.005,0.005,4;18,12.1,38
1878,45 Aur,6,13.6,53,30,53,1008,5.4,F5,0.101,0.032,0.018,0.022,5;20,12.2,36
1879,A 5871,7,6.6,27,24,27,1337,6.4,F5,0.108,0.015,0.019,0.027,5;23,12.1,34
1880,8 Cnc,7,59.5,13,24,13,1831,5.1,A0,0.079,-0.034,-0.023,0.018,5;22,12.1,34
1881,3 UMa,8,30.3,65,22,65,643,5.7,G0,0.088,-0.024,-0.021,0.062,5;21,12.2,44
1882,69 Cnc,8,56.9,25,51,25,2029,5.4,A0,0.009,-0.001,-0.001,-0.001,5;23,12.2,34
1883,5 Leo,9,26.6,11,45,11,2053,5.1,G5,0.129,-0.094,-0.091,0.025,8;33,12.1,33
1884,38 UMa,10,35.1,66,14,66,678,5.1,K0,0.18,-0.164,-0.145,0.02,6;22,12.3,32
1885,63 Leo,19,59.9,8,53,8,2455,4.7,F0,0.344,-0.34,-0.329,0.03,7;27,11.5,32
1886,93 Leo,11,42.8,21,46,21,2358,4.5,F8,0.15,-0.15,-0.129,0.012,7;27,12.2,37
1887,74 UMa,12,25.3,59,57,59,1444,5.4,A5,0.106,-0.064,-0.058,0.034,6;22,12.4,33
1888,GC 17430,12,45.4,38,4,38,2373,5.9,A2,0.099,-0.097,-0.087,-0.004,7;25,12.1,32
1889,9 Boo,13,52,28,59,28,2278,5.2,K0,0.06,0.025,0.045,0.006,5;21,12.8,34
1890,Delta Lib,14,55.6,-7,7,-7,3938,4.8,A0,0.066,-0.065,-0.058,0.009,7;26,12.2,43
1891,GC 20352,15,3,9,16,9,3001,8.7,G0,0.514,-0.511,-0.521,0.025,6;20,12.9,35
1892,GC 20737,15,22.2,61,54,61,1501,7.4,G5,0.398,0.359,-0.349,0.01,4;17,12.4,42
1893,R CrB,15,44.5,28,28,28,2477,5.8,G0p,0.023,-0.005,-0.001,0.001,6;24,11.4,37
1894,GC 21599,15,59.9,25,31,25,3020,7.1,G0,0.851,-0.528,-0.538,0.056,7;28,12.2,45
1895,23 Oph,16,49.2,-5,59,-5,4374,5.4,K0,0.045,-0.039,-0.031,0.024,5;20,12.5,35
1896,GC 22802,16,50.6,21,7,21,3002,5.5,K0,0.053,0.053,0.057,0.014,8;24,12.5,32
1897,GC 24409,17,52.2,18,38,18,3502,6.7,K0,0.203,0.203,0.208,0.022,6;23,12.3,32
1898,GC 25010,18,14.6,-9,38,-9,4692,7,G5,0.27,-0.102,-0.092,0.03,7;27,12.8,37
1899,A 11275,18,16.8,27,29,27,3003,7.1,G5,0.111,0.052,0.052,0.022,5;21,12.7,37
1900,GC 25208,18,23.2,-3,56,-3,4288,8.4,G0,0.382,-0.201,-0.225,0.023,7;27,11.9,37
1901,GC 25481,18,33.1,-3,17,-3,4331,6.5,F8,0.033,-0.013,-0.008,0.019,9;30,12.2,37
1902,TT Aql,19,3.2,1,9,1,3899,9,G5,0.019,-0.015,-0.007,0.008,5;20,12.4,42
1903,GC 26374,19,4.2,16,42,16,3758,6.5,F5,0.104,-0.032,-0.04,0.009,7;26,12.5,39
1904,GC 27677,19,54.7,30,43,30,3837,5.4,B8,0.027,0.027,0.035,0.033,6;25,12.2,37
1905,14 Vul,19,54.9,22,50,22,3872,5.7,F0,0.076,-0.076,-0.065,0.016,6;22,12.4,35
1906,62 Aql,19,59.2,0,59,-1,3887,5.8,K0,0.118,-0.001,-0.006,-0.001,7;25,12.4,35
1907,Xi Cap,20,6.9,-12,55,-13,5608,5.9,F5,0.272,0.192,0.193,0.033,6;23,12.1,40
1908,GC 28343,20,18.2,14,13,14,4275,6.2,F5,0.071,0.071,0.077,0.028,4;19,12.2,56
1909,74 Dra,20,35.3,80,44,80,660,6.1,K0,0.232,0.069,0.073,0.013,7;24,12.5,37
1910,11 Aqr,20,55.3,-5,7,-5,5433,6.3,G0,0.136,0.045,0.035,0.033,6;23,12.4,36
1911,GC 29626,21,7.6,45,3,44,3728,8.1,K0,0.419,-0.284,-0.247,0.024,6;22,12.3,36
1912,19 Aqr,21,19.8,-10,10,-10,5668,5.8,A2,0.17,0.019,0.001,0.004,6;24,12.2,38
1913,GC 30433,21,39.7,14,19,14,4668,6.1,G0,0.277,0.261,0.225,0.064,6;21,12.5,34
1914,GC 30655,21,49,-4,45,-4,5568,5.9,K0,0.103,0.051,0.069,0.017,7;25,12.1,36
1915,HD 209621,21,59.7,20,34,20,5071,8.8,R3,0.011,0.01,0.03,-0.021,5;20,12,38
1916,39 Peg,22,57.8,19,43,19,4949,6.3,F0,0.158,0.155,0.166,0.011,5;17,12.2,36
1917,Ross 671,22,51.8,16,2,15,4733,8.6,Ma,1.087,-1.05,-1.03,0.142,5;24,12.2,70
1918,A 16713,23,17.8,20,1,19,5093,6.6,G0,0.311,0.311,0.32,0.011,6;21,12.1,37
1919,Beta Cas,0,3.8,58,36,58,3,2.4,F5,0.556,0.527,0.516,0.059,5;20,12.6S,36W
1920,Wolf 1056*,0,33.5,30,4,,,11.4,M4,1.74,1.68,1.557,77,6;26,12.2,55C
1921,Delta And,0,34,30,19,30,91,3.5,K2,0.161,0.133,0.106,0.012,7;28,12.2,51C
1922,Gamma Cas*,0,50.7,60,11,59,144,2.2,B0p,0.026,0.026,0.028,-0.005,7;29,11.6S,36C
1923,Epsilon Psc,0,57.8,7,21,7,153,4.4,K0,0.087,0.082,-0.086,0.01,7;27,12.8,38C
1924,Mu Cass,1,1.6,54,26,54,223,5.3,G5,3.762,3.416,3.416,0.122,5;25n,12.4,87C
1925,39 Ari,2,42,28,50,28,462,4.6,K0,0.193,0.151,0.148,0.021,6;25,12.4,38C
1926,Beta Per,3,1.7,40,34,40,673,2.2,B8,0.006,0.006,0,0.039,6;23,10.2,28W
1927,Alpha Per,3,17.2,49,30,49,917,1.9,F5,0.035,0.025,0.019,0.001,4;23,12.5S,62C
1928,Epsilon Eri*,3,28.2,-9,48,-9,697,3.8,K0,0.975,-0.975,-0.985,0.292,5;20,12.2,39W
1929,Alpha Tau,4,30.2,16,18,16,629,1.1,K5,0.202,0.069,0.076,0.039,6;28,12.8S,62C
1930,Beta Ori*,5,9.7,-8,19,-8,1063,0.3,B8p,0.001,0.001,0.002,0.006,5;25,12.3S,48C
1931,Beta Tau,5,20,28,31,28,795,1.8,B8,0.178,0.03,0.023,0.017,4;25,12.3S,50C
1932,Alpha Ori,5,49.8,7,23,7,1055,0.8,Ma,0.028,0.027,0.027,-0.01,5;25,12.7S,33W
1933,Gamma Gem,6,31.9,16,29,16,1223,1.9,A0,0.066,0.047,0.044,0.041,4;23n,12.1S,55C
1934,Beta Cmi*,7,21.7,8,29,8,1774,3.1,B8,0.065,-0.05,-0.051,0.015,6;29,12.4S,48C
1935,Alpha Gem A,7,28.2,32,6,32,1581,2,A0,0.198,-0.165,-0.225,0.071,5;24,9.6,32W
1936,Alpha Gem B,7,28.2,32,6,32,1581,2.8,A1,,,-0.138,0.075,5;23,9.6,31W
1937,Alpha Gem C,7,28.2,32,5,32,1582,8.8,K6,0.222,-0.193,-0.215,0.074,4;19,9.6,32W
1938,Beta Gem,7,39.2,28,16,28,1463,1.2,K0,0.625,-0.623,-0.632,0.083,5;22,12.6S,35W
1939,Beta Cnc,8,11.1,9,30,9,1917,3.8,K2,0.069,-0.046,-0.039,-0.004,5;24,12.2,46C
1940,Alpha Hyd*,9,22.7,-8,14,-8,2680,2.2,K2,0.034,-0.015,-0.008,0.005,6;26,11.3,31W
1941,Zeta UMa B,13,19.9,55,27,55,1598,4,A2,0.123,0.118,0.123,0.034,6;25,12.1,36W
1942,Eta Uma*,13,43.6,49,49,50,2027,1.9,B3,0.123,-0.122,-0.105,0.034,7;28,12.1S,49C
1943,Alpha CrB,15,30.5,27,3,27,2512,2.3,A0,0.154,0.119,0.119,0.026,6;24,11.5S,34W
1944,Chi Her,15,49.2,42,44,42,2648,4.6,G0,0.766,0.437,0.452,0.053,5;21,12.2,30D
1945,Gamma Ser,15,51.8,15,59,16,2849,3.9,F5,1.328,0.307,0.309,0.079,6;27,12.1,73C
1946,Zeta Her,16,37.5,31,47,31,2884,3,G0,0.608,-0.47,-0.53,0.086,4;17,12.2S,36W
1947,19 Dra,16,55.5,65,17,65,1157,4.8,F5,0.241,0.237,0.249,0.057,6;23,12.2,45C
1948,Delta Her,17,10.9,24,57,25,3221,3.2,A2,0.164,-0.024,-0.014,0.038,5;22,12.4S,35W
1949,Alpha Oph,17,30.3,12,38,12,3252,2.1,A5,0.26,0.117,0.12,0.071,6;22,12.7S,33W
1950,Omega Dra,17,37.5,68,48,68,949,4.9,F5,0.322,0.003,0.008,0.04,7;26,12.3,36C
1951,Beta Oph,17,38.5,4,37,4,3489,2.9,K0,0.16,-0.043,-0.033,0.028,6;27,12.5S,52C
1952,Gamma Dra,17,54.3,51,30,51,2282,2.4,K5,0.026,-0.011,-0.005,0.02,6;24,12.4S,46C
1953,99 Her,18,3.2,30,33,30,3128,5.2,F8,0.119,-0.098,-0.108,0.056,4;17,12.3,31D
1954,Chi Dra*,18,22.9,72,41,72,839,3.7,F8,0.635,0.522,0.526,0.122,6;24,12,32D
1955,Alpha Sct,18,29.8,-8,19,-8,4638,4.1,K0,0.315,-0.018,-0.024,0.009,6;21,12.6,43C
1956,Alpha Lyr,18,33.6,38,41,38,3238,0.1,A0,0.345,0.2,0.207,0.126,7;26,12.5S,36W
1957,GC 25770,18,43.8,10,39,10,3665,8,K4,0.463,0.139,0.124,0.055,5;23,12.6,59C
1958,17 Lyr,19,3.6,32,21,32,3326,5,F0,0.125,0.124,0.128,0.019,6;26,12.5,57C
1959,17 Lyr C*,19,3.7,32,21,,,11.2,M5,1.66,1.25,1.233,0.109,6;26,12.5,55C
1960,Merrill*,19,7,16,40,,,10,WN7,,,-0.007,-0.005,5;18,11.1,26W
1961,31 Aql,19,20.2,11,44,11,3833,5.2,G5,0.96,0.719,0.727,0.046,5;21,12.6,31D
1962,RR Lyr,19,22.2,42,36,42,3338,Var,F5,0.224,-0.122,-0.108,0.007,6;24,12.4,46C
1963,Alpha Aql,19,45.9,8,36,8,4236,0.9,A5,0.658,0.535,0.536,0.189,4;17,12.4S,43W
