No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1276,Zeta Canc C,8,6.5,17,57,08h11m43.6914s,+17d39m11.3073s,,,6.3,G0,0.142,0.086,0.1,0.03,5;24,11.1,40
,Mean,,,,,0,0,18,1867.0,,,,,,0.035,3,,
1277,Rho Hyda,8,43.1,6,12,08h48m17.949s,+05d49m54.0001s,6,2040.0,4.4,A0,0.038,-0.012,-0.003,0.004,4;16,11.5,30
1278,Iota U Maj,8,52.4,48,26,08h58m55.3013s,+48d02m50.866s,48,1707.0,3.1,A5,0.5,-0.434,-0.439,0.063,5;22,11.3,35
1279,Pi Leon,9,54.9,8,31,09h59m17.3536s,+08d02m18.828s,8,2301.0,4.9,Ma,0.04,-0.031,-0.033,0.011,5;21,10.7,27
1280,41 L Min,10,38.0,23,43,10h43m27.0451s,+23d11m34.1412s,23,2253.0,5,A2,0.111,-0.111,-0.08,0.009,6;24,11.7,29
1281,55 Leon,10,50.6,1,16,10h55m08.0636s,+00d44m01.5588s,1,2501.0,6,F2,0.105,0.105,0.122,0.011,5;19,11.6,30
1282,Alpha U Maj,10,57.6,62,17,11h03m12.3661s,+61d44m43.4796s,62,1161.0,2,K0,0.137,-0.116,-0.107,0.033,7;30,11.2,30
1283,Grb 1812,11,33.5,45,40,11h38m21.7335s,+45d06m46.6924s,45,1947.0,6.3,G0,0.579,-0.579,-0.566,0.051,6;22,11.9,29
1284,4 Virg,11,42.8,8,48,11h47m08.7338s,+08d14m39.9587s,9,2549.0,5.2,A0,0.047,-0.047,-0.037,0.008,7;27,11.2,28
1285,4H Drac,12,7.5,78,10,12h11m41.9808s,+77d36m37.0884s,78,412.0,5.1,A5,0.023,0.011,0.005,0.03,5;19,11.5,29
1286,17 Coma,12,23.9,26,28,12h28m00.0878s,+25d54m47.8187s,26,2354.0,5.4,A0p,0.026,-0.016,-0.015,0.014,5;19,11.6,31
1287,33 Virg,12,41.3,10,6,12h46m03.0171s,+09d33m11.4655s,10,2468.0,5.9,K0,0.531,0.275,0.3,0.031,7;23,12.9,29
1288,35 Coma,12,48.4,21,47,12h52m55.8814s,+21d14m23.8265s,22,2519.0,5.1,K0,0.055,-0.047,-0.041,0.017,5;20,11.7,30
1289,Sigma Virg,13,12.6,6,0,13h17m03.0981s,+05d28m20.4795s,6,2722.0,5,Ma,0.015,-0.01,0.021,0.003,6;21,11.4,29
1290,Lal 24774,13,16.1,43,38,13h20m25.1343s,+43d06m31.0159s,43,2321.0,8.2,K0,0.438,-0.43,-0.434,0.033,5;19,11.6,30
1291,74 Virg,13,26.8,-5,44,13h31m12.6755s,-06d14m56.6168s,-5,3714.0,4.8,Ma,0.108,-0.097,-0.116,0.006,6;22,10.2,29
1292,2H U Min,14,56.0,66,20,14h57m36.794s,+65d56m02.9036s,66,878.0,4.9,Mb,0.079,-0.071,-0.044,0.005,4;14,11.2,28
1293,11 U Min,15,17.2,72,11,15h16m55.8027s,+71d49m11.186s,72,678.0,5.1,K0,0.024,0.023,0.024,0.009,6;22,11.7,32
1294,18 Drac,16,40.2,64,47,16h40m41.7064s,+64d35m37.2347s,64,1145.0,5,K0,0.017,0.007,0.003,0.002,5;20,11.2,31
1295,27H Ophi,17,21.3,-5,0,17h26m19.0343s,-05d05m16.515s,-4,4275.0,4.6,F0,0.102,-0.09,-0.072,0.024,5;20,11.1,28
1296,Grb 2517,18,4.5,43,27,18h07m00.7957s,+43d27m48.1826s,43,2892.0,5.1,G5,0.067,0.018,-0.003,0.007,6;23,10.9,28
1297,107 Herc,18,17.1,28,49,18h20m54.0489s,+28d51m45.587s,28,2981.0,5,A5,0.047,0.009,0.014,0.015,6;24,11.5,28
1298,Pi 185,19,31.3,-10,39,19h36m30.1988s,-10d25m42.6426s,-10,5130.0,8.5,K0,0.391,-0.288,-0.296,0.044,6;22,11.1,32
1299,Nu Aqil,19,40.8,7,22,19h44m51.549s,+07d36m26.409s,7,4210.0,5.7,A2,0.059,0.058,0.051,0.02,5;22,10.3,29
1300,Lal 27626,19,42.5,0,51,19h47m05.3501s,+01d05m43.0538s,0,4314.0,6.8,G5,0.234,-0.062,-0.042,0.025,4;15,11.6,29
1301,PGC 5072,19,47.8,24,44,19h51m12.3496s,+24d59m18.6718s,24,3914.0,5.7,F5,0.021,-0.011,0.003,0.003,4;17,10.9,30
1302,5 Capr,20,12.1,-12,49,20h17m32.368s,-12d30m27.9657s,-12,5683.0,4.6,G0p,0.019,0.018,0.022,0.003,5;18,11,29
1303,32 Cygn,20,12.4,47,24,20h15m05.3849s,+47d42m23.1151s,47,3059.0,4.2,K0,0.009,0.009,-0.002,0.009,4;15,10.2,33
1304,6 Capr,20,12.5,-12,51,20h17m32.4359s,-12d32m27.9616s,-12,5685.0,3.8,G5,0.061,0.061,0.063,0.026,5;21,11,33
1305,Sigma 2741 A,20,55.3,50,4,20h58m12.0507s,+50d27m16.3046s,49,3426.0,5.8,B8,0.018,0.011,0.01,0.003,4;17,11.5,35
1306,15 Aqar,21,12.9,-4,57,21h17m14.7084s,-04d31m55.0363s,-5,5512.0,5.7,B8,0.022,0.015,0.001,0.003,5;18,11.2,28
1307,Sigma 2786 A,21,14.8,9,6,21h18m53.0452s,+09d31m15.4288s,8,4651.0,7,A2,,,0.025,0.0,4;18,11,32
1308,Beta Aqar,21,26.3,-6,1,21h31m15.7102s,-05d34m36.9601s,-6,5770.0,3.1,G0,0.02,0.018,0.012,-0.008,4;16,11.2,29
1309,Br 2942,22,11.1,72,49,22h12m47.9678s,+73d18m45.7549s,72,1022.0,6.1,G5,0.031,0.025,0.008,0.011,6;20,11.4,28
1310,Br 3011pre,22,42.7,-4,45,22h47m10.7753s,-04d13m22.9509s,,,7.8,,,,-0.202,0.034,8;29,10.8,28
1311,Br 3011fol,22,42.7,-4,45,22h47m10.7753s,-04d13m22.9509s,,,7.3,,,,-0.211,0.025,8;28,10.8,28
,Mean,,,,,0,0,-4,5757.0,,G0,0.354,-0.194,,0.029,5,,
1312,Alpha Pegs,22,59.8,14,40,23h03m58.3843s,+15d12m19.6062s,14,4926.0,2.6,A0,0.077,0.061,0.064,0.025,5;22,10.8,32
1313,19 Pisc,23,41.3,2,56,23h46m06.8496s,+03d29m19.4242s,2,4709.0,5.3,Na,0.053,-0.048,-0.036,-0.002,7;25,11.6,31
1314,Sigma 3060 A,,,,,0,0,,,8.5,K0,,,-0.171,0.003,7;24,11.6,27
1315,Sigma 3060 B,,,,,0,0,,,8.7,K0,,,-0.178,0.001,7;23,11.6,28
,Mean,0,0.8,17,31,00h05m07.8676s,+18d04m24.4537s,17,5036.0,,,0.212,-0.132,,0.002,5,,
1316,Sigma 3062,0,1.0,57,53,00h06m10.7601s,+58d26m24.3334s,57,2865.0,6.1,G5,0.267,0.265,0.256,0.06,6;24,10.7,30
1317,Sigma 186,1,50.7,1,21,01h55m09.1429s,+01d50m27.5599s,1,347.0,6.2,G0,0.241,0.161,0.151,0.014,6;26,10.6,29
1318,A 2329,2,22.5,3,59,02h27m13.1879s,+04d25m58.5892s,3,339.0,8.6,K5,0.26,0.15,0.119,0.062,6;26,11.2,33
1319,Lal 6788,3,35.7,-2,39,03h40m02.6669s,-02d19m32.5468s,-2,690.0,7.1,G5,0.432,0.378,0.372,0.015,5;24,11.7,31
1320,Epsilon Pers,3,51.2,39,43,03h57m42.6231s,+40d00m24.7334s,39,895.0,3,B1,0.041,0.028,0.038,0.0,6;28,11,30
1321,Pi Taur,4,21.0,14,29,04h26m39.1701s,+14d42m36.7087s,14,697.0,4.9,K0,0.036,0.003,-0.027,0.01,4;17,12,28
1322,7 Caml,4,49.3,53,36,04h57m01.475s,+53d45m37.6042s,53,829.0,4.4,A2,0.015,-0.014,-0.026,-0.008,6;27,11.2,29
1323,Zeta Taur,5,31.7,21,5,05h36m58.6622s,+21d08m47.0022s,21,908.0,3,B3p,0.028,0.005,-0.001,-0.004,5;27,10.6,34
1324,52 Orio,5,42.6,6,25,05h47m22.4267s,+06d27m13.8177s,6,1027.0,5.3,A3,0.025,0.009,-0.01,0.015,4;20,10.2,29
1325,37 Caml,6,1.2,58,57,06h09m49.2447s,+58d56m12.6581s,58,897.0,5.4,K0,0.044,0.039,0.013,0.008,5;21,11.7,30
1326,U Mono,7,26.0,-9,34,07h30m46.2851s,-09d46m34.0812s,-9,2085.0,Var,G5,0.033,-0.033,0.002,-0.001,5;23,11.8,32
1327,Lal 15046,7,40.0,37,46,07h46m40.1697s,+37d31m26.4534s,37,1769.0,5.4,Ma,0.032,0.026,0.032,-0.01,5;22,11,31
1328,Lal 15976,8,8.1,57,24,08h16m01.6166s,+57d05m48.0826s,57,1128.0,7.8,G5,0.394,-0.312,-0.305,0.016,5;24,12,31
1329,30 Mono,8,20.7,-3,35,08h25m00.2758s,-03d54m27.6631s,-3,2339.0,4,A0,0.067,-0.063,-0.054,0.018,5;23,11,30
1330,Sigma 1329 B,9,10.6,0,49,09h15m08.3354s,+00d24m06.959s,0,2163.0,8.7,G5,,,-0.004,-0.001,7;28,10.5,29
1331,Sigma 1329 A,9,10.6,0,49,09h15m08.3354s,+00d24m06.959s,0,2164.0,8.7,G5,0.125,-0.1,-0.097,0.015,7;30,10.5,28
1332,24 U Maj,9,25.6,70,16,09h33m52.1879s,+69d49m32.6028s,70,565.0,4.6,G0,0.092,-0.057,-0.072,0.036,5;23,11.7,31
1333,Omega Sigma 224,10,34.5,9,22,10h39m15.0089s,+08d50m46.6017s,9,2382.0,7.9,F5,0.1,-0.094,-0.089,0.015,5;21,11.1,33
1334,Omega U Maj,10,48.2,43,43,10h53m44.9943s,+43d11m05.9015s,43,2058.0,4.8,A0,0.057,0.047,0.058,0.006,6;24,11.6,27
1335,Iota Leon,11,18.7,11,5,11h23m11.7518s,+10d32m04.9688s,11,2348.0,4,F5,0.178,0.158,0.202,0.043,6;24,12.1,31
1336,Pi 12h122,12,28.7,33,48,12h32m55.6523s,+33d14m53.1059s,34,2332.0,5.4,K0,0.039,0.017,0.067,0.026,6;25,9.8,29
1337,Lal 23491,12,28.9,33,56,12h32m55.5931s,+33d22m53.1053s,34,2333.0,6.4,K0,,,0.05,0.048,7;27,9.8,29
1338,24 Coma A,12,30.1,18,56,12h35m01.0073s,+18d22m55.5553s,,,5.2,K0,0.019,0.007,-0.006,-0.002,5;20,11.9,30
1339,24 Coma B,12,30.1,18,56,12h35m01.0073s,+18d22m55.5553s,,,6.7,A3,0.019,-0.008,-0.006,0.004,6;24,11.9,31
,Mean,,,,,0,0,19,2584.0,,,,,,0.001,4,,
1340,Lal 24504,13,6.4,10,9,13h11m00.5298s,+09d37m04.3107s,10,2519.0,8.5,G0,0.559,-0.497,-0.513,0.046,6;24,11.7,29
1341,Sigma 1819,14,10.3,3,36,14h15m03.0898s,+03d08m01.3351s,3,2874.0,7,F8,0.194,-0.19,-0.187,0.012,7;27,11.2,29
1342,Alpha Cor B,15,30.5,27,3,15h34m13.2608s,+26d42m54.395s,27,2512.0,2.3,A0,0.16,0.124,0.119,0.047,7;28,10.5,32
1343,Mu Serp,15,44.4,-3,7,15h49m13.7648s,-03d25m21.902s,-2,4052.0,3.6,A0,0.089,-0.085,-0.08,-0.009,5;20,11.6,33
1344,Nu Ophi,16,22.4,-8,9,16h27m25.1402s,-08d22m29.6483s,-8,4243.0,4.7,A2,0.083,-0.082,-0.1,0.025,8;25,11.3,30
1345,Chi Ophi,16,52.9,9,32,16h56m46.0378s,+09d22m33.9036s,9,3298.0,3.4,K0,0.29,-0.29,-0.287,0.005,6;22,11.8,29
1346,Br 2163,16,58.5,14,14,17h02m34.8041s,+14d05m23.6444s,14,3179.0,5.1,Ma,0.07,0.023,0.03,0.002,5;20,11,31
1347,Zeta Drac,17,8.5,65,50,17h08m17.9903s,+65d42m30.3385s,65,1170.0,3.2,B5,0.023,-0.01,-0.014,0.001,5;19,11.3,30
1348,87 Herc,17,44.8,25,39,17h48m03.3818s,+25d36m57.8899s,25,3353.0,5.3,K0,0.046,-0.007,-0.001,0.013,5;19,11.5,28
1349,102 Herc,18,4.5,20,48,18h08m16.6203s,+20d48m53.7072s,20,3674.0,4.3,B3,0.017,0.003,0.003,-20.0,6;23,11.4,29
1350,R Lyra,18,52.3,43,49,18h55m02.3558s,+43d56m43.9028s,43,3117.0,4.3,Mb,0.078,0.032,0.012,0.002,6;24,11.8,32
1351,Lambda Lyra,18,56.2,32,0,18h59m46.3106s,+32d08m20.9676s,31,3424.0,5.1,K5,0.016,0.015,0.004,-0.006,6;21,10.8,30
1352,Lal 36081,19,8.1,16,41,19h12m28.9984s,+16d51m04.83s,16,3775.0,6.4,B9,0.029,-0.029,-0.002,0.005,4;17,10.2,30
1353,WB 19h1199,19,38.6,31,31,19h41m52.7655s,+31d45m06.7224s,31,3727.0,8.3,,0.22,-0.026,-0.024,0.026,6;24,10.8,30
1354,Pi 19h371,19,54.0,58,35,19h55m54.5317s,+58d51m03.8795s,58,2013.0,5.1,K2,0.025,-0.004,-0.024,0.001,5;18,11,30
1355,Epsilon Dlph,20,28.4,10,58,20h32m46.5431s,+11d18m23.0241s,10,4321.0,4,B5,0.03,0.012,0.001,0.02,4;18,11.3,30
1356,X Cygn,20,39.5,35,14,20h42m54.8545s,+35d35m34.9478s,35,4234.0,Var,G0p,0.02,,-0.009,-0.013,5;19,11.8,30
1357,Lal 40636,20,55.4,-8,44,21h00m21.7173s,-08d20m36.9417s,-8,5544.0,8.2,G0,0.24,0.234,0.228,0.02,6;21,10.6,28
1358,Sigma 2744,20,58.0,1,9,21h03m05.1697s,+01d32m40.8277s,0,4648.0,6.5,F5,0.143,-0.138,-0.09,0.032,8;29,10.7,28
1359,Lal 42846,21,53.7,-4,51,21h58m12.9546s,-04d22m23.4936s,-5,5674.0,6.4,K0,0.252,-0.015,-0.015,0.03,6;23,12,32
1360,Sigma 2862 A,22,2.0,0,5,22h07m07.0187s,+00d34m15.6216s,0,4307.0,7.6,G0,0.072,0.06,0.056,0.015,7;27,9.1,32
1361,Sigma 2950 A,22,47.5,61,10,22h50m52.5009s,+61d41m49.0016s,60,2450.0,5.8,G0,0.12,0.113,0.099,-0.004,6;24,11.4,33
1362,Lal 45585,23,12.5,-2,4,23h17m08.2112s,-01d31m14.6729s,-2,5920.0,8.2,G5,0.265,0.249,0.21,0.002,4;18,11.7,34
1363,Omega Sigma 503,23,37.0,19,45,23h42m03.0414s,+20d18m16.5875s,19,5138.0,7.6,F8,0.103,-0.086,-0.071,0.021,5;18,10.5,30
1364,Theta Andr,0,11.9,38,8,00h16m13.679s,+38d41m21.0427s,37,34.0,4.4,A2,0.051,-0.046,-0.077,0.014,6;24,11.9,31
1365,Rho Andr,0,15.9,37,25,00h20m15.3231s,+37d58m18.6515s,37,45.0,5.2,F5,0.08,0.066,0.057,0.012,4;19,11.4,30
1366,Delta Cass,1,19.3,59,43,01h25m28.6035s,+60d14m16.9051s,59,248.0,2.8,A5,0.308,0.304,0.297,0.022,6;25,10.7,30
1367,94 Pisc,1,21.3,18,43,01h26m23.7998s,+19d14m12.3746s,18,189.0,5.6,K0,0.079,0.053,0.055,0.011,4;19,11.8,30
1368,Sigma 138,1,30.8,7,8,01h35m14.2021s,+07d38m43.099s,6,244.0,7.3,F8,0.04,,-0.082,-0.013,6;26,11,30
1369,Epsilon Tria,1,57.1,32,48,02h02m50.8243s,+33d16m56.3458s,32,369.0,5.4,A2,0.024,-0.014,-0.024,0.005,4;20,11.5,31
1370,Lal 5514,2,53.7,-3,11,02h58m02.5604s,-02d46m55.1306s,-3,470.0,5.2,A2,0.07,-0.034,-0.047,0.009,5;23,11.9,31
1371,Grb 716,3,33.5,62,54,03h41m41.0554s,+63d13m28.7686s,62,597.0,5.3,Ma,0.021,-0.006,-0.015,0.0,5;23,10.7,30
1372,32 Taur,3,51.0,22,11,03h56m54.1812s,+22d28m27.7404s,22,605.0,5.8,F0,0.133,0.066,0.065,0.026,3;16,11.4,29
1373,Lal 7867,4,8.9,29,39,04h14m15.3866s,+29d54m16.8366s,29,678.0,7.3,K0,0.238,0.143,0.134,0.009,5;21,12.2,30
1374,9 Orio,4,50.7,13,21,04h55m37.9383s,+13d30m39.2356s,13,740.0,4.3,K0,0.1,-0.079,-0.071,0.012,4;18,11,30
1375,15 Orio,5,4.0,15,28,05h09m43.5319s,+15d35m40.6013s,15,752.0,4.9,F0,0.013,0.006,0.004,0.008,6;26,11.9,30
1376,Xi Auri,5,46.5,55,41,05h54m23.0829s,+55d42m25.7386s,55,1027.0,4.9,A2,0.014,-0.008,-0.013,0.009,5;22,11.7,30
1377,Grb 1149,6,18.0,56,20,06h26m26.8795s,+56d16m45.8911s,56,1125.0,5.5,A3,0.021,-0.011,-0.025,0.02,4;17,11.8,30
1378,30 Gemi,6,38.3,13,20,06h43m38.4395s,+13d14m04.8201s,13,1390.0,4.6,K0,0.076,0.006,0.008,0.008,4;17,11.4,29
1379,Brad 1104,7,36.5,50,40,07h43m34.6364s,+50d25m54.4665s,50,1460.0,5.3,A0,0.043,-0.013,-0.005,0.012,4;18,11.9,30
1380,Zeta C Min,7,46.5,2,1,07h51m11.3103s,+01d45m45.2866s,2,1808.0,5.1,B8,0.022,-0.021,-0.005,0.006,6;25,11.7,29
1381,Sigma 1175,7,57.2,4,26,08h02m16.086s,+04d09m20.4586s,4,1882.0,7.8,G5,0.12,0.052,0.081,0.026,7;31,11,33
1382,2 Hyda,8,21.5,-3,40,08h26m00.138s,-03d59m34.7534s,-3,2345.0,5.4,A5,0.067,-0.051,-0.047,0.025,5;22,10.9,30
1383,Lal 17528,8,48.5,22,36,08h53m47.8735s,+22d13m19.9158s,22,2014.0,7.6,G5,0.245,-0.128,-0.096,0.015,5;22,10.4,31
1384,Lal 17890,9,0.2,38,51,09h06m21.9022s,+38d27m02.9762s,39,2200.0,4.7,G5,0.04,-0.033,-0.011,0.016,4;18,11.7,31
1385,Rho Leon,10,27.5,9,49,10h32m16.0329s,+09d18m09.2281s,10,2166.0,3.8,B0p,0.006,-0.004,-0.01,-0.008,6;24,10.8,32
1386,72 Leon,11,9.9,23,38,11h14m19.4709s,+23d05m19.8362s,23,2322.0,4.9,Ma,0.014,-0.012,-0.016,0.005,5;21,11,31
1387,Epsilon Virg,12,57.2,11,30,13h02m00.574s,+10d57m42.6128s,11,2529.0,3,K0,0.27,-0.269,-0.223,0.031,7;25,11.8,29
1388,Beta Coma,13,7.2,28,23,13h11m46.0961s,+27d51m06.5902s,28,2193.0,4.3,G0,1.183,-0.793,-0.803,0.111,6;22,11.9,32
1389,11 Libr,14,45.8,-1,53,14h50m10.6448s,-02d17m52.0883s,-1,2991.0,5,K0,0.16,0.084,0.099,0.011,5;21,12,31
1390,Rad 3381,15,21.0,63,42,15h22m40.4725s,+63d20m43.8074s,63,1192.0,5.8,K2,0.113,-0.014,-0.008,0.004,4;17,11.8,30
1391,Epsilon Cor B,15,53.4,27,10,15h57m09.1055s,+26d52m40.6556s,27,2558.0,4.2,K0,0.105,-0.081,-0.083,0.015,6;24,11.2,32
1392,Psi Scor,16,6.5,-9,48,16h11m28.0794s,-10d03m35.4065s,-9,4324.0,4.9,A2,0.026,-0.001,-0.002,0.013,5;19,11.8,30
1393,Sigma Herc,16,30.9,42,39,16h33m13.7421s,+42d26m25.9549s,42,2724.0,4.2,A0,0.037,-0.007,-0.002,0.0,6;23,11.6,30
1394,45 Herc,16,42.8,5,26,16h46m55.5607s,+05d15m11.2192s,5,3272.0,5.3,A0p,0.049,-0.021,-0.017,0.01,5;21,11.6,28
1395,70 Herc,17,16.8,24,36,17h20m07.3639s,+24d29m55.24s,24,3167.0,5.1,A0,0.014,-0.014,-0.01,0.004,6;23,11.7,28
1396,Lal 31804,17,23.7,0,25,17h28m06.5222s,+00d19m59.869s,0,3697.0,5.2,A5,0.064,-0.06,-0.053,0.007,5;19,11.6,27
1397,Omicron Serp,17,35.8,-12,49,17h40m37.7135s,-12d52m13.7272s,-12,4808.0,4.4,A2,0.087,-0.067,-0.064,0.001,7;28,11.8,33
1398,Iota Herc,17,36.6,46,4,17h38m49.4809s,+46d00m42.7716s,46,2349.0,3.8,B3,0.004,-0.004,0.001,-0.005,5;22,11.1,28
1399,Gamma Ophi,17,42.9,2,45,17h47m01.0263s,+02d42m44.626s,2,3403.0,3.7,A0,0.083,-0.024,-0.04,0.036,6;25,11.5,31
1400,67 Ophi,17,55.6,2,56,18h00m00.5467s,+02d55m38.1954s,2,3458.0,3.9,B5p,0.015,0.004,0.013,-0.013,4;18,11.3,29
1401,74 Ophi,18,15.9,3,20,18h19m59.5765s,+03d22m32.9095s,3,3680.0,4.9,G5,0.012,-0.012,-0.002,0.019,5;19,11.9,30
1402,Rad 3896,18,18.4,17,47,18h22m24.6265s,+17d49m56.5221s,17,3555.0,5.5,K0,0.068,0.068,0.074,0.02,4;17,10.7,29
1403,Nu Drac,18,55.6,71,10,18h53m45.1069s,+71d17m51.2264s,71,915.0,4.9,K0,0.068,0.056,0.053,0.016,6;22,11.9,30
1404,Sigma 2540,19,28.9,20,12,19h32m21.7138s,+20d24m48.6078s,20,4179.0,7.2,A3,0.06,,0.008,-0.007,7;25,10.7,25
1405,SU Cygn,19,40.8,29,1,19h44m00.1498s,+29d15m23.0315s,28,3460.0,( 6. 2-7. 0),F2p,0.02,,0.01,-0.011,5;20,11.5,31
1406,Lal 37866,19,47.2,37,34,19h50m35.5402s,+37d49m16.2896s,37,3636.0,6.3,Ma,,,0.009,0.0,5;21,10.2,29
1407,33 Cygn,20,11.1,56,16,20h13m18.65s,+56d34m12.9571s,56,2376.0,4.3,A3,0.103,0.064,0.077,0.008,5;19,11.8,31
1408,Brad 2613,20,13.4,40,3,20h16m33.4106s,+40d21m32.1035s,39,4114.0,5.5,K5,0.014,0.006,0.002,0.004,4;16,11.7,27
1409,Theta Ceph,20,27.9,62,39,20h28m39.4416s,+62d59m05.247s,62,1821.0,4.3,A5,0.053,0.049,0.039,0.028,5;21,10.7,28
1410,Alpha Dlph,20,35.0,15,34,20h39m38.2468s,+15d55m10.4894s,15,4222.0,3.9,B8,0.069,0.068,0.051,-0.006,5;22,11.4,32
1411,Pi 190,21,30.1,-4,26,21h35m13.287s,-03d59m15.8448s,-4,5489.0,5.8,K0,0.017,-0.012,-0.014,-0.001,5;22,11.3,34
1412,Omicron Andr,22,57.3,41,47,23h01m35.8315s,+42d19m14.6863s,41,4664.0,3.6,B5,0.035,0.027,0.017,0.006,5;21,11,31
1413,5 Andr,23,3.2,48,45,23h07m30.99s,+49d17m27.6759s,48,3944.0,5.8,F0,0.195,0.151,0.142,0.022,6;24,11.9,31
1414,Zeta Cass,0,31.4,53,21,00h36m34.037s,+53d54m02.8379s,53,105.0,3.7,B3,0.02,0.018,0.022,0.0,6;24,11,32
1415,26 Cass,0,49.1,58,26,00h54m56.8175s,+58d58m33.2535s,58,134.0,5,K0,0.052,-0.033,-0.034,0.0,4;15,11.9,29
1416,Rho Pisc,1,20.9,18,39,01h25m23.551s,+19d10m15.487s,18,187.0,5.3,F0,0.029,-0.027,-0.047,0.033,4;18,11.4,31
1417,Chi Ceti,1,44.7,-11,11,01h48m55.8198s,-10d41m07.8588s,-11,352.0,4.8,F0,0.176,-0.155,-0.163,0.039,5;21,11.4,31
1418,Gamma Arie N,1,48.0,18,48,01h53m28.8233s,+19d17m35.0785s,,,4.8,A0p,0.135,0.077,0.084,0.024,5;24,11.8,31
1419,Gamma Arie S,1,48.0,18,48,01h53m28.8233s,+19d17m35.0785s,,,4.8,A0p,0.129,0.078,0.08,0.021,5;24,11.8,31
,Mean,,,,,0,0,18,243.0,,,,,,0.022,4,,
1420,Epsilon Arie,2,53.5,20,56,02h58m43.2492s,+21d20m02.8133s,20,484.0,4.6,A2,0.016,-0.015,-0.03,-0.007,5;25,10.9,35
1421,Lal 7484,3,57.5,0,32,04h02m08.745s,+00d48m45.5104s,0,632.0,5.4,F5,0.289,0.15,0.136,0.054,4;21,11.8,30
1422,39 Taur,3,59.4,21,44,04h04m54.07s,+22d00m27.4667s,21,587.0,6,G5,0.219,0.173,0.166,0.063,4;20,12,31
1423,Delta Orio,5,26.9,0,22,05h31m08.3222s,+00d26m34.0317s,0,983.0,2.5,B0,0.001,0.001,-0.003,-0.001,5;27,10.8,35
1424,2 Lync,6,10.8,59,3,06h18m49.6488s,+59d00m53.9845s,59,959.0,4.4,A0,0.023,-0.005,-0.021,0.034,5;22,11.4,28
1425,Lambda Gemi,7,12.3,16,43,07h17m45.1849s,+16d32m16.6458s,16,1443.0,3.6,A2,0.061,-0.043,-0.043,0.042,5;21,11.3,29
1426,Castor A,7,28.2,32,6,07h34m24.3451s,+31d53m03.1426s,32,1581.0,2,A0,0.198,-0.165,-0.216,0.059,4;21,9.9,34
1427,Castor C,7,28.2,32,5,07h34m24.2953s,+31d52m03.1459s,32,1582.0,9.1,M1e,0.222,-0.193,-0.206,0.072,4;21,9.9,35
,Mean,,,,,0,0,,,,,,,,0.065,3,,
1428,55 Caml,8,2.9,68,46,08h11m57.6835s,+68d28m25.2225s,68,524.0,5.5,G5,0.008,0.003,0.006,0.018,4;19,11.3,31
1429,Nu U Maj,9,43.9,59,31,09h50m11.0491s,+59d03m05.5239s,59,1268.0,3.9,F0,0.332,-0.291,-0.297,0.031,5;23,11.8,30
1430,Lal 19896,10,8.9,3,39,10h13m11.0378s,+03d09m19.5182s,3,2338.0,7.7,G0,0.476,0.237,0.243,0.043,6;24,11.5,29
1431,55 U Maj,11,13.7,38,44,11h18m27.7624s,+38d11m12.6946s,38,2225.0,4.8,A2,0.096,-0.057,-0.025,0.017,5;20,11.9,28
1432,Omicron Cor B,15,16.0,29,59,15h20m09.1652s,+29d37m18.6456s,30,2647.0,5.6,K0,0.134,-0.123,-0.069,-0.001,4;16,12,31
1433,Theta Cor B,15,28.9,31,42,15h32m02.3331s,+31d21m39.8321s,31,2750.0,4.2,B5,0.034,-0.026,-0.01,0.016,6;22,11.2,30
1434,Zeta U Min,15,47.6,78,6,15h43m26.6824s,+77d47m27.7456s,78,527.0,4.3,A2,0.019,0.019,0.043,0.001,6;22,11.8,30
1435,14 Herc,16,7.2,44,5,16h10m13.4624s,+43d49m23.6436s,44,2549.0,6.5,K0,0.333,0.123,0.132,0.059,6;22,12,30
1436,Zeta Ophi,16,31.7,-10,22,16h36m30.3529s,-10d34m16.6759s,-10,4350.0,2.7,B0,0.022,0.01,0.007,-0.01,7;27,11.8,28
1437,14 Ophi,16,36.6,1,22,16h41m04.61s,+01d10m22.4101s,1,3290.0,5.9,F0,0.118,-0.108,-0.093,0.027,6;22,11.9,30
1438,Lal 31160,17,2.1,22,13,17h06m14.5959s,+22d04m56.0974s,22,3073.0,5.7,K2,0.111,-0.101,-0.085,0.01,5;23,11.8,28
1439,Lal 32390,17,39.0,21,40,17h43m14.5369s,+21d37m15.0805s,21,3198.0,7.4,K0,0.66,-0.142,-0.127,0.041,6;25,12,31
1440,90 Herc,17,50.0,40,2,17h53m15.2324s,+40d00m46.8009s,40,3233.0,5.1,K0,0.049,0.007,0.011,0.011,5;21,11.5,30
1441,Delta U Min,18,4.5,86,37,17h31m37.4385s,+86d35m13.1097s,86,269.0,4.4,A0,0.053,0.013,0.033,-0.007,4;15,11.4,31
1442,Lal 33793,18,13.9,40,54,18h16m11.7869s,+40d56m07.6229s,40,3332.0,6.1,K0,0.18,-0.168,-0.156,0.007,6;23,11.9,31
