Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
440,Mu 1 Bootis,15,20.7,37,44,15h23m48.1272s,+37d22m44.2686s,37,2636,4.5,F0,-0.145,-0.138,0.013,0.008,0.02,2.5,16
441,Delta Serpentis,15,30.0,10,52,15h34m47.195s,+10d31m56.3741s,,,4.2,F0,0.058,-0.056,0.016,7.0,21.0,3.0,21
442,Delta Serpentis,15,30.0,10,52,15h34m47.195s,+10d31m56.3741s,,,5.2,F0,-0.065,-0.067,0.012,7.0,21.0,3.0,21
,Mean (Sigma 1954),,,,,0,0,11,2821,,F0,,,0.014,5.0,,,
443,Chi Herculis,15,49.2,42,44,15h52m23.5997s,+42d26m08.0891s,42,2648,4.6,G0,0.448,0.455,0.06,7.0,23.0,3.3,22
444,m1 36 Herculis,16,35.6,4,24,16h39m57.9787s,+04d12m13.7644s,4,3234,6.9,A0,-0.012,0.019,-0.008,6.0,17.0,2.8,16
445,m2 37 Herculis,16,35.7,4,25,16h39m57.9421s,+04d13m13.7619s,4,3235,5.7,A0,-0.003,0.022,0,7.0,20.0,3.0,16
,"Mean(Sigma 31, Ap1)",,,,,0,0,,,,,,,-0.005,5.0,,,
446,Epsilon Herculis,16,56.5,31,4,16h59m50.04s,+30d55m03.6149s,31,2947,3.9,A0,0.042,-0.062,0.013,7.0,19.0,2.9,15
447,Lal 31174,17,3.4,4,34,17h07m57.1631s,+04d26m07.6056s,4,3336,7.2,G0,- .055*,-0.038,-0.003,11.0,30.0,2.7,15
448,Psi 1 Draconis,17,43.7,72,12,17h41m12.9395s,+72d09m23.6656s,72,804,4.9,F3,0.015,0.027,0.032,6.0,22.0,3.5,24
449,Psi 2 Draconis,17,43.7,72,12,17h41m12.9395s,+72d09m23.6656s,72,805,6.1,F7,0.021,0.02,0.056,8.0,25.0,3.1,22
,Mean (Sigma 2241),,,,,0,0,,,,F5,,,0.037,5.0,,,
450,Zeta 1 Lyrae,18,41.3,37,30,18h44m26.43s,+37d36m11.5249s,37,3222,4.3,A3,0.03,0.049,0.021,7.0,19.0,2.6,15
451,Zeta 2 Lyrae,18,41.4,37,29,18h44m26.4908s,+37d35m11.5292s,37,3223,5.9,A3,0.023,0.028,0.025,8.0,20.0,2.5,14
,Mean,,,,,0,0,,,,,,,0.023,5.0,,,
452,W2 18h 979,18,34.4,28,51,18h37m54.5395s,+28d56m13.2173s,28,3039,8.2,G5,- .039*,-0.048,0.047,5.0,15.0,3.0,18
453,Lal 35248,18,50.6,-5,52,18h55m20.6121s,-05d44m23.3198s,-5,4811,8.2,G5,- .191*,-0.2,0.032,11.0,26.0,2.4,14
454,3 Cygni,19,21.3,24,44,19h25m09.5651s,+24d55m50.8834s,24,3737,6.2,F8,-0.184,-0.163,0.025,10.0,26.0,2.7,15
455,Chi Aquilae (M),19,37.9,11,35,19h41m42.2711s,+11d49m02.0595s,11,3955,5.3,F2,0.004,0.005,-0.001,4.0,12.0,3.1,18
456,Gamma Aquilae,19,41.5,10,22,19h45m45.1217s,+10d36m33.8667s,10,4043,2.8,K2,0.017,-0.003,0,7.0,19.0,2.7,14
457,Delta Sagittae,19,42.9,18,17,19h46m27.4368s,+18d31m40.573s,18,4240,3.8,Map,0.005,0.008,-0.012,7.0,21.0,2.9,18
458,Epsilon Draconis (Br),19,48.5,70,1,19h47m37.5353s,+70d16m08.6914s,69,1070,4,K0,0.084,0.087,-0.003,10.0,24.0,2.3,13
459,24 Vulpeculae,20,12.5,24,22,20h16m16.5733s,+24d40m27.4349s,24,4075,5.4,K0,0.022,-0.004,-0.031,7.0,18.0,2.6,13
460,Groom. 3196,20,26.7,45,35,20h29m17.6979s,+45d55m03.9553s,45,3196,6.6,K0,+ .074*,0.075,0.004,7.0,21.0,2.9,17
461,Lal 39956,20,36.2,19,34,20h40m30.4095s,+19d55m16.8029s,19,4484,6.4,G5,+ .130*,0.136,0.05,7.0,16.0,2.5,15
462,Delta Equulei(Mean),21,9.6,9,36,21h13m51.8884s,+10d00m46.3866s,9,4746,4.6,F5,0.045,0.029,0.067,7.0,20.0,3.0,22
463,Alpha Cephei,21,16.2,62,10,21h18m20.8281s,+62d35m19.6371s,61,2111,2.6,A5,0.156,0.12,0.066,7.0,18.0,2.8,16
464,B. D. +32  4134,21,17.1,32,11,21h21m12.6281s,+32d36m30.577s,32,4134,6,A0,0.032,0.029,0.01,11.0,32.0,2.9,17
465,Omega Sigma 455 (Br),21,51.9,15,38,21h55m47.4504s,+16d06m26.4318s,15,4528,8.3,F8,,-0.018,0.018,9.0,22.0,2.6,17
466,Zeta 1 Aquarii,22,23.7,0,32,22h28m06.6504s,+01d02m36.777s,,,4.6,F2,0.175,0.174,-0.003,10.0,22.0,2.3,13
467,Zeta 2 Aquarii,22,23.7,0,32,22h28m06.6504s,+01d02m36.777s,,,4.4,F2,0.21,0.175,-0.008,10.0,26.0,2.5,14
,Mean (Sigma 2909),,,,,0,0,0,4365,,F2,,,-0.006,7.0,,,
468,55 Pegasi,23,2.0,8,52,23h07m02.2346s,+09d24m26.1336s,8,4997,4.7,Ma,0.01,0.003,-0.006,7.0,17.0,2.4,14
469,Gamma Cephei,23,35.2,77,4,23h39m07.9403s,+77d37m14.5585s,76,928,3.4,K0,-0.059,-0.052,0.063,8.0,19.0,2.6,15
470,Sigma 16,0,11.4,54,8,00h16m18.5082s,+54d41m21.0219s,53,31,7.5,A3,,-0.028,0.012,9.0,22.0,2.4,13
471,10 Arietis,1,58.0,25,27,02h03m39.734s,+25d55m52.3643s,25,341,5.7,F5,0.14,0.125,0.021,10.0,28.0,2.8,14
472,9H Camelop,3,48.6,60,49,03h56m31.6919s,+61d06m40.3224s,60,768,5.2,K0,0.003,-0.023,0.01,10.0,28.0,2.8,16
473,55 Tauri,4,14.2,16,18,04h19m42.8513s,+16d32m31.9923s,16,579,6.9,G0,,0.111,0.043,6.0,19.0,3.2,15
474,OmegaSigma 82,4,17.1,14,51,04h22m39.7569s,+15d05m08.4952s,14,690,7.1,G0,,0.103,0.028,7.0,21.0,3.1,15
475,Pi 256,5,48.5,31,41,05h54m29.8451s,+31d42m16.5048s,31,1139,5.8,A3,- .051*,-0.045,0.021,5.0,17.0,3.4,17
476,74 Orionis,6,10.8,12,18,06h15m36.4418s,+12d16m08.0464s,12,1084,5.1,F5,0.091,0.074,0.039,6.0,20.0,3.2,15
477,Gr. 1214,6,37.3,40,44,06h44m00.4825s,+40d38m07.5405s,40,1696,6.9,Ma,- .017*,-0.024,0.005,7.0,22.0,3.3,17
478,Theta Gem,6,46.2,34,5,06h52m35.5301s,+33d57m52.1158s,34,1481,3.6,A2,0.007,0.006,0.021,9.0,27.0,2.8,14
479,15 Lyncis,6,48.6,58,33,06h56m39.7s,+58d25m26.2105s,58,982,4.5,G0,0.006,0.005,0.005,6.0,19.0,3.0,16
480,Lal 15394,7,49.1,19,31,07h54m48.9166s,+19d15m19.5941s,19,1869,7.9,K2,+ .110*,0.1,0.031,8.0,26.0,3.2,15
481,7 Sextantis,9,47.0,2,55,09h52m10.7602s,+02d26m51.2702s,3,2280,5.9,A0,-0.18,-0.168,0.003,9.0,24.0,2.6,14
482,Zeta Leonis,10,11.1,23,55,10h16m33.5722s,+23d25m06.8798s,24,2209,3.6,F0,0.024,0.05,0.006,7.0,24.0,2.7,15
483,Gamma 1 Leonis,10,14.5,20,21,10h19m28.6826s,+19d50m55.4588s,,,2.6,K0,0.305,0.352,0.004,11.0,32.0,2.8,15
484,Gamma 2 Leonis,10,14.5,20,21,10h19m28.6826s,+19d50m55.4588s,,,3.8,G5,0.305,0.354,0.018,14.0,40.0,2.8,15
,Mean,,,,,0,0,20,2467,,K0,,,0.009,9.0,,,
485,88 Leonis,11,26.6,14,55,11h31m12.1548s,+14d21m54.2004s,15,2345,6.2,G0,-0.33,-0.299,0.026,7.0,18.0,2.5,13
486,Lal 21947,11,28.6,37,22,11h33m20.2813s,+36d48m51.8113s,37,2195,6.3,K0,- .176*,-0.104,-0.019,12.0,30.0,2.4,13
487,61 Urs. Maj.,11,35.8,34,46,11h40m16.3309s,+34d12m44.9543s,35,2270,5.5,G5,-0.007,-0.015,0.105,8.0,23.0,2.8,15
488,44 Bootis,15,0.5,48,3,15h03m22.2048s,+47d39m33.0077s,,,5.3,G0,-0.424,-0.394,0.053,9.0,26.0,3.0,17
489,44 Bootis,15,0.5,48,3,15h03m22.2048s,+47d39m33.0077s,,,6,G0,-0.384,-0.447,0.078,9.0,28.0,3.0,17
,Mean,,,,,0,0,48,2259,4.9,G0,,,0.065,6.0,,,
490,Psi Serp,15,39.0,2,50,15h44m02.2484s,+02d31m01.1389s,2,2989,5.8,G5,-0.082,-0.054,0.043,8.0,20.0,2.4,16
491,Sigma 2052,16,24.5,18,37,16h28m26.3492s,+18d23m42.4513s,18,3182,7,K0,- .326*,-0.314,0.05,8.0,25.0,2.9,14
492,Mu Drac,,,,,0,0,,,5.8,F8,,-0.114,0.029,13.0,30.0,2.4,11
493,Mu Drac,,,,,0,0,,,5.8,F8,,-0.114,0.05,13.0,30.0,2.4,11
,Mean,17,3.3,54,36,17h05m05.366s,+54d27m55.4348s,54,1857,,F5,-0.068,,0.039,9.0,,,
494,Lal 34496,18,30.9,34,20,18h33m36.8573s,+34d24m37.3383s,34,3239,7.8,F8p,+ .191*,0.188,-0.005,8.0,21.0,2.6,14
495,Weisse 1339,18,45.4,34,25,18h48m37.5387s,+34d31m46.6398s,34,3326,8.4,F5,0.062,0.061,-0.001,9.0,22.0,2.4,14
496,11 Aquilae,18,54.5,13,29,18h58m36.1441s,+13d37m07.5327s,13,3841,5.4,F5,0.005,0.009,0.031,9.0,22.0,2.4,13
497,Sigma 2481 B.C.,,,,,0,0,,,8,K0,,-0.246,0.003,6.0,20.0,3.0,18
498,Sigma 2481 A,,,,,0,0,,,7.5,G4,,-0.235,-0.01,8.0,24.0,3.0,18
,Mean,19,7.7,38,37,19h10m25.1012s,+38d46m52.0406s,38,3466,,G5,- .246*,,-0.002,5.0,,,
499,Pi 233,19,35.2,49,3,19h37m46.2363s,+49d16m38.4497s,48,2922,6.5,K0,+ .027*,0.033,0.003,6.0,16.0,2.6,15
500,Omicron Aquilae,19,46.2,10,10,19h50m45.7801s,+10d25m13.0574s,10,4073,5.2,G0,0.236,0.242,0.046,10.0,27.0,2.7,17
501,Pi 306,19,47.4,11,23,19h51m43.2108s,+11d38m20.6691s,11,4019,6.2,G0,- .345*,-0.344,0.021,10.0,25.0,2.5,15
502,Omega Sigma 389,19,47.8,30,53,19h50m55.9645s,+31d08m17.6114s,30,3779,6.9,A5,,0.026,0.024,8.0,18.0,2.4,14
