Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
284,22_Persei,4.6,02 55.3 _,+39 27.5 _,1950,,,,
285,Lal_5514,5.2,02 56 11,-02 58 51,1950,,,,
286,epsilon_Arietis,5.2/5.5<1.”5,02 56.2 _,+21 08.3 _,1950,,,,
287,alpha_Ceti,2.8,02 59.4 _,+03 53.4 _,1950,,,,
288,Maan_75,6.7,03 00 02,61 31 13,1950,,,,
289,G36-50,12.7,03 00 49,+29 24 06,1950,,,,
290,gamma_Persei,3.1,03 01 09,+53 18 44,1950,,,,
291,rho_Persei,3.3-4.1,03 01 57,+38 38 52,1950,,,,
292,Lal_5490,6.7,03 0.2 _,+61 36 00,1975,,,,
293,Algol,2.4+/-,03 04 54,+40 45 52,1950,,,,
294,iota_Persei,4.2,03 05.26 _,+49 25.26 _,1950,,,,
295,kappa_Persei,4.0,03 06.06 _,+44 40.10 _,1950,,,,
296,28_Persei,4.8,03 08 03,+39 25 23,1950,,,,
297,57_Arietis,4.5,03 08 25,+19 32 20,1950,,,,
298,94_Ceti,5.1,03 10 13,-01 22 54,1950,,,,
299,zeta_Arietis,5.0,03 12 01,+20 51 37,1950,,,,
300,Maan_80,7.8,03 12 04,+08 48 05,1950,,,,
301,Grb_631,5.3,03 12 36,+50 45 14,1950,,,,
302,48_H_Cephei,5.5,03 13 53,+77 33 14,1950,,,,
303,Leiden_1247,4.9,03 15 35,+34 02 28,1950,,,,
304,+14o550,8.2/16.3<2.'3,03 15 39,14 59 00,1950,,,,
305,95_Ceti,5.6,03 15 48,-01 06 39,1950,,,,
306,kappa_Ceti,5.2,03 16 44,+03 11 17,1950,,,,
307,Lal_6119,4.7,03 17 18,+28 52 07,1950,,,,
308,32_Persei,5.0,03 18 05,+43 09 01,1950,,,,
309,Lal_6109,6.2,03 18 19,+48 53 34,1950,,,,
310,GD_45,13.0,03 19 43,+34 42 24,2000,,,,
311,63_Arietis,5.2,03 19 52,+20 33 52,1950,,,,
312,alpha_Persei,1.9,03 20 44,+49 41 05,1950,,,,
313,G5-35,12.0,03 22 04,+12 05 18,1950,,,,
314,omicron_Tauri,3.8,03 22 07,+08 51 15,1950,,,,
315,Mirfak,1.80,03 24 19.3,+49 51 40,2000,,,,
316,34_Persei,4.7,03 25 46,+49 20 14,1950,,,,
317,beta_879,"6.8/12.5<25""",03 25 52,+11 13 08,1950,,,,
318,G246-38,8.9,03 26 35,+66 34 06,1950,,,,
